undine_01_f000001|Erstes Kapitel von Undine von Friedrich de la Motte Fouque.|Erstes Kapitel von Undine von Friedrich de la Motte Fouque.
undine_02_f000014|Dabei aber konnte er es doch nicht unterlassen, öfters mit in die finstre Nacht hinauszurufen: Undine! Ach liebe Undine! Ich bitte dich, komme doch nur dies eine Mal zurück.|Dabei aber konnte er es doch nicht unterlassen, öfters mit in die finstre Nacht hinauszurufen: Undine! Ach liebe Undine! Ich bitte dich, komme doch nur dies eine Mal zurück.
undine_02_f000015|Es ging indessen, wie es der Fischer gesagt hatte. Keine Undine ließ sich hören oder sehn, und weil der Alte durchaus nicht zugeben wollte, daß Huldbrand der Entflohenen nachspürte,|Es ging indessen, wie es der Fischer gesagt hatte. Keine Undine ließ sich hören oder sehn, und weil der Alte durchaus nicht zugeben wollte, daß Huldbrand der Entflohenen nachspürte,
undine_02_f000016|mußten sie endlich beide wieder in die Hütte gehen.|mußten sie endlich beide wieder in die Hütte gehen.
undine_02_f000017|Hier fanden sie das Feuer des Herdes beinahe erloschen, und die Hausfrau, die sich Undines Flucht und Gefahr bei weitem nicht so zu Herzen nahm als ihr Mann,|Hier fanden sie das Feuer des Herdes beinahe erloschen, und die Hausfrau, die sich Undines Flucht und Gefahr bei weitem nicht so zu Herzen nahm als ihr Mann,
undine_02_f000018|war bereits zur Ruhe gegangen.|war bereits zur Ruhe gegangen.
undine_02_f000019|Der Alte hauchte die Kohlen wieder an, legte trocknes Holz darauf und suchte bei der wieder auflodernden Flamme einen Krug mit Wein hervor, den er zwischen sich und seinen Gast stellte.|Der Alte hauchte die Kohlen wieder an, legte trocknes Holz darauf und suchte bei der wieder auflodernden Flamme einen Krug mit Wein hervor, den er zwischen sich und seinen Gast stellte.
undine_02_f000020|Euch ist auch angst wegen des dummen Mädchens, Herr Ritter, sagte er, und wir wollen lieber einen Teil der Nacht verplaudern und vertrinken,|Euch ist auch angst wegen des dummen Mädchens, Herr Ritter, sagte er, und wir wollen lieber einen Teil der Nacht verplaudern und vertrinken,
undine_02_f000021|als uns auf den Schilfmatten vergebens nach dem Schlafe herumwälzen.|als uns auf den Schilfmatten vergebens nach dem Schlafe herumwälzen.
undine_02_f000022|Nicht wahr? – Huldbrand war gerne damit zufrieden, der Fischer nötigte ihn auf den ledigen Ehrenplatz der schlafengegangenen Hausfrau, und beide tranken und sprachen miteinander,|Nicht wahr? - Huldbrand war gerne damit zufrieden, der Fischer nötigte ihn auf den ledigen Ehrenplatz der schlafengegangenen Hausfrau, und beide tranken und sprachen miteinander,
undine_02_f000023|wie es zwei wackern und zutraulichen Männern geziemt.|wie es zwei wackern und zutraulichen Männern geziemt.
undine_02_f000024|Freilich, sooft sich vor den Fenstern das geringste regte oder auch bisweilen, wenn sich gar nichts regte, sah eines von beiden in die Höhe, sprechend: Sie kommt.|Freilich, sooft sich vor den Fenstern das geringste regte oder auch bisweilen, wenn sich gar nichts regte, sah eines von beiden in die Höhe, sprechend: Sie kommt.
undine_02_f000025|Dann wurden sie ein paar Augenblicke stille und fuhren nachher, da nichts erschien, kopfschüttelnd und seufzend in ihren Reden fort.|Dann wurden sie ein paar Augenblicke stille und fuhren nachher, da nichts erschien, kopfschüttelnd und seufzend in ihren Reden fort.
undine_02_f000026|Weil aber nun beide an fast gar nichts andres zu denken vermochten als an Undinen, so wußten sie auch nichts Bessres, als, der Ritter, zu hören,|Weil aber nun beide an fast gar nichts andres zu denken vermochten als an Undinen, so wußten sie auch nichts Bessres, als, der Ritter, zu hören,
undine_02_f000027|welchergestalt Undine zu dem alten Fischer gekommen sei, der alte Fischer, ebendiese Geschichte zu erzählen.|welchergestalt Undine zu dem alten Fischer gekommen sei, der alte Fischer, ebendiese Geschichte zu erzählen.
undine_02_f000028|Deshalben hub er folgendermaßen an:|Deshalben hub er folgendermaßen an:
undine_02_f000029|Es sind nun wohl funfzehn Jahre vergangen, da zog ich einmal durch den wüsten Wald mit meiner Ware nach der Stadt. Meine Frau war daheim geblieben wie gewöhnlich;|Es sind nun wohl funfzehn Jahre vergangen, da zog ich einmal durch den wüsten Wald mit meiner Ware nach der Stadt. Meine Frau war daheim geblieben wie gewöhnlich;
undine_02_f000030|und solches zu der Zeit auch noch um einer gar hübschen Ursache willen, denn Gott hatte uns, in unserm damals schon ziemlich hohen Alter, ein wunderschönes Kindlein beschert.|und solches zu der Zeit auch noch um einer gar hübschen Ursache willen, denn Gott hatte uns, in unserm damals schon ziemlich hohen Alter, ein wunderschönes Kindlein beschert.
undine_02_f000031|Es war ein Mägdlein, und die Rede ging bereits unter uns, ob wir nicht, dem neuen Ankömmlinge zu Frommen, unsre schöne Landzunge verlassen wollten,|Es war ein Mägdlein, und die Rede ging bereits unter uns, ob wir nicht, dem neuen Ankömmlinge zu Frommen, unsre schöne Landzunge verlassen wollten,
undine_02_f000032|um die liebe Himmelsgabe künftig an bewohnbaren Orten besser aufzuziehen.|um die liebe Himmelsgabe künftig an bewohnbaren Orten besser aufzuziehen.
undine_02_f000033|Es ist freilich bei armen Leuten nicht so damit, wie Ihr es meinen mögt, Herr Ritter; aber, lieber Gott! jedermann muß doch einmal tun, was er vermag.|Es ist freilich bei armen Leuten nicht so damit, wie Ihr es meinen mögt, Herr Ritter; aber, lieber Gott! jedermann muß doch einmal tun, was er vermag.
undine_02_f000034|Nun, mir ging unterwegs die Geschichte ziemlich im Kopfe herum. Diese Landzunge war mir so im Herzen lieb, und ich fuhr ordentlich zusammen,|Nun, mir ging unterwegs die Geschichte ziemlich im Kopfe herum. Diese Landzunge war mir so im Herzen lieb, und ich fuhr ordentlich zusammen,
undine_02_f000035|wenn ich unter dem Lärm und Gezänke in der Stadt bei mir selbsten denken mußte:|wenn ich unter dem Lärm und Gezänke in der Stadt bei mir selbsten denken mußte:
undine_02_f000036|in solcher Wirtschaft nimmst auch du nun mit nächstem deinen Wohnsitz oder doch in einer nicht viel stillern! – Dabei aber hab ich nicht gegen unsern lieben Herrgott gemurret,|in solcher Wirtschaft nimmst auch du nun mit nächstem deinen Wohnsitz oder doch in einer nicht viel stillern! - Dabei aber hab ich nicht gegen unsern lieben Herrgott gemurret,
undine_02_f000037|vielmehr ihm im stillen für das Neugeborne gedankt;|vielmehr ihm im stillen für das Neugeborne gedankt;
undine_02_f000038|ich müßte auch lügen, wenn ich sagen wollte, mir wäre auf dem Hin- oder Rückwege durch den Wald irgend etwas Bedenklicheres aufgestoßen als sonst,|ich müßte auch lügen, wenn ich sagen wollte, mir wäre auf dem Hin- oder Rückwege durch den Wald irgend etwas Bedenklicheres aufgestoßen als sonst,
undine_02_f000039|wie ich denn nie etwas Unheimliches dorten gesehn habe.|wie ich denn nie etwas Unheimliches dorten gesehn habe.
undine_02_f000040|Der Herr war immer mit mir in den verwunderlichen Schatten.|Der Herr war immer mit mir in den verwunderlichen Schatten.
undine_02_f000041|Da zog er sein Mützchen von dem kahlen Schädel und blieb eine Zeitlang in betenden Gedanken sitzen. Dann bedeckte er sich wieder und sprach fort:|Da zog er sein Mützchen von dem kahlen Schädel und blieb eine Zeitlang in betenden Gedanken sitzen. Dann bedeckte er sich wieder und sprach fort:
undine_02_f000042|Diesseits des Waldes, ach diesseits, da zog mir das Elend entgegen. Meine Frau kam gegangen mit strömenden Augen wie zwei Bäche; sie hatte Trauerkleider angelegt.|Diesseits des Waldes, ach diesseits, da zog mir das Elend entgegen. Meine Frau kam gegangen mit strömenden Augen wie zwei Bäche; sie hatte Trauerkleider angelegt.
undine_02_f000043|›O lieber Gott, ächzte ich, ›wo ist unser liebes Kind? Sag an. – ›Bei dem, den du rufest, lieber Mann, entgegnete sie, und wir gingen nun stillweinend miteinander in die Hütte.|O lieber Gott, ächzte ich, wo ist unser liebes Kind? Sag an. - Bei dem, den du rufest, lieber Mann, entgegnete sie, und wir gingen nun stillweinend miteinander in die Hütte.
undine_02_f000044|Ich suchte nach der kleinen Leiche; da erfuhr ich erst, wie alles gekommen war. Am Seeufer hatte meine Frau mit dem Kinde gesessen, und wie sie so recht sorglos und selig mit ihm spielt,|Ich suchte nach der kleinen Leiche; da erfuhr ich erst, wie alles gekommen war. Am Seeufer hatte meine Frau mit dem Kinde gesessen, und wie sie so recht sorglos und selig mit ihm spielt,
undine_02_f000045|bückt sich die Kleine auf einmal vor, als sähe sie etwas ganz Wunderschönes im Wasser;|bückt sich die Kleine auf einmal vor, als sähe sie etwas ganz Wunderschönes im Wasser;
undine_02_f000046|meine Frau sieht sie noch lachen, den lieben Engel, und mit den Händchen greifen; aber im Augenblick schießt sie ihr durch die rasche Bewegung aus den Armen und in den feuchten Spiegel hinunter.|meine Frau sieht sie noch lachen, den lieben Engel, und mit den Händchen greifen; aber im Augenblick schießt sie ihr durch die rasche Bewegung aus den Armen und in den feuchten Spiegel hinunter.
undine_02_f000047|Ich habe viel gesucht nach der kleinen Toten; es war zu nichts; auch keine Spur von ihr war zu finden. –|Ich habe viel gesucht nach der kleinen Toten; es war zu nichts; auch keine Spur von ihr war zu finden. -
undine_02_f000048|Nun, wir verwaisten Eltern saßen denn noch selbigen Abends still beisammen in der Hütte, zu reden hatte keiner Lust von uns, wenn man es auch gekonnt hätte vor Tränen.|Nun, wir verwaisten Eltern saßen denn noch selbigen Abends still beisammen in der Hütte, zu reden hatte keiner Lust von uns, wenn man es auch gekonnt hätte vor Tränen.
undine_02_f000049|Wir sahen so in das Feuer des Herdes hinein. Da raschelt was draußen an der Tür; sie springt auf, und ein wunderschönes Mägdlein von etwa drei,|Wir sahen so in das Feuer des Herdes hinein. Da raschelt was draußen an der Tür; sie springt auf, und ein wunderschönes Mägdlein von etwa drei,
undine_02_f000050|vier Jahren steht reich geputzt auf der Schwelle und lächelt uns an.|vier Jahren steht reich geputzt auf der Schwelle und lächelt uns an.
undine_02_f000051|Wir blieben ganz stumm vor Erstaunen, und ich wußte erst nicht, war es ein ordentlicher, kleiner Mensch, war es bloß ein gaukelhaftes Bildnis.|Wir blieben ganz stumm vor Erstaunen, und ich wußte erst nicht, war es ein ordentlicher, kleiner Mensch, war es bloß ein gaukelhaftes Bildnis.
undine_02_f000052|Da sah ich aber das Wasser von den goldnen Haaren und den reichen Kleidern herabtröpfeln und merkte nun wohl, das schöne Kindlein habe im Wasser gelegen, und Hilfe tue ihm not.|Da sah ich aber das Wasser von den goldnen Haaren und den reichen Kleidern herabtröpfeln und merkte nun wohl, das schöne Kindlein habe im Wasser gelegen, und Hilfe tue ihm not.
undine_02_f000053|›Frau, sagte ich, ›uns hat niemand unser liebes Kind erretten können; wir wollen doch wenigstens an andern Leuten tun, was uns selig auf Erden machen würde,|Frau, sagte ich, uns hat niemand unser liebes Kind erretten können; wir wollen doch wenigstens an andern Leuten tun, was uns selig auf Erden machen würde,
undine_02_f000054|vermöchte es jemand an uns zu tun.|vermöchte es jemand an uns zu tun.
undine_02_f000055|Wir zogen die Kleine aus, brachten sie zu Bett und reichten ihr wärmende Getränke, wobei sie kein Wort sprach und uns bloß aus den beiden seeblauen Augenhimmeln immerfort lächelnd anstarrte.|Wir zogen die Kleine aus, brachten sie zu Bett und reichten ihr wärmende Getränke, wobei sie kein Wort sprach und uns bloß aus den beiden seeblauen Augenhimmeln immerfort lächelnd anstarrte.
undine_02_f000056|Des andern Morgens ließ sich wohl abnehmen, daß sie keinen weitern Schaden genommen hatte, und ich fragte nun nach ihren Eltern und wie sie hierhergekommen sei.|Des andern Morgens ließ sich wohl abnehmen, daß sie keinen weitern Schaden genommen hatte, und ich fragte nun nach ihren Eltern und wie sie hierhergekommen sei.
undine_02_f000057|Das aber gab eine verworrne, wundersamliche Geschichte. Von weit her muß sie wohl gebürtig sein, denn nicht nur, daß ich diese funfzehn Jahre her nichts von ihrer Herkunft erforschen konnte,|Das aber gab eine verworrne, wundersamliche Geschichte. Von weit her muß sie wohl gebürtig sein, denn nicht nur, daß ich diese funfzehn Jahre her nichts von ihrer Herkunft erforschen konnte,
undine_02_f000058|so sprach und spricht sie auch bisweilen so absonderliche Dinge, daß unsereins nicht weiß, ob sie am Ende nicht gar vom Monde heruntergekommen sein könnte.|so sprach und spricht sie auch bisweilen so absonderliche Dinge, daß unsereins nicht weiß, ob sie am Ende nicht gar vom Monde heruntergekommen sein könnte.
undine_02_f000059|Da ist die Rede von goldnen Schlössern, von kristallnen Dächern und Gott weiß, wovon noch mehr. Was sie am deutlichsten erzählte, war, sie sei mit ihrer Mutter auf dem großen See spazierengefahren,|Da ist die Rede von goldnen Schlössern, von kristallnen Dächern und Gott weiß, wovon noch mehr. Was sie am deutlichsten erzählte, war, sie sei mit ihrer Mutter auf dem großen See spazierengefahren,
undine_02_f000060|aus der Barke ins Wasser gefallen und habe ihre Sinne erst hier unter den Bäumen wiedergefunden, wo ihr an dem lustigen Ufer recht behaglich zumute geworden sei.|aus der Barke ins Wasser gefallen und habe ihre Sinne erst hier unter den Bäumen wiedergefunden, wo ihr an dem lustigen Ufer recht behaglich zumute geworden sei.
undine_02_f000061|Nun hatten wir noch eine große Bedenklichkeit und Sorge auf dem Herzen. Daß wir an der lieben Ertrunknen Stelle die Gefundne behalten und auferziehn wollten,|Nun hatten wir noch eine große Bedenklichkeit und Sorge auf dem Herzen. Daß wir an der lieben Ertrunknen Stelle die Gefundne behalten und auferziehn wollten,
undine_02_f000062|war freilich sehr bald ausgemacht;|war freilich sehr bald ausgemacht;
undine_02_f000063|aber wer konnte nun wissen, ob das Kind getauft sei oder nicht?|aber wer konnte nun wissen, ob das Kind getauft sei oder nicht?
undine_02_f000064|Sie selber wußte darüber keine Auskunft zu geben. Daß sie eine Kreatur sei, zu Gottes Preis und Freude geschaffen, wisse sie wohl, antwortete sie uns mehrenteils,|Sie selber wußte darüber keine Auskunft zu geben. Daß sie eine Kreatur sei, zu Gottes Preis und Freude geschaffen, wisse sie wohl, antwortete sie uns mehrenteils,
undine_02_f000065|und was zu Gottes Preis und Freude gereicht, seie sie auch bereit, mit sich vornehmen zu lassen.|und was zu Gottes Preis und Freude gereicht, seie sie auch bereit, mit sich vornehmen zu lassen.
undine_02_f000066|Meine Frau und ich dachten so: ist sie nicht getauft, so gibtes da nichts zu zögern; ist sie es aber doch, so kann bei guten Dingen zuwenig eher schaden als zuviel.|Meine Frau und ich dachten so: ist sie nicht getauft, so gibtes da nichts zu zögern; ist sie es aber doch, so kann bei guten Dingen zuwenig eher schaden als zuviel.
undine_02_f000067|Und demzufolge sannen wir auf einen guten Namen für das Kind, das wir ohnehin noch nicht ordentlich zu rufen wußten. Wir meinten endlich, Dorothea werde sich am besten für sie schicken,|Und demzufolge sannen wir auf einen guten Namen für das Kind, das wir ohnehin noch nicht ordentlich zu rufen wußten. Wir meinten endlich, Dorothea werde sich am besten für sie schicken,
undine_02_f000068|weil ich einmal gehört hatte, das heiße Gottesgabe, und sie uns doch von Gott als eine Gabe zugesandt war, als ein Trost in unserm Elend.|weil ich einmal gehört hatte, das heiße Gottesgabe, und sie uns doch von Gott als eine Gabe zugesandt war, als ein Trost in unserm Elend.
undine_02_f000069|Sie hingegen wollte nichts davon hören und meinte, Undine sei sie von ihren Eltern genannt worden, Undine wolle sie auch ferner heißen.|Sie hingegen wollte nichts davon hören und meinte, Undine sei sie von ihren Eltern genannt worden, Undine wolle sie auch ferner heißen.
