tom_sawyer_01_f000001|Vorwort des Autors.|Vorwort des Autors.
tom_sawyer_01_f000145|So standen sie, jeder einen Fuß als Stütze zurückgestellt, aus aller Kraft aneinander herumschiebend und sich wütend anstarrend.|So standen sie, jeder einen Fuß als Stütze zurückgestellt, aus aller Kraft aneinander herumschiebend und sich wütend anstarrend.
tom_sawyer_01_f000146|Aber keiner konnte dem Gegner einen Vorteil abgewinnen.|Aber keiner konnte dem Gegner einen Vorteil abgewinnen.
tom_sawyer_01_f000147|Von diesem stillen Kampf heiß und atemlos, hielten beide gleichzeitig inne, und Tom sagte: Du bist doch ein Feigling und ein Aff obendrein!|Von diesem stillen Kampf heiß und atemlos, hielten beide gleichzeitig inne, und Tom sagte: Du bist doch ein Feigling und ein Aff obendrein!
tom_sawyer_01_f000148|Ich werdes meinem großen Bruder sagen, der kann dich mit dem kleinen Finger verhauen, und ich werdes ihm sagen, daß eres tut!|Ich werdes meinem großen Bruder sagen, der kann dich mit dem kleinen Finger verhauen, und ich werdes ihm sagen, daß eres tut!
tom_sawyer_01_f000149|Was schert mich dein Bruder! Ich habe einen Bruder, der noch viel stärker ist als deiner. Der wirft deinen Bruder über den Zaun da!|Was schert mich dein Bruder! Ich habe einen Bruder, der noch viel stärker ist als deiner. Der wirft deinen Bruder über den Zaun da!
tom_sawyer_01_f000150|Beide Brüder waren natürlich durchaus imaginär.|Beide Brüder waren natürlich durchaus imaginär.
tom_sawyer_01_f000151|Das lügst du!|Das lügst du!
tom_sawyer_01_f000152|Das weißt du !|Das weißt du !
tom_sawyer_01_f000153|Tom zog mit dem Fuß einen Strich durch den Sand und sagte: Komm herüber und ich hau dich, daß du liegen bleibst!|Tom zog mit dem Fuß einen Strich durch den Sand und sagte: Komm herüber und ich hau dich, daß du liegen bleibst!
tom_sawyer_01_f000154|Sofort sprang der andere hinüber und sagte herausfordernd: So, nun tues!|Sofort sprang der andere hinüber und sagte herausfordernd: So, nun tues!
tom_sawyer_01_f000155|Mach mich nicht wütend, rat ich dir!|Mach mich nicht wütend, rat ich dir!
tom_sawyer_01_f000156|Beim Deuker, für zwei Penny würde iches wirklich tun!|Beim Deuker, für zwei Penny würde iches wirklich tun!
tom_sawyer_01_f000157|Im nächsten Augenblick hatte der feine Junge ein Zweipennystück aus der Tasche geholt und hielt es Tom herausfordernd vor die Nase.|Im nächsten Augenblick hatte der feine Junge ein Zweipennystück aus der Tasche geholt und hielt es Tom herausfordernd vor die Nase.
tom_sawyer_01_f000158|Tom schlug es ihm aus der Hand. Im nächsten Augenblick rollten beide Jungen im Schmutz, ineinander verbissen wie zwei Katzen,|Tom schlug es ihm aus der Hand. Im nächsten Augenblick rollten beide Jungen im Schmutz, ineinander verbissen wie zwei Katzen,
tom_sawyer_01_f000159|und während ein paar Minuten rissen und zerrten sie sich an den Haaren und Kleidern, schlugen und zerkratzten sich die Nasen und bedeckten sich mit Staub und Ruhm.|und während ein paar Minuten rissen und zerrten sie sich an den Haaren und Kleidern, schlugen und zerkratzten sich die Nasen und bedeckten sich mit Staub und Ruhm.
tom_sawyer_01_f000160|Plötzlich klärte sich die Situation, und aus dem Kampfgewühl tauchte Tom empor, auf dem andern reitend und ihn mit den Fäusten traktierend.|Plötzlich klärte sich die Situation, und aus dem Kampfgewühl tauchte Tom empor, auf dem andern reitend und ihn mit den Fäusten traktierend.
tom_sawyer_01_f000161|Sag: Genug!|Sag: Genug!
tom_sawyer_01_f000162|Der Bengel setzte seine krampfhaften Bemühungen, sich zu befreien, fort, vor Wut schreiend.|Der Bengel setzte seine krampfhaften Bemühungen, sich zu befreien, fort, vor Wut schreiend.
tom_sawyer_01_f000163|Sag: Genug! Und Tom prügelte lustig weiter.|Sag: Genug! Und Tom prügelte lustig weiter.
tom_sawyer_01_f000164|Schließlich stieß der andere ein halb ersticktes Genug hervor. Tom ließ ihn aufstehen und sagte: So, nun weißt dues! Das nächste Mal sieh dich besser vor, mit wem du anbindest!|Schließlich stieß der andere ein halb ersticktes Genug hervor. Tom ließ ihn aufstehen und sagte: So, nun weißt dues! Das nächste Mal sieh dich besser vor, mit wem du anbindest!
tom_sawyer_01_f000165|Der Fremde trollte sich, sich den Staub von den Kleidern schlagend, schluchzend, sich die Nase reibend,|Der Fremde trollte sich, sich den Staub von den Kleidern schlagend, schluchzend, sich die Nase reibend,
tom_sawyer_01_f000166|von Zeit zu Zeit sich umsehend, um Tom zu drohen, daß er ihn das nächste Mal verhauen werde, worauf Tom höhnisch lachte und seelenvergnügt nach Hause schlenderte.|von Zeit zu Zeit sich umsehend, um Tom zu drohen, daß er ihn das nächste Mal verhauen werde, worauf Tom höhnisch lachte und seelenvergnügt nach Hause schlenderte.
tom_sawyer_01_f000167|Und sobald er den Rücken gewandt hatte, hob der andere einen Stein auf, zielte, traf Tom zwischen die Schultern und rannte davon mit der Geschwindigkeit einer Antilope.|Und sobald er den Rücken gewandt hatte, hob der andere einen Stein auf, zielte, traf Tom zwischen die Schultern und rannte davon mit der Geschwindigkeit einer Antilope.
tom_sawyer_01_f000168|Tom verfolgte den Verräter bis zu dessen Wohnung und fand so heraus, wo er wohne.|Tom verfolgte den Verräter bis zu dessen Wohnung und fand so heraus, wo er wohne.
tom_sawyer_01_f000169|Als tapferer Held blieb er dann herausfordernd eine Zeitlang an einem Zaun stehen, um zu warten, ob der Feind es wagen werde, wieder herauszukommen;|Als tapferer Held blieb er dann herausfordernd eine Zeitlang an einem Zaun stehen, um zu warten, ob der Feind es wagen werde, wieder herauszukommen;
tom_sawyer_01_f000170|aber der Feind begnügte sich, ihm durch die Fenster Gesichter zu schneiden und hütete sich, den neutralen Boden zu verlassen.|aber der Feind begnügte sich, ihm durch die Fenster Gesichter zu schneiden und hütete sich, den neutralen Boden zu verlassen.
tom_sawyer_01_f000171|Schließlich erschien des Feindes Mutter und nannte Tom ein schlechtes, lasterhaftes, gemeines Kind und jagte ihn davon.|Schließlich erschien des Feindes Mutter und nannte Tom ein schlechtes, lasterhaftes, gemeines Kind und jagte ihn davon.
tom_sawyer_01_f000172|So ging Tom also fort, aber er sagte, er hoffe, den Feind doch noch einmal zu erwischen.|So ging Tom also fort, aber er sagte, er hoffe, den Feind doch noch einmal zu erwischen.
tom_sawyer_01_f000173|Er kam ein bißchen spät nach Haus, und indem er behutsam in das Fenster kletterte, entdeckte er einen Hinterhalt in Gestalt seiner Tante;|Er kam ein bißchen spät nach Haus, und indem er behutsam in das Fenster kletterte, entdeckte er einen Hinterhalt in Gestalt seiner Tante;
tom_sawyer_01_f000174|und als sie den Zustand seiner Kleider sah, war ihr Entschluß unumstößlich gefaßt, ihn am Samstag in strenge Haft zu nehmen und ordentlich schwitzen zu lassen.|und als sie den Zustand seiner Kleider sah, war ihr Entschluß unumstößlich gefaßt, ihn am Samstag in strenge Haft zu nehmen und ordentlich schwitzen zu lassen.
tom_sawyer_01_f000175|Zweites Kapitel.|Zweites Kapitel.
tom_sawyer_01_f000176|Samstag morgen war gekommen, und es war ein heller, frischer Sommermorgen und sprühend von Leben.|Samstag morgen war gekommen, und es war ein heller, frischer Sommermorgen und sprühend von Leben.
tom_sawyer_01_f000177|Jedes Herz war voll Gesang, und wessen Herz jung war, der hatte ein Lied auf den Lippen.|Jedes Herz war voll Gesang, und wessen Herz jung war, der hatte ein Lied auf den Lippen.
tom_sawyer_01_f000178|Freude glänzte auf allen Gesichtern, und die Lust, zu springen, zuckte in aller Füßen. Die Akazien blühten, und ihr süßer Duft erfüllte die Luft.|Freude glänzte auf allen Gesichtern, und die Lust, zu springen, zuckte in aller Füßen. Die Akazien blühten, und ihr süßer Duft erfüllte die Luft.
tom_sawyer_01_f000179|Cardiff Hill, in der Nähe des Hauses und dasselbe überragend, war von Grün bedeckt und war gerade entfernt genug,|Cardiff Hill, in der Nähe des Hauses und dasselbe überragend, war von Grün bedeckt und war gerade entfernt genug,
tom_sawyer_01_f000180|um wie das gelobte Land, träumerisch, ruhevoll und unberührt zu erscheinen.|um wie das gelobte Land, träumerisch, ruhevoll und unberührt zu erscheinen.
tom_sawyer_01_f000181|Tom erschien auf der Bildfläche mit einem Eimer voll Farbe und einem großen Pinsel.|Tom erschien auf der Bildfläche mit einem Eimer voll Farbe und einem großen Pinsel.
tom_sawyer_01_f000182|Er überblickte die Umzäunung - und aller Glanz schwand aus der Natur, und tiefe Schwermut bemächtigte sich seines Geists.|Er überblickte die Umzäunung - und aller Glanz schwand aus der Natur, und tiefe Schwermut bemächtigte sich seines Geists.
tom_sawyer_01_f000183|Dreißig Yards lang und neun Fuß hoch war der unglückliche Zaun! Das Leben erschien ihm traurig.|Dreißig Yards lang und neun Fuß hoch war der unglückliche Zaun! Das Leben erschien ihm traurig.
tom_sawyer_01_f000184|Er empfand sein kleines Dasein als Last. Seufzend tauchte er den Pinsel in den Topf und strich einmal über die oberste Planke,|Er empfand sein kleines Dasein als Last. Seufzend tauchte er den Pinsel in den Topf und strich einmal über die oberste Planke,
tom_sawyer_01_f000185|wiederholte die Operation, und nochmals, und verglich das kleine gestrichene Stückchen mit der unendlichen noch zu erledigenden Strecke - und hockte sich entmutigt auf einen Baumstumpf.|wiederholte die Operation, und nochmals, und verglich das kleine gestrichene Stückchen mit der unendlichen noch zu erledigenden Strecke - und hockte sich entmutigt auf einen Baumstumpf.
tom_sawyer_01_f000186|Jim kam mit einem Zinneimer aus der Tür, Buffalo Gals singend.|Jim kam mit einem Zinneimer aus der Tür, Buffalo Gals singend.
tom_sawyer_01_f000187|Wasser von der Pumpe zu holen, war Tom bisher immer als eine der unwürdigsten Verrichtungen erschienen, jetzt schien es ihm anders.|Wasser von der Pumpe zu holen, war Tom bisher immer als eine der unwürdigsten Verrichtungen erschienen, jetzt schien es ihm anders.
tom_sawyer_01_f000188|Er sagte sich, daß er dort Gesellschaft finden werde;|Er sagte sich, daß er dort Gesellschaft finden werde;
tom_sawyer_01_f000189|Weiße, Mulatten und Neger, Knaben und Mädchen traf man immer dort, die, bis an sie die Reihe, zu pumpen kam,|Weiße, Mulatten und Neger, Knaben und Mädchen traf man immer dort, die, bis an sie die Reihe, zu pumpen kam,
tom_sawyer_01_f000190|herumlungerten, irgend ein Spiel trieben, sich zankten, prügelten und Wetten anstellten.|herumlungerten, irgend ein Spiel trieben, sich zankten, prügelten und Wetten anstellten.
tom_sawyer_01_f000191|Und dann überlegte er, daß die Pumpe zwar nur einhundertundfünfzig Yards entfernt sei, Jim trotzdem aber nie unter einer Stunde brauchte,|Und dann überlegte er, daß die Pumpe zwar nur einhundertundfünfzig Yards entfernt sei, Jim trotzdem aber nie unter einer Stunde brauchte,
tom_sawyer_01_f000192|um einen Eimer Wasser zu holen, und dann auch noch gewöhnlich geholt werden mußte.|um einen Eimer Wasser zu holen, und dann auch noch gewöhnlich geholt werden mußte.
tom_sawyer_01_f000193|Er sagte also: Du, Jim, ich will Wasser holen, wenn du inzwischen anstreichen willst.|Er sagte also: Du, Jim, ich will Wasser holen, wenn du inzwischen anstreichen willst.
tom_sawyer_01_f000194|Jim schüttelte den Kopf und antwortete: Es geht nicht, Master Tom. Alte Dame sagen mir zu gehen und holen Wasser und nix aufhalten mit irgendwem.|Jim schüttelte den Kopf und antwortete: Es geht nicht, Master Tom. Alte Dame sagen mir zu gehen und holen Wasser und nix aufhalten mit irgendwem.
tom_sawyer_01_f000195|Sie sagen, sie wissen, daß Master Tom werden versuchen zu gewinnen mich zu streichen, und so sie sagen, Jim zu gehen nach sein eigenes Geschäft und nix zu streichen.|Sie sagen, sie wissen, daß Master Tom werden versuchen zu gewinnen mich zu streichen, und so sie sagen, Jim zu gehen nach sein eigenes Geschäft und nix zu streichen.
tom_sawyer_01_f000196|Ach was, Jim, laß sie nur reden! So macht siees immer. Gib mir nur den Eimer - du sollst sehen, ich bin gleich wieder da! Sie brauchtes ja nicht zu wissen.|Ach was, Jim, laß sie nur reden! So macht siees immer. Gib mir nur den Eimer - du sollst sehen, ich bin gleich wieder da! Sie brauchtes ja nicht zu wissen.
tom_sawyer_01_f000197|Nein, Master Tom, ich nix tun! Alte Dame wollen ihm Kopf abreißen, wenn er tut so. Sicher, Master Tom!|Nein, Master Tom, ich nix tun! Alte Dame wollen ihm Kopf abreißen, wenn er tut so. Sicher, Master Tom!
tom_sawyer_01_f000198|Sie? Sie kann ja gar nicht schlagen - sie fährt einem mit dem Fingerhut über den Kopf, und wer macht sich daraus was?|Sie? Sie kann ja gar nicht schlagen - sie fährt einem mit dem Fingerhut über den Kopf, und wer macht sich daraus was?
tom_sawyer_01_f000199|Ihre Worte sind gefährlich, hm, - ja, aber sagen, ist doch nicht tun, wenn sie nur nicht so viel dabei weinen wollte.|Ihre Worte sind gefährlich, hm, - ja, aber sagen, ist doch nicht tun, wenn sie nur nicht so viel dabei weinen wollte.
tom_sawyer_01_f000200|Du, Jim, ich geb dir auch ene Murmel! Oder ene Glaskugel!|Du, Jim, ich geb dir auch ene Murmel! Oder ene Glaskugel!
tom_sawyer_01_f000201|Jim begann zu schwanken.|Jim begann zu schwanken.
tom_sawyer_01_f000202|Eine weiße Glaskugel, Jim - und horch mal, was für enen schönen Klang hat sie!|Eine weiße Glaskugel, Jim - und horch mal, was für enen schönen Klang hat sie!
tom_sawyer_01_f000203|Ach, sein das schöne, wunderschöne Glaskugel! Aber Master Tom, ich haben so furchtbar Angst vor alte Dame!|Ach, sein das schöne, wunderschöne Glaskugel! Aber Master Tom, ich haben so furchtbar Angst vor alte Dame!
tom_sawyer_01_f000204|Aber Jim war auch nur ein Mensch - diese Verführungskünste waren zu stark für ihn.|Aber Jim war auch nur ein Mensch - diese Verführungskünste waren zu stark für ihn.
tom_sawyer_01_f000205|Er setzte seinen Eimer hin und griff nach der Kugel.|Er setzte seinen Eimer hin und griff nach der Kugel.
tom_sawyer_01_f000206|Im nächsten Augenblick sauste er die Straße hinunter mit seinem Eimer und einem Schreckensschrei, - Tom arbeitete mit Vehemenz,|Im nächsten Augenblick sauste er die Straße hinunter mit seinem Eimer und einem Schreckensschrei, - Tom arbeitete mit Vehemenz,
tom_sawyer_01_f000207|und Tante Polly, einen Pantoffel in der Hand und Triumph im Auge, kehrte vom Felde zurück.|und Tante Polly, einen Pantoffel in der Hand und Triumph im Auge, kehrte vom Felde zurück.
tom_sawyer_01_f000208|Aber Toms Energie hielt nicht lange an. Er begann, an all die Streiche zu denken, die er für heute geplant hatte, und sein Kummer wurde immer größer.|Aber Toms Energie hielt nicht lange an. Er begann, an all die Streiche zu denken, die er für heute geplant hatte, und sein Kummer wurde immer größer.
tom_sawyer_01_f000209|Bald würden seine Spielgefährten, frei und sorglos, vorbeikommen, um auf alle möglichen Expeditionen auszugehen und die würden ihre Witze reißen über ihn,|Bald würden seine Spielgefährten, frei und sorglos, vorbeikommen, um auf alle möglichen Expeditionen auszugehen und die würden ihre Witze reißen über ihn,
tom_sawyer_01_f000210|der dastand und arbeiten mußte - der bloße Gedanke daran brannte wie Feuer.|der dastand und arbeiten mußte - der bloße Gedanke daran brannte wie Feuer.
tom_sawyer_01_f000211|Er kramte seine weltlichen Schätze aus und hielt Heerschau:|Er kramte seine weltlichen Schätze aus und hielt Heerschau:
tom_sawyer_01_f000212|allerhand selbsterfundenes Spielzeug, Murmel und Plunder - genug, um sich einen Arbeitstausch zu erkaufen,|allerhand selbsterfundenes Spielzeug, Murmel und Plunder - genug, um sich einen Arbeitstausch zu erkaufen,
tom_sawyer_01_f000213|aber nicht genug, um dadurch auch nur für eine halbe Stunde die Freiheit zu bekommen.|aber nicht genug, um dadurch auch nur für eine halbe Stunde die Freiheit zu bekommen.
tom_sawyer_01_f000214|So steckte er seine armselige Habe wieder in die Tasche und gab den Gedanken auf, einen Bestechungsversuch bei den Jungen zu machen.|So steckte er seine armselige Habe wieder in die Tasche und gab den Gedanken auf, einen Bestechungsversuch bei den Jungen zu machen.
tom_sawyer_01_f000215|Mitten in diese trüben und hoffnungslosen Betrachtungen kam plötzlich ein Einfall über ihn.|Mitten in diese trüben und hoffnungslosen Betrachtungen kam plötzlich ein Einfall über ihn.
tom_sawyer_01_f000216|Durchaus kein großer, glänzender Einfall. Er nahm seinen Pinsel wieder auf und setzte ruhig die Arbeit fort.|Durchaus kein großer, glänzender Einfall. Er nahm seinen Pinsel wieder auf und setzte ruhig die Arbeit fort.
tom_sawyer_01_f000217|Ben Rogers erschien in Sicht, der Junge aller Jungen, der sich über alle lustig machen durfte.|Ben Rogers erschien in Sicht, der Junge aller Jungen, der sich über alle lustig machen durfte.
tom_sawyer_01_f000218|Bens Gang war springend, tanzend, hüpfend - Beweis genug, daß sein Herz leicht und seine Gedanken und Pläne großartig waren.|Bens Gang war springend, tanzend, hüpfend - Beweis genug, daß sein Herz leicht und seine Gedanken und Pläne großartig waren.
tom_sawyer_01_f000219|Er knupperte an einem Apfel und ließ ein langes, melodiöses ho! ho! hören, gefolgt von einem gegrunzten: ding, dong, ding!|Er knupperte an einem Apfel und ließ ein langes, melodiöses ho! ho! hören, gefolgt von einem gegrunzten: ding, dong, ding!
tom_sawyer_01_f000220|ding, dong, dong! - denn er war in diesem Augenblick ein Dampfboot.|ding, dong, dong! - denn er war in diesem Augenblick ein Dampfboot.
tom_sawyer_01_f000221|Als er näher kam, mäßigte er seine GeschwindigKeit, nahm die Mitte der Straße, bog nach Steuerbord über und legte elegant und mit vielem Geschrei und Umstand bei,|Als er näher kam, mäßigte er seine GeschwindigKeit, nahm die Mitte der Straße, bog nach Steuerbord über und legte elegant und mit vielem Geschrei und Umstand bei,
