reisenachtilsit_1_f000001|Die Reise nach Tilsit Eine litauische Geschichte Wilwischken liegt am Haff.|Die Reise nach Tilsit Eine litauische Geschichte Wilwischken liegt am Haff.
reisenachtilsit_3_f000164|O Gott was für ein Ungeheuer kommt dort an!|O Gott was für ein Ungeheuer kommt dort an!
reisenachtilsit_3_f000165|Und geradeswegs auf sie zu. Indre kriegt den Ansas am Ärmel zu packen und fragt: Ist sie das?|Und geradeswegs auf sie zu. Indre kriegt den Ansas am Ärmel zu packen und fragt: Ist sie das?
reisenachtilsit_3_f000166|Ja, das ist sie. Wie kann es bloß so viel Scheußlichkeit geben!|Ja, das ist sie. Wie kann es bloß so viel Scheußlichkeit geben!
reisenachtilsit_3_f000167|Der Pukys mit dem feurigen Schweif und der andere Drache, der Atwars, sind gar nichts dagegen.|Der Pukys mit dem feurigen Schweif und der andere Drache, der Atwars, sind gar nichts dagegen.
reisenachtilsit_3_f000168|Sie schreit und hält sich die Augen zu und weiß nicht, ob sie weiterlachen oder noch einmal losweinen soll.|Sie schreit und hält sich die Augen zu und weiß nicht, ob sie weiterlachen oder noch einmal losweinen soll.
reisenachtilsit_3_f000169|Aber da der Ansas sie beschützt, entscheidet sie sich fürs Lachen und nimmt die Schürze vom Gesicht und macht: Puff, Puff.|Aber da der Ansas sie beschützt, entscheidet sie sich fürs Lachen und nimmt die Schürze vom Gesicht und macht: Puff, Puff.
reisenachtilsit_3_f000170|Genauso kindisch, wie die Elske machen würde, wenn sie den Drachen sähe, mit dem die Leute spazierenfahren.|Genauso kindisch, wie die Elske machen würde, wenn sie den Drachen sähe, mit dem die Leute spazierenfahren.
reisenachtilsit_3_f000171|Wohin fahren sie? fragt sie dann, als die letzten Wagen vorbei sind.|Wohin fahren sie? fragt sie dann, als die letzten Wagen vorbei sind.
reisenachtilsit_3_f000172|Ansas belehrt sie: Zuerst nach Insterburg, dann nach Königsberg und dann immer weiter bis nach Berlin.|Ansas belehrt sie: Zuerst nach Insterburg, dann nach Königsberg und dann immer weiter bis nach Berlin.
reisenachtilsit_3_f000173|Wollen wir nicht auch nach Berlin fahren? bittet sie.|Wollen wir nicht auch nach Berlin fahren? bittet sie.
reisenachtilsit_3_f000174|Wenn alles geordnet ist, sagt er, dann wollen wir nach Berlin fahren und den Kaiser sehen.|Wenn alles geordnet ist, sagt er, dann wollen wir nach Berlin fahren und den Kaiser sehen.
reisenachtilsit_3_f000175|Dabei wird er mit einemmal steinernst, als ob er ein Gelübde tut.|Dabei wird er mit einemmal steinernst, als ob er ein Gelübde tut.
reisenachtilsit_3_f000176|O Gott, wie ist das Leben schön!|O Gott, wie ist das Leben schön!
reisenachtilsit_3_f000177|Und das Leben wird immer noch schöner.|Und das Leben wird immer noch schöner.
reisenachtilsit_3_f000178|Wie sie auf dem Wege zur inneren Stadt an dem Anger vorbeikommen, jenem großen, häuserbestandenen Sandplatz, auf dem die Vieh- und Pferdemärkte abgehalten werden,|Wie sie auf dem Wege zur inneren Stadt an dem Anger vorbeikommen, jenem großen, häuserbestandenen Sandplatz, auf dem die Vieh- und Pferdemärkte abgehalten werden,
reisenachtilsit_3_f000179|da hören sie aus dem Gebüsch, das den Spazierweg umgibt, lustiges Leierkastengedudel und sehen den Glanz von Purpur und von Flittern durch die Zweige schimmern.|da hören sie aus dem Gebüsch, das den Spazierweg umgibt, lustiges Leierkastengedudel und sehen den Glanz von Purpur und von Flittern durch die Zweige schimmern.
reisenachtilsit_3_f000180|Nun möchte ich den Litauer kennenlernen, der an einem Karussell vorbeigeht, ohne begierig stehenzubleiben.|Nun möchte ich den Litauer kennenlernen, der an einem Karussell vorbeigeht, ohne begierig stehenzubleiben.
reisenachtilsit_3_f000181|Die Sonne ist zwar bald hinter den Häusern, und morgen früh will Ansas beim Kuhfüttern sein, aber was kann der kleine Umweg viel schaden, da man ja sowieso an vierzehn Stunden kreuzen muß.|Die Sonne ist zwar bald hinter den Häusern, und morgen früh will Ansas beim Kuhfüttern sein, aber was kann der kleine Umweg viel schaden, da man ja sowieso an vierzehn Stunden kreuzen muß.
reisenachtilsit_3_f000182|Und wie sie das runde, sammetbehangene Tempelchen vor sich sehen, dessen Prunksessel und Schlittensitze nur auf sie zu warten scheinen, da weist Ansas mit einemmal fast erschrocken nach dem Leinwanddache, auf dessen Spitze ein goldener Wimpel weht.|Und wie sie das runde, sammetbehangene Tempelchen vor sich sehen, dessen Prunksessel und Schlittensitze nur auf sie zu warten scheinen, da weist Ansas mit einemmal fast erschrocken nach dem Leinwanddache, auf dessen Spitze ein goldener Wimpel weht.
reisenachtilsit_3_f000183|Sie weiß nicht, was sie da gucken soll.|Sie weiß nicht, was sie da gucken soll.
reisenachtilsit_3_f000184|Er vergleicht den Wimpel mit den Wetterfahnen rings auf den Dächern.|Er vergleicht den Wimpel mit den Wetterfahnen rings auf den Dächern.
reisenachtilsit_3_f000185|Es stimmt! Der Wind ist nach Süden umgeschlagen und das Kreuzen unnötig geworden.|Es stimmt! Der Wind ist nach Süden umgeschlagen und das Kreuzen unnötig geworden.
reisenachtilsit_3_f000186|In sieben Stunden kann der Kahn zu Hause sein. Also erauf auf die Pferde!|In sieben Stunden kann der Kahn zu Hause sein. Also erauf auf die Pferde!
reisenachtilsit_3_f000187|Die Indre wehrt sich wohl ein bißchen eine Mutter von drei Kindern, wo schickt sich das?|Die Indre wehrt sich wohl ein bißchen eine Mutter von drei Kindern, wo schickt sich das?
reisenachtilsit_3_f000188|Aber in Tilsit kennt sie ja keiner. Also, fix, fix erauf auf die Pferde, sonst gehtes am Ende noch los ohne sie beide.|Aber in Tilsit kennt sie ja keiner. Also, fix, fix erauf auf die Pferde, sonst gehtes am Ende noch los ohne sie beide.
reisenachtilsit_3_f000189|Und sie reiten und fahren und reiten wieder, und dann fahren sie noch einmal und noch einmal, weil sie zum Reiten schon lange zu schwindlig sind.|Und sie reiten und fahren und reiten wieder, und dann fahren sie noch einmal und noch einmal, weil sie zum Reiten schon lange zu schwindlig sind.
reisenachtilsit_3_f000190|Die ganze Welt ist längst eine große Drehscheibe geworden, und der Himmel jagt rückwärts als ein feuriger Kreisel um sie herum.|Die ganze Welt ist längst eine große Drehscheibe geworden, und der Himmel jagt rückwärts als ein feuriger Kreisel um sie herum.
reisenachtilsit_3_f000191|Aber sie fahren noch immer und singen dazu: Tilschen, mein Tilschen, wie schön bist du doch!|Aber sie fahren noch immer und singen dazu: Tilschen, mein Tilschen, wie schön bist du doch!
reisenachtilsit_3_f000192|Ich liebe dich heute wie einst! Die Sonne wäre nichts wie ein finsteres Loch, Wenn du sie nicht manchmal bescheinst.|Ich liebe dich heute wie einst! Die Sonne wäre nichts wie ein finsteres Loch, Wenn du sie nicht manchmal bescheinst.
reisenachtilsit_3_f000193|Und die umstehenden Kinder, die schon dreimal Freifahrt gehabt haben, singen dankbar mit, obwohl sie Text und Weise nicht begreifen können.|Und die umstehenden Kinder, die schon dreimal Freifahrt gehabt haben, singen dankbar mit, obwohl sie Text und Weise nicht begreifen können.
reisenachtilsit_3_f000194|Aber schließlich wird der Indre übel. Sie muß ein Ende machen, ob sie will oder nicht.|Aber schließlich wird der Indre übel. Sie muß ein Ende machen, ob sie will oder nicht.
reisenachtilsit_3_f000195|Und nun stehen sie beide lachend und betäubt unter den johlenden Kindern und streuen in die ausgestreckten Hände die Krümel der Konditorkuchen, die sie aus Versehen längst plattgesessen haben.|Und nun stehen sie beide lachend und betäubt unter den johlenden Kindern und streuen in die ausgestreckten Hände die Krümel der Konditorkuchen, die sie aus Versehen längst plattgesessen haben.
reisenachtilsit_3_f000196|Ja, so schön kann das Leben sein, wenn man sich liebt und Karussell dazu fährt!|Ja, so schön kann das Leben sein, wenn man sich liebt und Karussell dazu fährt!
reisenachtilsit_3_f000197|Dann nehmen sie Abschied von den Kindern und den Kindermädchen, von denen etliche sie noch ein Ende begleiten.|Dann nehmen sie Abschied von den Kindern und den Kindermädchen, von denen etliche sie noch ein Ende begleiten.
reisenachtilsit_3_f000198|Um ihnen den Weg zu zeigen, sagen sie, aber in Wahrheit wollen sie bei Gelegenheit noch ein Stück Kuchen erraffen.|Um ihnen den Weg zu zeigen, sagen sie, aber in Wahrheit wollen sie bei Gelegenheit noch ein Stück Kuchen erraffen.
reisenachtilsit_3_f000199|Und sie hätten auch richtig was gekriegt, wenn sie bis zur Dekominschen Konditorei ausgehalten hätten.|Und sie hätten auch richtig was gekriegt, wenn sie bis zur Dekominschen Konditorei ausgehalten hätten.
reisenachtilsit_3_f000200|Aber die liegt ja, wie wir wissen, am andern Ende der Stadt.|Aber die liegt ja, wie wir wissen, am andern Ende der Stadt.
reisenachtilsit_3_f000201|Daselbst lassen sie beide sich noch einmal ein schönes Paket zurechtmachen, aber diesmal sucht die Indre aus.|Daselbst lassen sie beide sich noch einmal ein schönes Paket zurechtmachen, aber diesmal sucht die Indre aus.
reisenachtilsit_3_f000202|Der Ansas bestellt derweilen noch zwei Gläschen von dem klebrigen Rosenlikör und nimmt zur Sicherheit für vorkommende Fälle gleich die ganze Flasche mit.|Der Ansas bestellt derweilen noch zwei Gläschen von dem klebrigen Rosenlikör und nimmt zur Sicherheit für vorkommende Fälle gleich die ganze Flasche mit.
reisenachtilsit_3_f000203|Wie sie zu ihrem Kahn hinabsteigen, ist die Sonne längst untergegangen.|Wie sie zu ihrem Kahn hinabsteigen, ist die Sonne längst untergegangen.
reisenachtilsit_3_f000204|Aber das macht nichts, denn der Südwind hält fest, und der Mond steht schon bereit, um ihnen zu leuchten.|Aber das macht nichts, denn der Südwind hält fest, und der Mond steht schon bereit, um ihnen zu leuchten.
reisenachtilsit_3_f000205|Unter solchen Umständen ist ja die Fahrt ein Kinderspiel.|Unter solchen Umständen ist ja die Fahrt ein Kinderspiel.
reisenachtilsit_3_f000206|Ansas schöpft mit der Pilte das Wasser aus, damit die Bodenbretter hübsch trocken sind, wenn die Indre sich etwa langlegen will.|Ansas schöpft mit der Pilte das Wasser aus, damit die Bodenbretter hübsch trocken sind, wenn die Indre sich etwa langlegen will.
reisenachtilsit_3_f000207|Aber sie will nicht. Sie setzt sich auf ihren alten Platz vorn auf die Paragge, damit sie dem Ansas zusehen und sich im stillen an ihm freuen kann. Und dann geht es los.|Aber sie will nicht. Sie setzt sich auf ihren alten Platz vorn auf die Paragge, damit sie dem Ansas zusehen und sich im stillen an ihm freuen kann. Und dann geht es los.
reisenachtilsit_4_f000001|Die Ufer werden dunkler, und eine große Stille breitet sich aus.|Die Ufer werden dunkler, und eine große Stille breitet sich aus.
reisenachtilsit_4_f000002|Sie muß immerzu daran denken, in welcher Angsthaftigkeit das Herz sie drückte, als sie vor acht Stunden desselben Weges fuhr, und wie leicht sie jetzt Atem holen kann.|Sie muß immerzu daran denken, in welcher Angsthaftigkeit das Herz sie drückte, als sie vor acht Stunden desselben Weges fuhr, und wie leicht sie jetzt Atem holen kann.
reisenachtilsit_4_f000003|Sie möchte am liebsten ein Dankgebet sprechen, aber sie will es nicht allein tun, denn er gehört ja wieder zu ihr... und nötig hat er es auch.|Sie möchte am liebsten ein Dankgebet sprechen, aber sie will es nicht allein tun, denn er gehört ja wieder zu ihr... und nötig hat er es auch.
reisenachtilsit_4_f000004|Aber er hat jetzt nur Blick für Segel und Steuer, denn die Brückenpfeiler sind da und viele Kähne, die auf beiden Seiten vor Anker liegen.|Aber er hat jetzt nur Blick für Segel und Steuer, denn die Brückenpfeiler sind da und viele Kähne, die auf beiden Seiten vor Anker liegen.
reisenachtilsit_4_f000005|Manchmal nickt er ihr freundlich zu.|Manchmal nickt er ihr freundlich zu.
reisenachtilsit_4_f000006|Das ist alles.|Das ist alles.
reisenachtilsit_4_f000007|Alsdann breitet sich der Strom, und der Mond fängt zu scheinen an.|Alsdann breitet sich der Strom, und der Mond fängt zu scheinen an.
reisenachtilsit_4_f000008|Die Wellchen sind ganz silbern in der Richtung auf ihn zu und setzen sich und fliegen auf wie kleine weiße Vögelchen.|Die Wellchen sind ganz silbern in der Richtung auf ihn zu und setzen sich und fliegen auf wie kleine weiße Vögelchen.
reisenachtilsit_4_f000009|Sie kann den Ansas gut erkennen, er sie aber nicht, denn der Mond steht hinter ihr.|Sie kann den Ansas gut erkennen, er sie aber nicht, denn der Mond steht hinter ihr.
reisenachtilsit_4_f000010|Darum sagt er auch plötzlich: Warum sitzt du so weit von mir weg?|Darum sagt er auch plötzlich: Warum sitzt du so weit von mir weg?
reisenachtilsit_4_f000011|Ich sitze da, wo ich auf der Hinfahrt gesessen habe, sagt sie.|Ich sitze da, wo ich auf der Hinfahrt gesessen habe, sagt sie.
reisenachtilsit_4_f000012|Hinfahrt und Rückfahrt sind so verschieden wie Tag und Nacht, sagt er.|Hinfahrt und Rückfahrt sind so verschieden wie Tag und Nacht, sagt er.
reisenachtilsit_4_f000013|Und sie denkt: Bloß daß jetzt Tag ist und damals Nacht war.|Und sie denkt: Bloß daß jetzt Tag ist und damals Nacht war.
reisenachtilsit_4_f000014|Darum komm herüber und setz dich neben mich, sagt er.|Darum komm herüber und setz dich neben mich, sagt er.
reisenachtilsit_4_f000015|Ach, wie gerne sie das tut!|Ach, wie gerne sie das tut!
reisenachtilsit_4_f000016|Aber als sie ihm näher kommt, da fällt ihr Blick auf die Sackleinwand, die zwischen seinen Füßen liegt und die sie bisher nicht bemerkt hat.|Aber als sie ihm näher kommt, da fällt ihr Blick auf die Sackleinwand, die zwischen seinen Füßen liegt und die sie bisher nicht bemerkt hat.
reisenachtilsit_4_f000017|Wie sie die wiedersieht, wird ihr ganz schlecht.|Wie sie die wiedersieht, wird ihr ganz schlecht.
reisenachtilsit_4_f000018|Sie sinkt auf die Mittelbank nieder und lehnt ihren Rücken gegen den Mast.|Sie sinkt auf die Mittelbank nieder und lehnt ihren Rücken gegen den Mast.
reisenachtilsit_4_f000019|Warum kommst du nicht? fragt er fast unwirsch.|Warum kommst du nicht? fragt er fast unwirsch.
reisenachtilsit_4_f000020|Nun weiß sie nicht, was sie tun soll.|Nun weiß sie nicht, was sie tun soll.
reisenachtilsit_4_f000021|Soll sie ihn fragen, soll siees mit Stillschweigen übergehen?|Soll sie ihn fragen, soll siees mit Stillschweigen übergehen?
reisenachtilsit_4_f000022|Aber das weiß sie: Dorthin, wo prall und rund der Sack liegt, um dessen Inhalt er sie belügt, dorthin kann sie die Füße nicht setzen.|Aber das weiß sie: Dorthin, wo prall und rund der Sack liegt, um dessen Inhalt er sie belügt, dorthin kann sie die Füße nicht setzen.
reisenachtilsit_4_f000023|Sie würde glauben, auf ein Nest von Schlangen zu treten.|Sie würde glauben, auf ein Nest von Schlangen zu treten.
reisenachtilsit_4_f000024|Und da kommt ihr der Gedanke, Klarheit zu schaffen über das, was gewesen ist.|Und da kommt ihr der Gedanke, Klarheit zu schaffen über das, was gewesen ist.
reisenachtilsit_4_f000025|Jetzt gleich im Augenblick. Denn später kommt sie vielleicht nie.|Jetzt gleich im Augenblick. Denn später kommt sie vielleicht nie.
reisenachtilsit_4_f000026|Sie faßt sich also ein Herz. Willst du mir nicht sagen, mein Ansaschen, was du in der Sackleinwand hast?|Sie faßt sich also ein Herz. Willst du mir nicht sagen, mein Ansaschen, was du in der Sackleinwand hast?
reisenachtilsit_4_f000027|Er fährt hoch, als hätte ihn eine aus dem Schlangennest in den Fuß gebissen, aber er schweigt und wendet den Kopf weg.|Er fährt hoch, als hätte ihn eine aus dem Schlangennest in den Fuß gebissen, aber er schweigt und wendet den Kopf weg.
reisenachtilsit_4_f000028|Sie kann sehen, wie er zittert.|Sie kann sehen, wie er zittert.
reisenachtilsit_4_f000029|Da erhebt sie sich und legt die Hand auf seine Schulter, hütet sich aber, der Sackleinwand zu nahe zu kommen.|Da erhebt sie sich und legt die Hand auf seine Schulter, hütet sich aber, der Sackleinwand zu nahe zu kommen.
reisenachtilsit_4_f000030|Mein Ansaschen, sagt sie, es ist ja jetzt wieder ganz gut zwischen uns, aber ehe du nicht alles gestehst, geht die Erinnerung an das Böse nicht weg.|Mein Ansaschen, sagt sie, es ist ja jetzt wieder ganz gut zwischen uns, aber ehe du nicht alles gestehst, geht die Erinnerung an das Böse nicht weg.
reisenachtilsit_4_f000031|Er bleibt ganz still, aber sie fühlt, wie es ihn schüttelt.|Er bleibt ganz still, aber sie fühlt, wie es ihn schüttelt.
reisenachtilsit_4_f000032|Und dann, mein Ansaschen, sagt sie weiter, geht es auch wegen des lieben Gottes nicht anders.|Und dann, mein Ansaschen, sagt sie weiter, geht es auch wegen des lieben Gottes nicht anders.
reisenachtilsit_4_f000033|Ich habe vorhin beten wollen, aber die Worte blieben mir im Halse.|Ich habe vorhin beten wollen, aber die Worte blieben mir im Halse.
reisenachtilsit_4_f000034|Denn du standest mir nicht bei. Darum sag es schon, und dann beten wir beide zusammen.|Denn du standest mir nicht bei. Darum sag es schon, und dann beten wir beide zusammen.
reisenachtilsit_4_f000035|Da fällt er vor ihr auf seine Knie, schlingt die Arme um ihre Knie und gesteht alles.|Da fällt er vor ihr auf seine Knie, schlingt die Arme um ihre Knie und gesteht alles.
reisenachtilsit_4_f000036|Mein armes Ansaschen, sagt sie, als er zu Ende ist, und streichelt seinen Kopf.|Mein armes Ansaschen, sagt sie, als er zu Ende ist, und streichelt seinen Kopf.
reisenachtilsit_4_f000037|Da müssen wir aber tüchtig beten, damit der liebe Gott uns verzeiht.|Da müssen wir aber tüchtig beten, damit der liebe Gott uns verzeiht.
reisenachtilsit_4_f000038|Und sie läßt sich neben ihm auf die Knie nieder, faltet ihre Hände mit den seinen zusammen, und so beten sie lange.|Und sie läßt sich neben ihm auf die Knie nieder, faltet ihre Hände mit den seinen zusammen, und so beten sie lange.
reisenachtilsit_4_f000039|Nur manchmal muß er nach dem Steuer sehen, und dann wartet sie, bis er fertig ist.|Nur manchmal muß er nach dem Steuer sehen, und dann wartet sie, bis er fertig ist.
reisenachtilsit_4_f000040|Zum Schluß segnet sie ihn, und er segnet sie, und dann stehen sie wieder auf und sind guter Dinge.|Zum Schluß segnet sie ihn, und er segnet sie, und dann stehen sie wieder auf und sind guter Dinge.
reisenachtilsit_4_f000041|Nur was in der Sackleinwand ist, hat er vergessen zu sagen.|Nur was in der Sackleinwand ist, hat er vergessen zu sagen.
reisenachtilsit_4_f000042|Sie zeigt darauf hin und will es wissen.|Sie zeigt darauf hin und will es wissen.
reisenachtilsit_4_f000043|Aber er wendet sich ab. Er schämt sich zu sehr.|Aber er wendet sich ab. Er schämt sich zu sehr.
reisenachtilsit_4_f000044|Da sagt sie: Ich werde selber öffnen. Und er wehrt ihr nicht.|Da sagt sie: Ich werde selber öffnen. Und er wehrt ihr nicht.
reisenachtilsit_4_f000045|Und wie sie den Sack aufreißt, was findet sie da?|Und wie sie den Sack aufreißt, was findet sie da?
reisenachtilsit_4_f000046|Zwei Bündel grüne Binsen findet sie, mit Bindfaden aneinandergebunden.|Zwei Bündel grüne Binsen findet sie, mit Bindfaden aneinandergebunden.
reisenachtilsit_4_f000047|Weiter nichts. Sie lacht und sagt: Ist das die ganze Zauberei?|Weiter nichts. Sie lacht und sagt: Ist das die ganze Zauberei?
reisenachtilsit_4_f000048|Aber er schämt sich noch immer.|Aber er schämt sich noch immer.
reisenachtilsit_4_f000049|Da errät sie langsam, daß er damit nach dem Umschlagen des Kahnes hat davonschwimmen wollen, wie die Schuljungens tun, wenn sie im tiefen Wasser paddeln.|Da errät sie langsam, daß er damit nach dem Umschlagen des Kahnes hat davonschwimmen wollen, wie die Schuljungens tun, wenn sie im tiefen Wasser paddeln.
reisenachtilsit_4_f000050|Solch ein Lunterus bin ich geworden!|Solch ein Lunterus bin ich geworden!
reisenachtilsit_4_f000051|sagt er und schlägt sich mit den Fäusten vor die Brust.|sagt er und schlägt sich mit den Fäusten vor die Brust.
reisenachtilsit_4_f000052|Aber sie lächelt und sagt: Pfui doch, Ansaschen, der Mensch soll sich nicht zu hart schimpfen, sonst macht er sich selber zum Hundsdreck.|Aber sie lächelt und sagt: Pfui doch, Ansaschen, der Mensch soll sich nicht zu hart schimpfen, sonst macht er sich selber zum Hundsdreck.
reisenachtilsit_4_f000053|Und so hat sie ihm nicht nur verziehen, sondern richtet auch seine Seele wieder auf.|Und so hat sie ihm nicht nur verziehen, sondern richtet auch seine Seele wieder auf.
reisenachtilsit_4_f000054|Wie sie sich neben ihn setzt denn er will sie nun ganz nahe haben –, da merkt sie, daß sie mit ihrem Leibe den Gang des Steuers behindert, darum breitet sie zu seinen Füßen das weiße Reisetuch aus,|Wie sie sich neben ihn setzt denn er will sie nun ganz nahe haben -, da merkt sie, daß sie mit ihrem Leibe den Gang des Steuers behindert, darum breitet sie zu seinen Füßen das weiße Reisetuch aus,
reisenachtilsit_4_f000055|das sie im vorderen Abschlag verwahrt hat, und legt sich darauf doch so, daß ihr Kopf auf seine Knie zu liegen kommt.|das sie im vorderen Abschlag verwahrt hat, und legt sich darauf doch so, daß ihr Kopf auf seine Knie zu liegen kommt.
reisenachtilsit_4_f000056|Und nun ist es genauso wie damals in Ibenhorst, als die Elske noch unterwegs war.|Und nun ist es genauso wie damals in Ibenhorst, als die Elske noch unterwegs war.
reisenachtilsit_4_f000057|Und so fahren sie dahin und wissen vor Glück nicht, was sie zueinander reden sollen.|Und so fahren sie dahin und wissen vor Glück nicht, was sie zueinander reden sollen.
reisenachtilsit_4_f000058|Von den Uferwiesen her riecht das Schnittgras man kann den Thymian unterscheiden und das Melissenkraut, auch den wilden Majoran und das Thimotheegras und was sonst noch starken Duft an sich hat.|Von den Uferwiesen her riecht das Schnittgras man kann den Thymian unterscheiden und das Melissenkraut, auch den wilden Majoran und das Thimotheegras und was sonst noch starken Duft an sich hat.
reisenachtilsit_4_f000059|Der Stromdamm zieht vorüber wie ein grünblaues Seidenband.|Der Stromdamm zieht vorüber wie ein grünblaues Seidenband.
reisenachtilsit_4_f000060|Wo zufällig der Rasen den Abhang hinuntergeglitten ist, da leuchtet er wie ein Schneeberg.|Wo zufällig der Rasen den Abhang hinuntergeglitten ist, da leuchtet er wie ein Schneeberg.
reisenachtilsit_4_f000061|Und der Mondnebel liegt auf dem Wasser, so daß man immer ein wenig aufpassen muß.|Und der Mondnebel liegt auf dem Wasser, so daß man immer ein wenig aufpassen muß.
reisenachtilsit_4_f000062|Außer den plumpsenden Fischchen, die nach den Mücken jagen, ist nicht viel zu hören.|Außer den plumpsenden Fischchen, die nach den Mücken jagen, ist nicht viel zu hören.
reisenachtilsit_4_f000063|Nur die Nachtvögel sind immer noch wach.|Nur die Nachtvögel sind immer noch wach.
reisenachtilsit_4_f000064|Kommt ein Gehölz oder ein Garten, dann ist auch die Nachtigall da und singt ihr: Jurgut jurgut jurgut wazok, wazok, wazok... Und der Wachtelmann betet sein Liebesgebet: Garbink Diewa.|Kommt ein Gehölz oder ein Garten, dann ist auch die Nachtigall da und singt ihr: Jurgut jurgut jurgut wazok, wazok, wazok... Und der Wachtelmann betet sein Liebesgebet: Garbink Diewa.
reisenachtilsit_4_f000065|Sogar ein Kiebitz läßt sich noch ab und zu hören, obgleich der doch längst schlafen müßte.|Sogar ein Kiebitz läßt sich noch ab und zu hören, obgleich der doch längst schlafen müßte.
reisenachtilsit_4_f000066|Und dann kommt mit einemmal Musik.|Und dann kommt mit einemmal Musik.
reisenachtilsit_4_f000067|Das sind die Dzimken, die ihre Triften während der Nacht am Ternpfahl festbinden müssen.|Das sind die Dzimken, die ihre Triften während der Nacht am Ternpfahl festbinden müssen.
reisenachtilsit_4_f000068|Aber Gott weiß, wann die schlafen!|Aber Gott weiß, wann die schlafen!
reisenachtilsit_4_f000069|Bei Tage rudern sie und singen, und bei Nacht singen sie auch.|Bei Tage rudern sie und singen, und bei Nacht singen sie auch.
reisenachtilsit_4_f000070|Ihr Feuerchen brennt, und dann liegen sie ringsum.|Ihr Feuerchen brennt, und dann liegen sie ringsum.
reisenachtilsit_4_f000071|Einer spielt die Harmonika, und sie singen.|Einer spielt die Harmonika, und sie singen.
reisenachtilsit_4_f000072|Da hört man auch schon das hübsche Liedchen Meine Tochter Symonene, das jeder kennt, in Preußen wie im Russischen drüben.|Da hört man auch schon das hübsche Liedchen Meine Tochter Symonene, das jeder kennt, in Preußen wie im Russischen drüben.
reisenachtilsit_4_f000073|Ja, ja, die Symonene!|Ja, ja, die Symonene!
reisenachtilsit_4_f000074|Die zu einem Knaben kam und wußte nicht wie!|Die zu einem Knaben kam und wußte nicht wie!
reisenachtilsit_4_f000075|Das kann wohl mancher so gehen.|Das kann wohl mancher so gehen.
reisenachtilsit_4_f000076|Aber der Knabe ist schließlich ein Hetman geworden, wenigstens hat die Symonene es so geträumt.|Aber der Knabe ist schließlich ein Hetman geworden, wenigstens hat die Symonene es so geträumt.
reisenachtilsit_4_f000077|Der Willus muß ein Pfarrer werden, bittet die Indre schmeichelnd zu Ansas empor.|Der Willus muß ein Pfarrer werden, bittet die Indre schmeichelnd zu Ansas empor.
reisenachtilsit_4_f000078|Der Willus wird ein Pfarrer werden, sagt er ganz feierlich, und die Indre freut sich.|Der Willus wird ein Pfarrer werden, sagt er ganz feierlich, und die Indre freut sich.
reisenachtilsit_4_f000079|Denn was in solcher Stunde versprochen wird, das erfüllt sich gleichsam von selber.|Denn was in solcher Stunde versprochen wird, das erfüllt sich gleichsam von selber.
reisenachtilsit_4_f000080|So fahren sie an dem Floß vorbei, und bald kommt ein nächstes.|So fahren sie an dem Floß vorbei, und bald kommt ein nächstes.
reisenachtilsit_4_f000081|Darauf spielt einer gar die Geige.|Darauf spielt einer gar die Geige.
reisenachtilsit_4_f000082|Und die andern singen: Unterm Ahorn rinnt die Quelle, Wo die Gottessöhne tanzen Nächtlich in der Mondenhelle Mit den Gottestöchtern.|Und die andern singen: Unterm Ahorn rinnt die Quelle, Wo die Gottessöhne tanzen Nächtlich in der Mondenhelle Mit den Gottestöchtern.
reisenachtilsit_4_f000083|Ansas und Indre singen mit.|Ansas und Indre singen mit.
reisenachtilsit_4_f000084|Die Dzimken erkennen die Frauenstimme und rufen ihnen ein Labs wakars! zu.|Die Dzimken erkennen die Frauenstimme und rufen ihnen ein Labs wakars! zu.
reisenachtilsit_4_f000085|Zum Dank für den Gutenachtgruß will Ansas ihnen was Freundliches antun und läßt sich die Mühe nicht verdrießen, das Segel einzuziehen und an dem Floß anzulegen.|Zum Dank für den Gutenachtgruß will Ansas ihnen was Freundliches antun und läßt sich die Mühe nicht verdrießen, das Segel einzuziehen und an dem Floß anzulegen.
reisenachtilsit_4_f000086|Nun kommen sie alle heran es sind ihrer fünfe –, und der Jude, dem die Trift gehört, kommt auch.|Nun kommen sie alle heran es sind ihrer fünfe -, und der Jude, dem die Trift gehört, kommt auch.
reisenachtilsit_4_f000087|Ansas schenkt jedem etwas von dem Rosenlikör ein, und sie erklären, so was Schönes noch nie im Leben getrunken zu haben.|Ansas schenkt jedem etwas von dem Rosenlikör ein, und sie erklären, so was Schönes noch nie im Leben getrunken zu haben.
reisenachtilsit_4_f000088|Und dann singen sie alle zusammen noch einmal das Lied von den Gottestöchtern, von dem Ring, der in die Tiefe fiel, und den zwei Schwänen, die das Wasser getrübt haben sollen.|Und dann singen sie alle zusammen noch einmal das Lied von den Gottestöchtern, von dem Ring, der in die Tiefe fiel, und den zwei Schwänen, die das Wasser getrübt haben sollen.
reisenachtilsit_4_f000089|Zum Abschied reicht Ansas allen die Hand, und die Indre auch.|Zum Abschied reicht Ansas allen die Hand, und die Indre auch.
reisenachtilsit_4_f000090|Und der Jude wünscht ihnen noch hundert Johr!|Und der Jude wünscht ihnen noch hundert Johr!
reisenachtilsit_4_f000091|Wärenes bloß hundert Stunden gewesen, der Ansas hätte sie brauchen können.|Wärenes bloß hundert Stunden gewesen, der Ansas hätte sie brauchen können.
