das_letzte_marchen_004_f000001|Abschnitt 4 von das letzte Märchen vom Paul Keller.|Abschnitt vier von das letzte Marchen vom Paul Keller.
das_letzte_marchen_004_f000164|O ja, ich sah es ein, und als ich ernstlich darüber nachdachte, fand ich, wie so vieles andere in Herididasufoturanien, auch diese Einrichtung nicht kindisch.|O ja, ich sah es ein, und als ich ernstlich darüber nachdachte, fand ich, wie so vieles andere in Herididasufoturanien, auch diese Einrichtung nicht kindisch.
das_letzte_marchen_004_f000165|Naives Volk braucht Räuber in seine Wälder, und es ist besser, daß es manchmal ausgeplündert werde, als daß es sich langweile.|Naives Volk braucht Räuber in seine Wälder, und es ist besser, daß es manchmal ausgeplündert werde, als daß es sich langweile.
das_letzte_marchen_004_f000166|O Prinzessin, es ist so vieles anders in Ihrem Lande als bei uns, daß ich ganz verzage, den Leuten etwas bieten zu können, was sie interessiert.|O Prinzessin, es ist so vieles anders in Ihrem Lande als bei uns, daß ich ganz verzage, den Leuten etwas bieten zu können, was sie interessiert.
das_letzte_marchen_004_f000167|Das dürfen Sie nicht glauben!|Das dürfen Sie nicht glauben!
das_letzte_marchen_004_f000168|Wenn Sie wissen wollen, was unser Volk interessiert, dann brauchen Sie nur zum Geschichtenerzähler zu gehen, zu unserem Köhler.– O, es ist noch zeitig, wir wollen alle zum Köhler gehen, er wohnt gar nicht weit.|Wenn Sie wissen wollen, was unser Volk interessiert, dann brauchen Sie nur zum Geschichtenerzähler zu gehen, zu unserem Köhler.- O, es ist noch zeitig, wir wollen alle zum Köhler gehen, er wohnt gar nicht weit.
das_letzte_marchen_004_f000169|Wir schlugen nach einiger Zeit einen Seitenpfad ein.|Wir schlugen nach einiger Zeit einen Seitenpfad ein.
das_letzte_marchen_004_f000170|Der Erbprinz ging mit Goldina voraus, ich folgte mit Angelika, wir plauderten miteinander, und mitten im Märchenwald war mir das seligste Wunder die Nähe eines menschlichen Herzens.|Der Erbprinz ging mit Goldina voraus, ich folgte mit Angelika, wir plauderten miteinander, und mitten im Märchenwald war mir das seligste Wunder die Nähe eines menschlichen Herzens.
das_letzte_marchen_004_f000171|Ein Weiler tauchte auf.|Ein Weiler tauchte auf.
das_letzte_marchen_004_f000172|Wir hatten schon lange die weißgraue Rauchlinie über die Baumkronen emporsteigen sehen.|Wir hatten schon lange die weißgraue Rauchlinie über die Baumkronen emporsteigen sehen.
das_letzte_marchen_004_f000173|Eine Menge wunderlichsten Volks hockte um das schwelende Feuer.|Eine Menge wunderlichsten Volks hockte um das schwelende Feuer.
das_letzte_marchen_004_f000174|Waldweiblein mit ihren Kindern, Erdmänner und Waldkobolde, Nymphen und Hexen, Arbeiter in groben Kitteln, auch feines Volk aus der Stadt.|Waldweiblein mit ihren Kindern, Erdmänner und Waldkobolde, Nymphen und Hexen, Arbeiter in groben Kitteln, auch feines Volk aus der Stadt.
das_letzte_marchen_004_f000175|Der Köhler saß auf einem Holzstoß, ließ die Beine, die von langen Bändern umwunden waren, herabbaumeln und rauchte aus einer Stummelpfeife.|Der Köhler saß auf einem Holzstoß, ließ die Beine, die von langen Bändern umwunden waren, herabbaumeln und rauchte aus einer Stummelpfeife.
das_letzte_marchen_004_f000176|Er erzählte.|Er erzählte.
das_letzte_marchen_004_f000177|Wir suchten uns leise und unauffällig einen Platz unter der Zuhörerschar.|Wir suchten uns leise und unauffällig einen Platz unter der Zuhörerschar.
das_letzte_marchen_004_f000178|Die Damen setzten sich auf zwei Baumstümpfe, der Erbprinz und ich legten uns zu ihren Füßen ins Gras.|Die Damen setzten sich auf zwei Baumstümpfe, der Erbprinz und ich legten uns zu ihren Füßen ins Gras.
das_letzte_marchen_004_f000179|Der Köhler erzählte von einem fernen, wilden Gebirge auf dem Boden des Meeres.|Der Köhler erzählte von einem fernen, wilden Gebirge auf dem Boden des Meeres.
das_letzte_marchen_004_f000180|Ein Bergvölklein haust dort.|Ein Bergvölklein haust dort.
das_letzte_marchen_004_f000181|Es hat kleine Flossen an den Füßen und kann ebensogut schwimmen, als laufen und klettern.|Es hat kleine Flossen an den Füßen und kann ebensogut schwimmen, als laufen und klettern.
das_letzte_marchen_004_f000182|Das kristallhelle Meer umgibt wie klare, stille Luft ihre Hütten.|Das kristallhelle Meer umgibt wie klare, stille Luft ihre Hütten.
das_letzte_marchen_004_f000183|Manchmal aber, wenn droben der Sturm haust, wird auch das Wasser am Meeresgrund unruhig, dann stürzen die Häuser ein, das Meervölklein flüchtet sich auf die Tange und wird grausig hin- und hergeschüttelt, und von den Wasserpflanzen regnen die Bernsteinstücke wie in anderen Ländern im Herbst von den Bäumen die reifen Äpfel.|Manchmal aber, wenn droben der Sturm haust, wird auch das Wasser am Meeresgrund unruhig, dann stürzen die Häuser ein, das Meervölklein flüchtet sich auf die Tange und wird grausig hin- und hergeschüttelt, und von den Wasserpflanzen regnen die Bernsteinstücke wie in anderen Ländern im Herbst von den Bäumen die reifen Äpfel.
das_letzte_marchen_004_f000184|Das ist langweilig!|Das ist langweilig!
das_letzte_marchen_004_f000185|sagte ein Waldweiblein und gähnte.|sagte ein Waldweiblein und gähnte.
das_letzte_marchen_004_f000186|Was anderes!|Was anderes!
das_letzte_marchen_004_f000187|schrie ein grober Waldschrat.|schrie ein grober Waldschrat.
das_letzte_marchen_004_f000188|Die ganze Menge stimmte ihm bei.|Die ganze Menge stimmte ihm bei.
das_letzte_marchen_004_f000189|Was anderes!|Was anderes!
das_letzte_marchen_004_f000190|Was anderes!|Was anderes!
das_letzte_marchen_004_f000191|Der Köhler spuckte von seinem Holzstoß herunter und machte ein unzufriedenes Gesicht.|Der Köhler spuckte von seinem Holzstoß herunter und machte ein unzufriedenes Gesicht.
das_letzte_marchen_004_f000192|Aber es war doch, als ob es in seinen klugen Augen schalkhaft blitze.|Aber es war doch, als ob es in seinen klugen Augen schalkhaft blitze.
das_letzte_marchen_004_f000193|Also was anderes!|Also was anderes!
das_letzte_marchen_004_f000194|– Ich bin auf meinen weiten Reisen auch einmal in die wunderbare Stadt Vineta gekommen, die Stadt, die untergegangen ist und nun auf dem Grund des Meeres steht.|- Ich bin auf meinen weiten Reisen auch einmal in die wunderbare Stadt Vineta gekommen, die Stadt, die untergegangen ist und nun auf dem Grund des Meeres steht.
das_letzte_marchen_004_f000195|Von weitem schon hörte ich ihre silbernen Glocken.|Von weitem schon hörte ich ihre silbernen Glocken.
das_letzte_marchen_004_f000196|Nichts von Vineta!|Nichts von Vineta!
das_letzte_marchen_004_f000197|Nein, gar nichts von Vineta!|Nein, gar nichts von Vineta!
das_letzte_marchen_004_f000198|Das ist langweilig!|Das ist langweilig!
das_letzte_marchen_004_f000199|So will ich Euch erzählen, wie ich in meinem feuerfesten Anzug in den Krater des Vulkans gekrochen bin bis zu den Feuerteufeln.|So will ich Euch erzählen, wie ich in meinem feuerfesten Anzug in den Krater des Vulkans gekrochen bin bis zu den Feuerteufeln.
das_letzte_marchen_004_f000200|Die Feuerleufel sind schrecklich langweilig!|Die Feuerleufel sind schrecklich langweilig!
das_letzte_marchen_004_f000201|O, sie sind zum einschlafen langweilig!|O, sie sind zum einschlafen langweilig!
das_letzte_marchen_004_f000202|Von den Menschen sollst du erzählen!|Von den Menschen sollst du erzählen!
das_letzte_marchen_004_f000203|Von den Menschen!|Von den Menschen!
das_letzte_marchen_004_f000204|Von den Menschen!|Von den Menschen!
das_letzte_marchen_004_f000205|Jawohl!|Jawohl!
das_letzte_marchen_004_f000206|Jawohl, von den Menschen!|Jawohl, von den Menschen!
das_letzte_marchen_004_f000207|Alle waren ganz aufgeregt, am meisten die Weiber.|Alle waren ganz aufgeregt, am meisten die Weiber.
das_letzte_marchen_004_f000208|Der Köhler hatte ein weises, stilles Lächeln im Gesicht.|Der Köhler hatte ein weises, stilles Lächeln im Gesicht.
das_letzte_marchen_004_f000209|Von den Menschen!|Von den Menschen!
das_letzte_marchen_004_f000210|sagte er langsam.|sagte er langsam.
das_letzte_marchen_004_f000211|Wohl!|Wohl!
das_letzte_marchen_004_f000212|von dem, was Euch am allerfernsten, was Euch am allerfremdesten ist.|von dem, was Euch am allerfernsten, was Euch am allerfremdesten ist.
das_letzte_marchen_004_f000213|Ich war dreimal bei den Menschen, denn der König hat es mir erlaubt.|Ich war dreimal bei den Menschen, denn der König hat es mir erlaubt.
das_letzte_marchen_004_f000214|Hört also zu!|Hört also zu!
das_letzte_marchen_004_f000215|Es wurde einmal ein Mensch geboren, der war schon bei der Geburt größer, als ich jetzt bin.|Es wurde einmal ein Mensch geboren, der war schon bei der Geburt größer, als ich jetzt bin.
das_letzte_marchen_004_f000216|Ein Schrei der Überraschung.|Ein Schrei der Überraschung.
das_letzte_marchen_004_f000217|Namentlich die Weiber quiekten, schlugen mit den Armen, schüttelten sich vor Lachen, konnten sich gar nicht fassen und behaupteten, sowas sei ganz unmöglich.|Namentlich die Weiber quiekten, schlugen mit den Armen, schüttelten sich vor Lachen, konnten sich gar nicht fassen und behaupteten, sowas sei ganz unmöglich.
das_letzte_marchen_004_f000218|Jahwohl!|Jahwohl!
das_letzte_marchen_004_f000219|Dieser Mensch hatte, als er noch nicht ein Jahr alt war, eine Spielklapper, die größer und dicker war, als dieses Holzscheit, und als er zwei Jahre alt war, konnte er ganz allein laufen.|Dieser Mensch hatte, als er noch nicht ein Jahr alt war, eine Spielklapper, die größer und dicker war, als dieses Holzscheit, und als er zwei Jahre alt war, konnte er ganz allein laufen.
das_letzte_marchen_004_f000220|Er lügt!|Er lügt!
das_letzte_marchen_004_f000221|Er lügt!|Er lügt!
das_letzte_marchen_004_f000222|Wahrhaftig, er lügt greulich!|Wahrhaftig, er lügt greulich!
das_letzte_marchen_004_f000223|Aber er lügt schön!|Aber er lügt schön!
das_letzte_marchen_004_f000224|Laßt ihn, es ist eben so eine Fabel!|Laßt ihn, es ist eben so eine Fabel!
das_letzte_marchen_004_f000225|Weiter, Köhler, weiter!|Weiter, Köhler, weiter!
das_letzte_marchen_004_f000226|Als der Mensch sechs Jahre alt war, war er dreimal so groß als ich und lernte lesen und schreiben.|Als der Mensch sechs Jahre alt war, war er dreimal so groß als ich und lernte lesen und schreiben.
das_letzte_marchen_004_f000227|Die ganze Gesellschaft platzte wieder in Lachen aus, aber ein alter Mann, dem vor Lachen die Tränen über die Wangen liefen, winkte Schweigen.|Die ganze Gesellschaft platzte wieder in Lachen aus, aber ein alter Mann, dem vor Lachen die Tränen über die Wangen liefen, winkte Schweigen.
das_letzte_marchen_004_f000228|Natürlich mußte er viel essen.|Natürlich mußte er viel essen.
das_letzte_marchen_004_f000229|Er aß eine Menge Knödel, die dreimal so groß sind als unsere Köpfe, und verschlang soviel Suppe, als ein starker Mann bei uns in zwei Kannen fortschleppen kann.|Er aß eine Menge Knödel, die dreimal so groß sind als unsere Köpfe, und verschlang soviel Suppe, als ein starker Mann bei uns in zwei Kannen fortschleppen kann.
das_letzte_marchen_004_f000230|Der Waldschrat tat einen Luftsprung, die Weiblein quietschten vor Gelächter, die Knaben schlugen Räder, und dem alten Manne tropfte vor Erschütterung die Nase.|Der Waldschrat tat einen Luftsprung, die Weiblein quietschten vor Gelächter, die Knaben schlugen Räder, und dem alten Manne tropfte vor Erschütterung die Nase.
das_letzte_marchen_004_f000231|Er hatte einen Dachshund, der war so groß wie unsere Stiere und so lang wie unsere Krokodile, er hatte einen Rachen wie unsere Flußpferde, Ohren so groß wie unsere Fensterläden und einen Schwanz wie unsere Glockenseile.|Er hatte einen Dachshund, der war so groß wie unsere Stiere und so lang wie unsere Krokodile, er hatte einen Rachen wie unsere Flußpferde, Ohren so groß wie unsere Fensterläden und einen Schwanz wie unsere Glockenseile.
das_letzte_marchen_004_f000232|Mit diesem Ungeheuer spielte der Menschenknabe, und wenn er ihn satt hatte, ergriff er ihn mit einer Hand und sperrte ihn in ein großes Hundehaus.|Mit diesem Ungeheuer spielte der Menschenknabe, und wenn er ihn satt hatte, ergriff er ihn mit einer Hand und sperrte ihn in ein großes Hundehaus.
das_letzte_marchen_004_f000233|Mit einer Hand – mit einer Hand – oh, mit einer Hand!|Mit einer Hand - mit einer Hand - oh, mit einer Hand!
das_letzte_marchen_004_f000234|Er schwindelt – aber er schwindelt herrlich!|Er schwindelt - aber er schwindelt herrlich!
das_letzte_marchen_004_f000235|Ich muß mich – ich muß mich drücken, sagte der alte Mann und schlich beiseite.|Ich muß mich - ich muß mich drücken, sagte der alte Mann und schlich beiseite.
das_letzte_marchen_004_f000236|Er lernte Bücher aus, von denen war manches so groß wie unsere Kleiderschränke, er schleppte diese Bücher auf seinem Rücken die Straße entlang nach der Schule, und auf dem Heimwege suchte er sich einen Knüppel, der so hoch war wie unsere Schiffsmasten, und prügelte seine Kameraden damit.|Er lernte Bücher aus, von denen war manches so groß wie unsere Kleiderschränke, er schleppte diese Bücher auf seinem Rücken die Straße entlang nach der Schule, und auf dem Heimwege suchte er sich einen Knüppel, der so hoch war wie unsere Schiffsmasten, und prügelte seine Kameraden damit.
das_letzte_marchen_004_f000237|Oh, oh, sie waren tot!|Oh, oh, sie waren tot!
das_letzte_marchen_004_f000238|Sie waren erschlagen!|Sie waren erschlagen!
das_letzte_marchen_004_f000239|Ach nein!|Ach nein!
das_letzte_marchen_004_f000240|Sie prügelten ihn wieder.|Sie prügelten ihn wieder.
das_letzte_marchen_004_f000241|Auch mit solchen Baumstämmen!|Auch mit solchen Baumstämmen!
das_letzte_marchen_004_f000242|Und wenn er dann nach Hause kam, mußte er eine Schüssel leeressen, die so groß und tief war wie ein kleiner Teich.|Und wenn er dann nach Hause kam, mußte er eine Schüssel leeressen, die so groß und tief war wie ein kleiner Teich.
das_letzte_marchen_004_f000243|Ein Waldweiblein unterbrach schreiend den Erzähler.|Ein Waldweiblein unterbrach schreiend den Erzähler.
das_letzte_marchen_004_f000244|Ihr Junge hatte die Maulsperre bekommen.|Ihr Junge hatte die Maulsperre bekommen.
das_letzte_marchen_004_f000245|Sie erhob ein großes Geschrei über solch gefährliche Geschichten und verschwand mit ihrem sperrmäuligen Sprößling eiligst in der Richtung auf Dr. Schnugu zu.|Sie erhob ein großes Geschrei über solch gefährliche Geschichten und verschwand mit ihrem sperrmäuligen Sprößling eiligst in der Richtung auf Dr. Schnugu zu.
das_letzte_marchen_004_f000246|Weiter, Köhler, weiter!|Weiter, Köhler, weiter!
das_letzte_marchen_004_f000247|Mit zwanzig Jahren hatte der Mensch eine Liebste!|Mit zwanzig Jahren hatte der Mensch eine Liebste!
das_letzte_marchen_004_f000248|Ein wieherndes Gelächter ließ den Wald erbeben.|Ein wieherndes Gelächter ließ den Wald erbeben.
das_letzte_marchen_004_f000249|Die Weiber sprangen auf, fielen einander um den Hals, lachten, schrien, tanzten, während der Waldschrat rücklings von seiner Sitzgelegenheit gepurzelt war und die Beine hilflos in die Luft streckte.|Die Weiber sprangen auf, fielen einander um den Hals, lachten, schrien, tanzten, während der Waldschrat rücklings von seiner Sitzgelegenheit gepurzelt war und die Beine hilflos in die Luft streckte.
das_letzte_marchen_004_f000250|Diese maßlose Heiterkeit durchbrach eine kreischende Weiberstimme: Köhler!|Diese maßlose Heiterkeit durchbrach eine kreischende Weiberstimme: Köhler!
das_letzte_marchen_004_f000251|Köhler!|Köhler!
das_letzte_marchen_004_f000252|Komm nach Hause!|Komm nach Hause!
das_letzte_marchen_004_f000253|Deine Frau hat einen kleinen Sohn bekommen!|Deine Frau hat einen kleinen Sohn bekommen!
das_letzte_marchen_004_f000254|Mit einem Satz war der Köhler von seinem Holzstoß herunter, durchbrach die Reihen der Weiber, trat in der Eile dem liegenden Waldschrat auf die Nase und stürzte davon.|Mit einem Satz war der Köhler von seinem Holzstoß herunter, durchbrach die Reihen der Weiber, trat in der Eile dem liegenden Waldschrat auf die Nase und stürzte davon.
das_letzte_marchen_004_f000255|Die ganze Gesellschaft aber lachte, schrie, tobte und tanzte durcheinander.|Die ganze Gesellschaft aber lachte, schrie, tobte und tanzte durcheinander.
das_letzte_marchen_004_f000256|Ein freudiges Ereignis in Herididasufoturanien , das interessierte auch mich lebhaft.|Ein freudiges Ereignis in Herididasufoturanien , das interessierte auch mich lebhaft.
das_letzte_marchen_004_f000257|Ich machte mich mit einer Frau bekannt, die abseits der erregten Gruppe stand.|Ich machte mich mit einer Frau bekannt, die abseits der erregten Gruppe stand.
das_letzte_marchen_004_f000258|Sie haben auch Kinder, liebe Frau?|Sie haben auch Kinder, liebe Frau?
das_letzte_marchen_004_f000259|Aber gewiß!|Aber gewiß!
das_letzte_marchen_004_f000260|Drei!|Drei!
das_letzte_marchen_004_f000261|Die zwei dort gehören mir; die kleinste ist erst 120 Jahre, da kann man sie noch nicht gut mitnehmen.|Die zwei dort gehören mir; die kleinste ist erst hundertzwanzig Jahre, da kann man sie noch nicht gut mitnehmen.
das_letzte_marchen_004_f000262|Sie ist zu Hause.|Sie ist zu Hause.
das_letzte_marchen_004_f000263|Die Kinder entwickeln sich sehr langsam?|Die Kinder entwickeln sich sehr langsam?
das_letzte_marchen_004_f000264|Sie lachte.|Sie lachte.
das_letzte_marchen_004_f000265|Ja, was heißt langsam!|Ja, was heißt langsam!
