meraviglieduemila_01_salgari_f000001|Le meraviglie del Duemila di Emilio Salgari|Le meraviglie del Duemila di Emilio Salgari
meraviglieduemila_01_salgari_f000147|Prese da uno scaffale una piccola fiala di vetro che conteneva un liquido rosso, vi immerse una siringa|Prese da uno scaffale una piccola fiala di vetro che conteneva un liquido rosso, vi immerse una siringa
meraviglieduemila_01_salgari_f000148|poi punse replicatamente il coniglio, la prima volta in direzione del cuore e la seconda volta alla gola.|poi punse replicatamente il coniglio, la prima volta in direzione del cuore e la seconda volta alla gola.
meraviglieduemila_01_salgari_f000149|L’animale non aveva dato alcun segno di vita ed aveva conservata la sua rigidezza.|Lanimale non aveva dato alcun segno di vita ed aveva conservata la sua rigidezza.
meraviglieduemila_01_salgari_f000150|— Aspetta, James — disse il dottore, vedendo apparire sulle labbra del giovine un sorriso d’incredulità.|- Aspetta, James - disse il dottore, vedendo apparire sulle labbra del giovine un sorriso dincredulità.
meraviglieduemila_01_salgari_f000151|In un angolo vi era un bacino di metallo, sotto cui ardeva una lampadina ad alcool.|In un angolo vi era un bacino di metallo, sotto cui ardeva una lampadina ad alcool.
meraviglieduemila_01_salgari_f000152|Il dottore v’immerse un dito per assicurarsi del calore dell’acqua, poi levò la vaschetta, deponendola sulla tavola.|Il dottore vimmerse un dito per assicurarsi del calore dellacqua, poi levò la vaschetta, deponendola sulla tavola.
meraviglieduemila_01_salgari_f000153|— Fai fare un bagno al morto? — chiese Brandok.|- Fai fare un bagno al morto? - chiese Brandok.
meraviglieduemila_01_salgari_f000154|— Cioè all’addormentato — corresse il dottore.|- Cioè alladdormentato - corresse il dottore.
meraviglieduemila_01_salgari_f000155|— È necessario allentare a questo dormiglione i nervi che da tanti anni non agiscono più.|- È necessario allentare a questo dormiglione i nervi che da tanti anni non agiscono più.
meraviglieduemila_01_salgari_f000156|— Se tu riesci a far rivivere questo animale, io ti proclamo il più grande scienziato del mondo.|- Se tu riesci a far rivivere questo animale, io ti proclamo il più grande scienziato del mondo.
meraviglieduemila_01_salgari_f000157|— Non esigo tanto — rispose Toby, ridendo.|- Non esigo tanto - rispose Toby, ridendo.
meraviglieduemila_01_salgari_f000158|Immerse il coniglio nel bacino, tenendogli la testa fuori dell’acqua, poi si mise ad alzare ed abbassare le gambe anteriori|Immerse il coniglio nel bacino, tenendogli la testa fuori dellacqua, poi si mise ad alzare ed abbassare le gambe anteriori
meraviglieduemila_01_salgari_f000159|come per provocare la respirazione e aspettò, guardando l’amico che s’era fatto tutto serio.|come per provocare la respirazione e aspettò, guardando lamico che sera fatto tutto serio.
meraviglieduemila_01_salgari_f000160|— Pare che tu cominci a credere al buon risultato della strana operazione — gli disse il dottore. — È vero, James?|- Pare che tu cominci a credere al buon risultato della strana operazione - gli disse il dottore. - È vero, James?
meraviglieduemila_01_salgari_f000161|— Non ancora — rispose il giovine.|- Non ancora - rispose il giovine.
meraviglieduemila_01_salgari_f000162|— Eppure sento che la testa del coniglio comincia a diventar calda.|- Eppure sento che la testa del coniglio comincia a diventar calda.
meraviglieduemila_01_salgari_f000163|— Effetto del calore dell’acqua. — E che la carne freme. — Non vedo muoversi le gambe.|- Effetto del calore dellacqua. - E che la carne freme. - Non vedo muoversi le gambe.
meraviglieduemila_01_salgari_f000164|Ad un tratto mandò un grido di stupore;|Ad un tratto mandò un grido di stupore;
meraviglieduemila_01_salgari_f000165|il coniglio aveva aperti gli occhi e fissava il dottore colle pupille dilatate. — Ti sembra morto ora?|il coniglio aveva aperti gli occhi e fissava il dottore colle pupille dilatate. - Ti sembra morto ora?
meraviglieduemila_01_salgari_f000166|— disse Toby, con accento beffardo.|- disse Toby, con accento beffardo.
meraviglieduemila_01_salgari_f000167|— Ti guarda! — esclamò il giovine. — Lo vedo. — Agita le zampe! — E respira anche. — Miracolo!... Miracolo!...|- Ti guarda! - esclamò il giovine. - Lo vedo. - Agita le zampe! - E respira anche. - Miracolo!... Miracolo!...
meraviglieduemila_01_salgari_f000168|— Zitto, James, non gridar tanto forte.|- Zitto, James, non gridar tanto forte.
meraviglieduemila_01_salgari_f000169|— È meravigliosa questa risurrezione! — Non dico di no.|- È meravigliosa questa risurrezione! - Non dico di no.
meraviglieduemila_01_salgari_f000170|— Una scoperta che metterà sossopra il mondo.|- Una scoperta che metterà sossopra il mondo.
meraviglieduemila_01_salgari_f000171|— Niente affatto, perchè io mi guarderò bene dal divulgarla.|- Niente affatto, perchè io mi guarderò bene dal divulgarla.
meraviglieduemila_01_salgari_f000172|Non siamo che in tre sole persone a conoscerla: io, tu ed il notaio del borgo, quell’eccellente signor Max.|Non siamo che in tre sole persone a conoscerla: io, tu ed il notaio del borgo, quelleccellente signor Max.
meraviglieduemila_01_salgari_f000173|— Perchè la conosce anche il notaio? — chiese Brandok.|- Perchè la conosce anche il notaio? - chiese Brandok.
meraviglieduemila_01_salgari_f000174|— Lo saprai più tardi: guarda il risultato per ora.|- Lo saprai più tardi: guarda il risultato per ora.
meraviglieduemila_01_salgari_f000175|Aveva levato dalla vaschetta il coniglio e l’aveva messo sul tavolino, avvolgendolo in un pezzo di stoffa di lana.|Aveva levato dalla vaschetta il coniglio e laveva messo sul tavolino, avvolgendolo in un pezzo di stoffa di lana.
meraviglieduemila_01_salgari_f000176|L’animale aveva gli occhi aperti, respirava liberamente raggrinzando il naso|Lanimale aveva gli occhi aperti, respirava liberamente raggrinzando il naso
meraviglieduemila_01_salgari_f000177|però si vedeva che era debolissimo, non riuscendo a reggersi sulle zampe, nè cercava di fuggire.|però si vedeva che era debolissimo, non riuscendo a reggersi sulle zampe, nè cercava di fuggire.
meraviglieduemila_01_salgari_f000178|Doveva essere istupidito. — Non morrà? — chiese Brandok.|Doveva essere istupidito. - Non morrà? - chiese Brandok.
meraviglieduemila_01_salgari_f000179|— Stasera lo vedrai mangiare e correre assieme ai suoi compagni che tengo giù nel mio giardino.|- Stasera lo vedrai mangiare e correre assieme ai suoi compagni che tengo giù nel mio giardino.
meraviglieduemila_01_salgari_f000180|Non è il primo che io faccio risuscitare;|Non è il primo che io faccio risuscitare;
meraviglieduemila_01_salgari_f000181|la settimana scorsa ne ho fatto rivivere un altro dinanzi al notaio ed anche quello dormiva da quattordici anni.|la settimana scorsa ne ho fatto rivivere un altro dinanzi al notaio ed anche quello dormiva da quattordici anni.
meraviglieduemila_01_salgari_f000182|Ora mangia, saltella e dorme come gli altri, e tutti i suoi organi funzionano perfettamente bene.|Ora mangia, saltella e dorme come gli altri, e tutti i suoi organi funzionano perfettamente bene.
meraviglieduemila_01_salgari_f000183|— Toby, — esclamò Brandok, con profonda ammirazione — tu sei un grand’uomo;|- Toby, - esclamò Brandok, con profonda ammirazione - tu sei un granduomo;
meraviglieduemila_01_salgari_f000184|tu sei il più grande scienziato del secolo. — Di questo, o dell’altro? — chiese il dottore. — Che domanda è questa?|tu sei il più grande scienziato del secolo. - Di questo, o dellaltro? - chiese il dottore. - Che domanda è questa?
meraviglieduemila_01_salgari_f000185|— Mio caro James, tu devi aver fame ed il pranzo è pronto.|- Mio caro James, tu devi aver fame ed il pranzo è pronto.
meraviglieduemila_01_salgari_f000186|L’aria di mare mette appetito e la mia vecchia Magge mi ha promesso un superbo piatto di pesce.|Laria di mare mette appetito e la mia vecchia Magge mi ha promesso un superbo piatto di pesce.
meraviglieduemila_01_salgari_f000187|Lasciamo qui il coniglio e andiamo a riempirci lo stomaco: la cuoca sarà già arrabbiata per il ritardo.|Lasciamo qui il coniglio e andiamo a riempirci lo stomaco: la cuoca sarà già arrabbiata per il ritardo.
meraviglieduemila_01_salgari_f000188|Avremo anche il notaio al pudding. — Perchè il notaio?|Avremo anche il notaio al pudding. - Perchè il notaio?
meraviglieduemila_01_salgari_f000189|Il dottore, invece di rispondere, si affacciò alla finestra, e vedendo un garzone che stava innaffiando le zolle del giardino|Il dottore, invece di rispondere, si affacciò alla finestra, e vedendo un garzone che stava innaffiando le zolle del giardino
meraviglieduemila_01_salgari_f000190|gli gridò: — Tom, avverti Magge che siamo pronti per assaggiare le sue triglie e le sue dorate, e per le due attacca il poney.|gli gridò: - Tom, avverti Magge che siamo pronti per assaggiare le sue triglie e le sue dorate, e per le due attacca il poney.
meraviglieduemila_01_salgari_f000191|Dobbiamo fare una gita allo scoglio di Retz.|Dobbiamo fare una gita allo scoglio di Retz.
meraviglieduemila_01_salgari_f000192|Cinque minuti dopo, il dottore e il signor Brandok seduti in una elegante saletta da pranzo|Cinque minuti dopo, il dottore e il signor Brandok seduti in una elegante saletta da pranzo
meraviglieduemila_01_salgari_f000193|dinanzi ad una tavola bene imbandita, gustavano con molto appetito le grosse ostriche di New Jersey|dinanzi ad una tavola bene imbandita, gustavano con molto appetito le grosse ostriche di New Jersey
meraviglieduemila_01_salgari_f000194|le più deliziose che si trovino sulle coste orientali dell’America settentrionale, le dorate e le triglie preparate dalla brava Magge|le più deliziose che si trovino sulle coste orientali dellAmerica settentrionale, le dorate e le triglie preparate dalla brava Magge
meraviglieduemila_01_salgari_f000195|innaffiando le une e le altre con dell’eccellente vino bianco dei vigneti della Florida. Il dottore non parlava;|innaffiando le une e le altre con delleccellente vino bianco dei vigneti della Florida. Il dottore non parlava;
meraviglieduemila_01_salgari_f000196|pareva tutto intento a divorarsi quei deliziosi pesci, i migliori forse che possegga l’Atlantico settentrionale.|pareva tutto intento a divorarsi quei deliziosi pesci, i migliori forse che possegga lAtlantico settentrionale.
meraviglieduemila_01_salgari_f000197|Brandok invece, cosa assolutamente nuova, sembrava che non fosse più tormentato dallo spleen;|Brandok invece, cosa assolutamente nuova, sembrava che non fosse più tormentato dallo spleen;
meraviglieduemila_01_salgari_f000198|chiacchierava per due, tempestando il compagno di domande su quella meravigliosa scoperta che doveva|chiacchierava per due, tempestando il compagno di domande su quella meravigliosa scoperta che doveva
meraviglieduemila_01_salgari_f000199|a sentir lui, portare la rivoluzione nel mondo.|a sentir lui, portare la rivoluzione nel mondo.
meraviglieduemila_01_salgari_f000200|Con tutto ciò non riusciva che a strappare qualche sorriso allo scienziato.|Con tutto ciò non riusciva che a strappare qualche sorriso allo scienziato.
meraviglieduemila_01_salgari_f000201|— Dunque queste triglie e queste dorate ti hanno reso muto — gridò ad un tratto Brandok, che cominciava ad arrabbiarsi.|- Dunque queste triglie e queste dorate ti hanno reso muto - gridò ad un tratto Brandok, che cominciava ad arrabbiarsi.
meraviglieduemila_01_salgari_f000202|— Sono venti minuti che i tuoi denti continuano a masticare e che invece la tua lingua rimane immobile.|- Sono venti minuti che i tuoi denti continuano a masticare e che invece la tua lingua rimane immobile.
meraviglieduemila_01_salgari_f000203|— No, mio caro James, io penso — rispose il dottore, ridendo.|- No, mio caro James, io penso - rispose il dottore, ridendo.
meraviglieduemila_01_salgari_f000204|— Pare che tu abbia dimenticato la tua scoperta. — Tutt’altro. — Allora parliamone. — Al pudding.|- Pare che tu abbia dimenticato la tua scoperta. - Tuttaltro. - Allora parliamone. - Al pudding.
meraviglieduemila_01_salgari_f000205|— Che cosa c’entra quel pasticcio?|- Che cosa centra quel pasticcio?
meraviglieduemila_01_salgari_f000206|— Ti ho detto che verrà ad assaggiarlo anche il notaio della borgata, quel bravo signor Max.|- Ti ho detto che verrà ad assaggiarlo anche il notaio della borgata, quel bravo signor Max.
meraviglieduemila_01_salgari_f000207|— Ma insomma che cosa c’entra lui?|- Ma insomma che cosa centra lui?
meraviglieduemila_01_salgari_f000208|— Perdinci, se c’entra! Se dopo cent’anni nessuno più si ricordasse di me e mi lasciassero dormire per sempre? Tanto varrebbe morire.|- Perdinci, se centra! Se dopo centanni nessuno più si ricordasse di me e mi lasciassero dormire per sempre? Tanto varrebbe morire.
meraviglieduemila_01_salgari_f000209|— Toby! — esclamò Brandok — Che cosa hai intenzione di fare?|- Toby! - esclamò Brandok - Che cosa hai intenzione di fare?
meraviglieduemila_01_salgari_f000210|— Vedere come camminerà il mondo fra cent’anni e null’altro. — Come! Tu vorresti...|- Vedere come camminerà il mondo fra centanni e nullaltro. - Come! Tu vorresti...
meraviglieduemila_01_salgari_f000211|— Fare un sonno di venti lustri. — Sei pazzo?|- Fare un sonno di venti lustri. - Sei pazzo?
meraviglieduemila_01_salgari_f000212|— Non lo credo — rispose il dottore con voce tranquilla.|- Non lo credo - rispose il dottore con voce tranquilla.
meraviglieduemila_01_salgari_f000213|Brandok aveva picchiato sulla tavola un pugno così violento, da far traballare i bicchieri e rovesciare una bottiglia. — Tu vorresti? ... — gridò.|Brandok aveva picchiato sulla tavola un pugno così violento, da far traballare i bicchieri e rovesciare una bottiglia. - Tu vorresti? ... - gridò.
meraviglieduemila_01_salgari_f000214|— Farmi rinchiudere nel rifugio che mi son fatto preparare sulla cima dello scoglio di Retz, per risvegliarmi fra cento anni, mio caro.|- Farmi rinchiudere nel rifugio che mi son fatto preparare sulla cima dello scoglio di Retz, per risvegliarmi fra cento anni, mio caro.
