sandmann_1_f000001|Nathanael an Lothar Gewiß seid Ihr alle voll Unruhe, daß ich so lange lange nicht geschrieben.|Nathanael an Lothar Gewiß seid Ihr alle voll Unruhe, daß ich so lange lange nicht geschrieben.
sandmann_3_f000204|ergriff Coppolas Perspektiv und konnte nicht los von Olimpias verführerischem Anblick, bis ihn Freund und Bruder Siegmund abrief ins Kollegium bei dem Professor Spalanzani.|ergriff Coppolas Perspektiv und konnte nicht los von Olimpias verführerischem Anblick, bis ihn Freund und Bruder Siegmund abrief ins Kollegium bei dem Professor Spalanzani.
sandmann_3_f000205|Die Gardine vor dem verhängnisvollen Zimmer war dicht zugezogen, er konnte Olimpia ebensowenig hier,|Die Gardine vor dem verhängnisvollen Zimmer war dicht zugezogen, er konnte Olimpia ebensowenig hier,
sandmann_3_f000206|als die beiden folgenden Tage hindurch in ihrem Zimmer, entdecken, unerachtet er kaum das Fenster verließ und fortwährend durch Coppolas Perspektiv hinüberschaute.|als die beiden folgenden Tage hindurch in ihrem Zimmer, entdecken, unerachtet er kaum das Fenster verließ und fortwährend durch Coppolas Perspektiv hinüberschaute.
sandmann_3_f000207|Am dritten Tage wurden sogar die Fenster verhängt.|Am dritten Tage wurden sogar die Fenster verhängt.
sandmann_3_f000208|Ganz verzweifelt und getrieben von Sehnsucht und glühendem Verlangen lief er hinaus vors Tor.|Ganz verzweifelt und getrieben von Sehnsucht und glühendem Verlangen lief er hinaus vors Tor.
sandmann_3_f000209|Olimpias Gestalt schwebte vor ihm her in den Lüften und trat aus dem Gebüsch, und guckte ihn an mit großen strahlenden Augen, aus dem hellen Bach.|Olimpias Gestalt schwebte vor ihm her in den Lüften und trat aus dem Gebüsch, und guckte ihn an mit großen strahlenden Augen, aus dem hellen Bach.
sandmann_3_f000210|Claras Bild war ganz aus seinem Innern gewichen, er dachte nichts, als Olimpia und klagte ganz laut und weinerlich: Ach du mein hoher herrlicher Liebesstern, bist du mir denn nur aufgegangen, um gleich wieder zu verschwinden,|Claras Bild war ganz aus seinem Innern gewichen, er dachte nichts, als Olimpia und klagte ganz laut und weinerlich: Ach du mein hoher herrlicher Liebesstern, bist du mir denn nur aufgegangen, um gleich wieder zu verschwinden,
sandmann_3_f000211|und mich zu lassen in finstrer hoffnungsloser Nacht?|und mich zu lassen in finstrer hoffnungsloser Nacht?
sandmann_4_f000001|Als er zurückkehren wollte in seine Wohnung, wurde er in Spalanzanis Hause ein geräuschvolles Treiben gewahr.|Als er zurückkehren wollte in seine Wohnung, wurde er in Spalanzanis Hause ein geräuschvolles Treiben gewahr.
sandmann_4_f000002|Die Türen standen offen, man trug allerlei Geräte hinein, die Fenster des ersten Stocks waren ausgehoben, geschäftige Mägde kehrten und stäubten mit großen Haarbesen hin- und herfahrend, inwendig klopften und hämmerten Tischler und Tapezierer.|Die Türen standen offen, man trug allerlei Geräte hinein, die Fenster des ersten Stocks waren ausgehoben, geschäftige Mägde kehrten und stäubten mit großen Haarbesen hin- und herfahrend, inwendig klopften und hämmerten Tischler und Tapezierer.
sandmann_4_f000003|Nathanael blieb in vollem Erstaunen auf der Straße stehen; da trat Siegmund lachend zu ihm und sprach: Nun, was sagst du zu unserem alten Spalanzani?|Nathanael blieb in vollem Erstaunen auf der Straße stehen; da trat Siegmund lachend zu ihm und sprach: Nun, was sagst du zu unserem alten Spalanzani?
sandmann_4_f000004|Nathanael versicherte, daß er gar nichts sagen könne, da er durchaus nichts vom Professor wisse, vielmehr mit großer Verwunderung wahrnehme, wie in dem stillen düstern Hause ein tolles Treiben und Wirtschaften losgegangen;|Nathanael versicherte, daß er gar nichts sagen könne, da er durchaus nichts vom Professor wisse, vielmehr mit großer Verwunderung wahrnehme, wie in dem stillen düstern Hause ein tolles Treiben und Wirtschaften losgegangen;
sandmann_4_f000005|da erfuhr er denn von Siegmund, daß Spalanzani morgen ein großes Fest geben wolle, Konzert und Ball, und daß die halbe Universität eingeladen sei.|da erfuhr er denn von Siegmund, daß Spalanzani morgen ein großes Fest geben wolle, Konzert und Ball, und daß die halbe Universität eingeladen sei.
sandmann_4_f000006|Allgemein verbreite man, daß Spalanzani seine Tochter Olimpia, die er so lange jedem menschlichen Auge recht ängstlich entzogen, zum erstenmal erscheinen lassen werde.|Allgemein verbreite man, daß Spalanzani seine Tochter Olimpia, die er so lange jedem menschlichen Auge recht ängstlich entzogen, zum erstenmal erscheinen lassen werde.
sandmann_4_f000007|Nathanael fand eine Einladungskarte und ging mit hochklopfendem Herzen zur bestimmten Stunde, als schon die Wagen rollten und die Lichter in den geschmückten Sälen schimmerten, zum Professor.|Nathanael fand eine Einladungskarte und ging mit hochklopfendem Herzen zur bestimmten Stunde, als schon die Wagen rollten und die Lichter in den geschmückten Sälen schimmerten, zum Professor.
sandmann_4_f000008|Die Gesellschaft war zahlreich und glänzend.|Die Gesellschaft war zahlreich und glänzend.
sandmann_4_f000009|Olimpia erschien sehr reich und geschmackvoll gekleidet.|Olimpia erschien sehr reich und geschmackvoll gekleidet.
sandmann_4_f000010|Man mußte ihr schöngeformtes Gesicht, ihren Wuchs bewundern.|Man mußte ihr schöngeformtes Gesicht, ihren Wuchs bewundern.
sandmann_4_f000011|Der etwas seltsam eingebogene Rücken, die wespenartige Dünne des Leibes schien von zu starkem Einschnüren bewirkt zu sein.|Der etwas seltsam eingebogene Rücken, die wespenartige Dünne des Leibes schien von zu starkem Einschnüren bewirkt zu sein.
sandmann_4_f000012|In Schritt und Stellung hatte sie etwas Abgemessenes und Steifes, das manchem unangenehm auffiel; man schrieb es dem Zwange zu, den ihr die Gesellschaft auflegte.|In Schritt und Stellung hatte sie etwas Abgemessenes und Steifes, das manchem unangenehm auffiel; man schrieb es dem Zwange zu, den ihr die Gesellschaft auflegte.
sandmann_4_f000013|Das Konzert begann.|Das Konzert begann.
sandmann_4_f000014|Olimpia spielte den Flügel mit großer Fertigkeit und trug ebenso eine Bravour-Arie mit heller, beinahe schneidender Glasglockenstimme vor.|Olimpia spielte den Flügel mit großer Fertigkeit und trug ebenso eine Bravour-Arie mit heller, beinahe schneidender Glasglockenstimme vor.
sandmann_4_f000015|Nathanael war ganz entzückt; er stand in der hintersten Reihe und konnte im blendenden Kerzenlicht Olimpias Züge nicht ganz erkennen.|Nathanael war ganz entzückt; er stand in der hintersten Reihe und konnte im blendenden Kerzenlicht Olimpias Züge nicht ganz erkennen.
sandmann_4_f000016|Ganz unvermerkt nahm er deshalb Coppolas Glas hervor und schaute hin nach der schönen Olimpia.|Ganz unvermerkt nahm er deshalb Coppolas Glas hervor und schaute hin nach der schönen Olimpia.
sandmann_4_f000017|Ach! da wurde er gewahr, wie sie voll Sehnsucht nach ihm herübersah, wie jeder Ton erst deutlich aufging in dem Liebesblick, der zündend sein Inneres durchdrang.|Ach! da wurde er gewahr, wie sie voll Sehnsucht nach ihm herübersah, wie jeder Ton erst deutlich aufging in dem Liebesblick, der zündend sein Inneres durchdrang.
sandmann_4_f000018|Die künstlichen Rouladen schienen dem Nathanael das Himmelsjauchzen des in Liebe verklärten Gemüts, und als nun endlich nach der Kadenz der lange Trillo recht schmetternd durch den Saal gellte,|Die künstlichen Rouladen schienen dem Nathanael das Himmelsjauchzen des in Liebe verklärten Gemüts, und als nun endlich nach der Kadenz der lange Trillo recht schmetternd durch den Saal gellte,
sandmann_4_f000019|konnte er wie von glühenden Ärmen plötzlich erfaßt sich nicht mehr halten, er mußte vor Schmerz und Entzücken laut aufschreien:|konnte er wie von glühenden Ärmen plötzlich erfaßt sich nicht mehr halten, er mußte vor Schmerz und Entzücken laut aufschreien:
sandmann_4_f000020|Olimpia! Alle sahen sich um nach ihm, manche lachten.|Olimpia! Alle sahen sich um nach ihm, manche lachten.
sandmann_4_f000021|Der Domorganist schnitt aber noch ein finstreres Gesicht, als vorher und sagte bloß: Nun nun!|Der Domorganist schnitt aber noch ein finstreres Gesicht, als vorher und sagte bloß: Nun nun!
sandmann_4_f000022|Das Konzert war zu Ende, der Ball fing an.|Das Konzert war zu Ende, der Ball fing an.
sandmann_4_f000023|Mit ihr zu tanzen! mit ihr!|Mit ihr zu tanzen! mit ihr!
sandmann_4_f000024|das war nun dem Nathanael das Ziel aller Wünsche, alles Strebens; aber wie sich erheben zu dem Mut, sie, die Königin des Festes, aufzufordern?|das war nun dem Nathanael das Ziel aller Wünsche, alles Strebens; aber wie sich erheben zu dem Mut, sie, die Königin des Festes, aufzufordern?
sandmann_4_f000025|Doch! er selbst wußte nicht wie es geschah, daß er, als schon der Tanz angefangen, dicht neben Olimpia stand, die noch nicht aufgefordert worden, und daß er, kaum vermögend einige Worte zu stammeln, ihre Hand ergriff.|Doch! er selbst wußte nicht wie es geschah, daß er, als schon der Tanz angefangen, dicht neben Olimpia stand, die noch nicht aufgefordert worden, und daß er, kaum vermögend einige Worte zu stammeln, ihre Hand ergriff.
sandmann_4_f000026|Eiskalt war Olimpias Hand, er fühlte sich durchbebt von grausigem Todesfrost, er starrte Olimpia ins Auge, das strahlte ihm voll Liebe und Sehnsucht entgegen und in dem Augenblick war es auch,|Eiskalt war Olimpias Hand, er fühlte sich durchbebt von grausigem Todesfrost, er starrte Olimpia ins Auge, das strahlte ihm voll Liebe und Sehnsucht entgegen und in dem Augenblick war es auch,
sandmann_4_f000027|als fingen an in der kalten Hand Pulse zu schlagen und des Lebensblutes Ströme zu glühen.|als fingen an in der kalten Hand Pulse zu schlagen und des Lebensblutes Ströme zu glühen.
sandmann_4_f000028|Und auch in Nathanaels Innerm glühte höher auf die Liebeslust, er umschlang die schöne Olimpia und durchflog mit ihr die Reihen.|Und auch in Nathanaels Innerm glühte höher auf die Liebeslust, er umschlang die schöne Olimpia und durchflog mit ihr die Reihen.
sandmann_4_f000029|Er glaubte sonst recht taktmäßig getanzt zu haben, aber an der ganz eignen rhythmischen Festigkeit, womit Olimpia tanzte und die ihn oft ordentlich aus der Haltung brachte, merkte er bald, wie sehr ihm der Takt gemangelt.|Er glaubte sonst recht taktmäßig getanzt zu haben, aber an der ganz eignen rhythmischen Festigkeit, womit Olimpia tanzte und die ihn oft ordentlich aus der Haltung brachte, merkte er bald, wie sehr ihm der Takt gemangelt.
sandmann_4_f000030|Er wollte jedoch mit keinem andern Frauenzimmer mehr tanzen und hätte jeden, der sich Olimpia näherte, um sie aufzufordern, nur gleich ermorden mögen.|Er wollte jedoch mit keinem andern Frauenzimmer mehr tanzen und hätte jeden, der sich Olimpia näherte, um sie aufzufordern, nur gleich ermorden mögen.
sandmann_4_f000031|Doch nur zweimal geschah dies, zu seinem Erstaunen blieb darauf Olimpia bei jedem Tanze sitzen und er ermangelte nicht, immer wieder sie aufzuziehen.|Doch nur zweimal geschah dies, zu seinem Erstaunen blieb darauf Olimpia bei jedem Tanze sitzen und er ermangelte nicht, immer wieder sie aufzuziehen.
sandmann_4_f000032|Hätte Nathanael außer der schönen Olimpia noch etwas andres zu sehen vermocht, so wäre allerlei fataler Zank und Streit unvermeidlich gewesen; denn offenbar ging das halbleise, mühsam unterdrückte Gelächter,|Hätte Nathanael außer der schönen Olimpia noch etwas andres zu sehen vermocht, so wäre allerlei fataler Zank und Streit unvermeidlich gewesen; denn offenbar ging das halbleise, mühsam unterdrückte Gelächter,
sandmann_4_f000033|was sich in diesem und jenem Winkel unter den jungen Leuten erhob, auf die schöne Olimpia, die sie mit ganz kuriosen Blicken verfolgten, man konnte gar nicht wissen, warum?|was sich in diesem und jenem Winkel unter den jungen Leuten erhob, auf die schöne Olimpia, die sie mit ganz kuriosen Blicken verfolgten, man konnte gar nicht wissen, warum?
sandmann_4_f000034|Durch den Tanz und durch den reichlich genossenen Wein erhitzt, hatte Nathanael alle ihm sonst eigne Scheu abgelegt.|Durch den Tanz und durch den reichlich genossenen Wein erhitzt, hatte Nathanael alle ihm sonst eigne Scheu abgelegt.
sandmann_4_f000035|Er saß neben Olimpia, ihre Hand in der seinigen und sprach hochentflammt und begeistert von seiner Liebe in Worten, die keiner verstand, weder er, noch Olimpia.|Er saß neben Olimpia, ihre Hand in der seinigen und sprach hochentflammt und begeistert von seiner Liebe in Worten, die keiner verstand, weder er, noch Olimpia.
sandmann_4_f000036|Doch diese vielleicht; denn sie sah ihm unverrückt ins Auge und seufzte einmal übers andere: Ach Ach Ach!|Doch diese vielleicht; denn sie sah ihm unverrückt ins Auge und seufzte einmal übers andere: Ach Ach Ach!
sandmann_4_f000037|worauf denn Nathanael also sprach: O du herrliche, himmlische Frau!|worauf denn Nathanael also sprach: O du herrliche, himmlische Frau!
sandmann_4_f000038|du Strahl aus dem verheißenen Jenseits der Liebe du tiefes Gemüt, in dem sich mein ganzes Sein spiegelt und noch mehr dergleichen, aber Olimpia seufzte bloß immer wieder: Ach, Ach!|du Strahl aus dem verheißenen Jenseits der Liebe du tiefes Gemüt, in dem sich mein ganzes Sein spiegelt und noch mehr dergleichen, aber Olimpia seufzte bloß immer wieder: Ach, Ach!
sandmann_4_f000039|Der Professor Spalanzani ging einigemal bei den Glücklichen vorüber und lächelte sie ganz seltsam zufrieden an.|Der Professor Spalanzani ging einigemal bei den Glücklichen vorüber und lächelte sie ganz seltsam zufrieden an.
sandmann_4_f000040|Dem Nathanael schien es, unerachtet er sich in einer ganz andern Welt befand, mit einemmal, als würd es hienieden beim Professor Spalanzani merklich finster; er schaute um sich und wurde zu seinem nicht geringen Schreck gewahr,|Dem Nathanael schien es, unerachtet er sich in einer ganz andern Welt befand, mit einemmal, als würd es hienieden beim Professor Spalanzani merklich finster; er schaute um sich und wurde zu seinem nicht geringen Schreck gewahr,
sandmann_4_f000041|daß eben die zwei letzten Lichter in dem leeren Saal herniederbrennen und ausgehen wollten.|daß eben die zwei letzten Lichter in dem leeren Saal herniederbrennen und ausgehen wollten.
sandmann_4_f000042|Längst hatten Musik und Tanz aufgehört.|Längst hatten Musik und Tanz aufgehört.
sandmann_4_f000043|Trennung, Trennung, schrie er ganz wild und verzweifelt, er küßte Olimpias Hand, er neigte sich zu ihrem Munde, eiskalte Lippen begegneten seinen glühenden!|Trennung, Trennung, schrie er ganz wild und verzweifelt, er küßte Olimpias Hand, er neigte sich zu ihrem Munde, eiskalte Lippen begegneten seinen glühenden!
sandmann_4_f000044|So wie, als er Olimpias kalte Hand berührte, fühlte er sich von innerem Grausen erfaßt, die Legende von der toten Braut ging ihm plötzlich durch den Sinn;|So wie, als er Olimpias kalte Hand berührte, fühlte er sich von innerem Grausen erfaßt, die Legende von der toten Braut ging ihm plötzlich durch den Sinn;
sandmann_4_f000045|aber fest hatte ihn Olimpia an sich gedrückt, und in dem Kuß schienen die Lippen zum Leben zu erwarmen.|aber fest hatte ihn Olimpia an sich gedrückt, und in dem Kuß schienen die Lippen zum Leben zu erwarmen.
sandmann_4_f000046|Der Professor Spalanzani schritt langsam durch den leeren Saal, seine Schritte klangen hohl wieder und seine Figur, von flackernden Schlagschatten umspielt, hatte ein grauliches gespenstisches Ansehen.|Der Professor Spalanzani schritt langsam durch den leeren Saal, seine Schritte klangen hohl wieder und seine Figur, von flackernden Schlagschatten umspielt, hatte ein grauliches gespenstisches Ansehen.
sandmann_4_f000047|Liebst du mich liebst du mich Olimpia?|Liebst du mich liebst du mich Olimpia?
sandmann_4_f000048|Nur dies Wort!|Nur dies Wort!
sandmann_4_f000049|Liebst du mich?|Liebst du mich?
sandmann_4_f000050|So flüsterte Nathanael, aber Olimpia seufzte, indem sie aufstand, nur: Ach Ach!|So flüsterte Nathanael, aber Olimpia seufzte, indem sie aufstand, nur: Ach Ach!
sandmann_4_f000051|Ja du mein holder, herrlicher Liebesstern, sprach Nathanael, bist mir aufgegangen und wirst leuchten, wirst verklären mein Inneres immerdar!|Ja du mein holder, herrlicher Liebesstern, sprach Nathanael, bist mir aufgegangen und wirst leuchten, wirst verklären mein Inneres immerdar!
sandmann_4_f000052|Ach, ach! replizierte Olimpia fortschreitend.|Ach, ach! replizierte Olimpia fortschreitend.
sandmann_4_f000053|Nathanael folgte ihr, sie standen vor dem Professor.|Nathanael folgte ihr, sie standen vor dem Professor.
sandmann_4_f000054|Sie haben sich außerordentlich lebhaft mit meiner Tochter unterhalten, sprach dieser lächelnd: Nun, nun, lieber Herr Nathanael, finden Sie Geschmack daran, mit dem blöden Mädchen zu konvergieren, so sollen mir Ihre Besuche willkommen sein.|Sie haben sich außerordentlich lebhaft mit meiner Tochter unterhalten, sprach dieser lächelnd: Nun, nun, lieber Herr Nathanael, finden Sie Geschmack daran, mit dem blöden Mädchen zu konvergieren, so sollen mir Ihre Besuche willkommen sein.
sandmann_4_f000055|Einen ganzen hellen strahlenden Himmel in der Brust schied Nathanael von dannen.|Einen ganzen hellen strahlenden Himmel in der Brust schied Nathanael von dannen.
sandmann_4_f000056|Spalanzanis Fest war der Gegenstand des Gesprächs in den folgenden Tagen.|Spalanzanis Fest war der Gegenstand des Gesprächs in den folgenden Tagen.
sandmann_4_f000057|Unerachtet der Professor alles getan hatte, recht splendid zu erscheinen, so wußten doch die lustigen Köpfe von allerlei Unschicklichem und Sonderbarem zu erzählen, das sich begeben, und vorzüglich fiel man über die todstarre,|Unerachtet der Professor alles getan hatte, recht splendid zu erscheinen, so wußten doch die lustigen Köpfe von allerlei Unschicklichem und Sonderbarem zu erzählen, das sich begeben, und vorzüglich fiel man über die todstarre,
sandmann_4_f000058|stumme Olimpia her, der man, ihres schönen Äußern unerachtet, totalen Stumpfsinn andichten und darin die Ursache finden wollte, warum Spalanzani sie so lange verborgen gehalten.|stumme Olimpia her, der man, ihres schönen Äußern unerachtet, totalen Stumpfsinn andichten und darin die Ursache finden wollte, warum Spalanzani sie so lange verborgen gehalten.
sandmann_4_f000059|Nathanael vernahm das nicht ohne innern Grimm, indessen schwieg er; denn, dachte er, würde es wohl verlohnen, diesen Burschen zu beweisen, daß eben ihr eigner Stumpfsinn es ist, der sie Olimpias tiefes herrliches Gemüt zu erkennen hindert?|Nathanael vernahm das nicht ohne innern Grimm, indessen schwieg er; denn, dachte er, würde es wohl verlohnen, diesen Burschen zu beweisen, daß eben ihr eigner Stumpfsinn es ist, der sie Olimpias tiefes herrliches Gemüt zu erkennen hindert?
sandmann_4_f000060|Tu mir den Gefallen, Bruder, sprach eines Tages Siegmund, tu mir den Gefallen und sage, wie es dir gescheuten Kerl möglich war, dich in das Wachsgesicht, in die Holzpuppe da drüben zu vergaffen?|Tu mir den Gefallen, Bruder, sprach eines Tages Siegmund, tu mir den Gefallen und sage, wie es dir gescheuten Kerl möglich war, dich in das Wachsgesicht, in die Holzpuppe da drüben zu vergaffen?
sandmann_4_f000061|Nathanael wollte zornig auffahren, doch schnell besann er sich und erwiderte: Sage du mir Siegmund, wie deinem, sonst alles Schöne klar auffassenden Blick, deinem regen Sinn, Olimpias himmlischer Liebreiz entgehen konnte?|Nathanael wollte zornig auffahren, doch schnell besann er sich und erwiderte: Sage du mir Siegmund, wie deinem, sonst alles Schöne klar auffassenden Blick, deinem regen Sinn, Olimpias himmlischer Liebreiz entgehen konnte?
sandmann_4_f000062|Doch eben deshalb habe ich, Dank sei es dem Geschick, dich nicht zum Nebenbuhler; denn sonst müßte einer von uns blutend fallen.|Doch eben deshalb habe ich, Dank sei es dem Geschick, dich nicht zum Nebenbuhler; denn sonst müßte einer von uns blutend fallen.
sandmann_4_f000063|Siegmund merkte wohl, wie es mit dem Freunde stand, lenkte geschickt ein, und fügte, nachdem er geäußert, daß in der Liebe niemals über den Gegenstand zu richten sei, hinzu: Wunderlich ist es doch, daß viele von uns über Olimpia ziemlich gleich urteilen.|Siegmund merkte wohl, wie es mit dem Freunde stand, lenkte geschickt ein, und fügte, nachdem er geäußert, daß in der Liebe niemals über den Gegenstand zu richten sei, hinzu: Wunderlich ist es doch, daß viele von uns über Olimpia ziemlich gleich urteilen.
sandmann_4_f000064|Sie ist uns nimm es nicht übel, Bruder!|Sie ist uns nimm es nicht übel, Bruder!
sandmann_4_f000065|auf seltsame Weise starr und seelenlos erschienen.|auf seltsame Weise starr und seelenlos erschienen.
sandmann_4_f000066|Ihr Wuchs ist regelmäßig, so wie ihr Gesicht, das ist wahr!|Ihr Wuchs ist regelmäßig, so wie ihr Gesicht, das ist wahr!
sandmann_4_f000067|Sie könnte für schön gelten, wenn ihr Blick nicht so ganz ohne Lebensstrahl, ich möchte sagen, ohne Sehkraft wäre.|Sie könnte für schön gelten, wenn ihr Blick nicht so ganz ohne Lebensstrahl, ich möchte sagen, ohne Sehkraft wäre.
sandmann_4_f000068|Ihr Schritt ist sonderbar abgemessen, jede Bewegung scheint durch den Gang eines aufgezogenen Räderwerks bedingt.|Ihr Schritt ist sonderbar abgemessen, jede Bewegung scheint durch den Gang eines aufgezogenen Räderwerks bedingt.
sandmann_4_f000069|Ihr Spiel, ihr Singen hat den unangenehm richtigen geistlosen Takt der singenden Maschine und ebenso ist ihr Tanz.|Ihr Spiel, ihr Singen hat den unangenehm richtigen geistlosen Takt der singenden Maschine und ebenso ist ihr Tanz.
sandmann_4_f000070|Uns ist diese Olimpia ganz unheimlich geworden, wir mochten nichts mit ihr zu schaffen haben, es war uns als tue sie nur so wie ein lebendiges Wesen und doch habe es mit ihr eine eigne Bewandtnis.|Uns ist diese Olimpia ganz unheimlich geworden, wir mochten nichts mit ihr zu schaffen haben, es war uns als tue sie nur so wie ein lebendiges Wesen und doch habe es mit ihr eine eigne Bewandtnis.
sandmann_4_f000071|Nathanael gab sich dem bittern Gefühl, das ihn bei diesen Worten Siegmunds ergreifen wollte, durchaus nicht hin, er wurde Herr seines Unmuts und sagte bloß sehr ernst: Wohl mag euch, ihr kalten prosaischen Menschen, Olimpia unheimlich sein.|Nathanael gab sich dem bittern Gefühl, das ihn bei diesen Worten Siegmunds ergreifen wollte, durchaus nicht hin, er wurde Herr seines Unmuts und sagte bloß sehr ernst: Wohl mag euch, ihr kalten prosaischen Menschen, Olimpia unheimlich sein.
sandmann_4_f000072|Nur dem poetischen Gemüt entfaltet sich das gleich organisierte!|Nur dem poetischen Gemüt entfaltet sich das gleich organisierte!
sandmann_4_f000073|Nur mir ging ihr Liebesblick auf und durchstrahlte Sinn und Gedanken, nur in Olimpias Liebe finde ich mein Selbst wieder.|Nur mir ging ihr Liebesblick auf und durchstrahlte Sinn und Gedanken, nur in Olimpias Liebe finde ich mein Selbst wieder.
sandmann_4_f000074|Euch mag es nicht recht sein, daß sie nicht in platter Konversation faselt, wie die andern flachen Gemüter.|Euch mag es nicht recht sein, daß sie nicht in platter Konversation faselt, wie die andern flachen Gemüter.
sandmann_4_f000075|Sie spricht wenig Worte, das ist wahr; aber diese wenigen Worte erscheinen als echte Hieroglyphe der innern Welt voll Liebe und hoher Erkenntnis des geistigen Lebens in der Anschauung des ewigen Jenseits.|Sie spricht wenig Worte, das ist wahr; aber diese wenigen Worte erscheinen als echte Hieroglyphe der innern Welt voll Liebe und hoher Erkenntnis des geistigen Lebens in der Anschauung des ewigen Jenseits.
sandmann_4_f000076|Doch für alles das habt ihr keinen Sinn und alles sind verlorne Worte.|Doch für alles das habt ihr keinen Sinn und alles sind verlorne Worte.
sandmann_4_f000077|Behüte dich Gott, Herr Bruder, sagte Siegmund sehr sanft, beinahe wehmütig, aber mir scheint es, du seist auf bösem Wege.|Behüte dich Gott, Herr Bruder, sagte Siegmund sehr sanft, beinahe wehmütig, aber mir scheint es, du seist auf bösem Wege.
sandmann_4_f000078|Auf mich kannst du rechnen, wenn alles Nein, ich mag nichts weiter sagen!|Auf mich kannst du rechnen, wenn alles Nein, ich mag nichts weiter sagen!
sandmann_4_f000079|Dem Nathanael war es plötzlich, als meine der kalte prosaische Siegmund es sehr treu mit ihm, er schüttelte daher die ihm dargebotene Hand recht herzlich.|Dem Nathanael war es plötzlich, als meine der kalte prosaische Siegmund es sehr treu mit ihm, er schüttelte daher die ihm dargebotene Hand recht herzlich.
sandmann_4_f000080|Nathanael hatte rein vergessen, daß es eine Clara in der Welt gebe, die er sonst geliebt; die Mutter Lothar alle waren aus seinem Gedächtnis entschwunden, er lebte nur für Olimpia, bei der er täglich stundenlang saß und von seiner Liebe,|Nathanael hatte rein vergessen, daß es eine Clara in der Welt gebe, die er sonst geliebt; die Mutter Lothar alle waren aus seinem Gedächtnis entschwunden, er lebte nur für Olimpia, bei der er täglich stundenlang saß und von seiner Liebe,
sandmann_4_f000081|von zum Leben erglühter Sympathie, von psychischer Wahlverwandtschaft fantasierte, welches alles Olimpia mit großer Andacht anhörte.|von zum Leben erglühter Sympathie, von psychischer Wahlverwandtschaft fantasierte, welches alles Olimpia mit großer Andacht anhörte.
sandmann_4_f000082|Aus dem tiefsten Grunde des Schreibpults holte Nathanael alles hervor, was er jemals geschrieben.|Aus dem tiefsten Grunde des Schreibpults holte Nathanael alles hervor, was er jemals geschrieben.
sandmann_4_f000083|Gedichte, Fantasien, Visionen, Romane, Erzählungen, das wurde täglich vermehrt mit allerlei ins Blaue fliegenden Sonetten, Stanzen, Kanzonen, und das alles las er der Olimpia stundenlang hintereinander vor, ohne zu ermüden.|Gedichte, Fantasien, Visionen, Romane, Erzählungen, das wurde täglich vermehrt mit allerlei ins Blaue fliegenden Sonetten, Stanzen, Kanzonen, und das alles las er der Olimpia stundenlang hintereinander vor, ohne zu ermüden.
sandmann_4_f000084|Aber auch noch nie hatte er eine solche herrliche Zuhörerin gehabt.|Aber auch noch nie hatte er eine solche herrliche Zuhörerin gehabt.
sandmann_4_f000085|Sie stickte und strickte nicht, sie sah nicht durchs Fenster, sie fütterte keinen Vogel, sie spielte mit keinem Schoßhündchen, mit keiner Lieblingskatze, sie drehte keine Papierschnitzchen, oder sonst etwas in der Hand,|Sie stickte und strickte nicht, sie sah nicht durchs Fenster, sie fütterte keinen Vogel, sie spielte mit keinem Schoßhündchen, mit keiner Lieblingskatze, sie drehte keine Papierschnitzchen, oder sonst etwas in der Hand,
sandmann_4_f000086|sie durfte kein Gähnen durch einen leisen erzwungenen Husten bezwingen kurz!|sie durfte kein Gähnen durch einen leisen erzwungenen Husten bezwingen kurz!
sandmann_4_f000087|stundenlang sah sie mit starrem Blick unverwandt dem Geliebten ins Auge, ohne sich zu rücken und zu bewegen und immer glühender, immer lebendiger wurde dieser Blick.|stundenlang sah sie mit starrem Blick unverwandt dem Geliebten ins Auge, ohne sich zu rücken und zu bewegen und immer glühender, immer lebendiger wurde dieser Blick.
sandmann_4_f000088|Nur wenn Nathanael endlich aufstand und ihr die Hand, auch wohl den Mund küßte, sagte sie: Ach, Ach! dann aber: Gute Nacht, mein Lieber!|Nur wenn Nathanael endlich aufstand und ihr die Hand, auch wohl den Mund küßte, sagte sie: Ach, Ach! dann aber: Gute Nacht, mein Lieber!
sandmann_4_f000089|O du herrliches, du tiefes Gemüt, rief Nathanael auf seiner Stube: nur von dir, von dir allein werd ich ganz verstanden.|O du herrliches, du tiefes Gemüt, rief Nathanael auf seiner Stube: nur von dir, von dir allein werd ich ganz verstanden.
sandmann_4_f000090|Er erbebte vor innerm Entzücken, wenn er bedachte, welch wunderbarer Zusammenklang sich in seinem und Olimpias Gemüt täglich mehr offenbare;|Er erbebte vor innerm Entzücken, wenn er bedachte, welch wunderbarer Zusammenklang sich in seinem und Olimpias Gemüt täglich mehr offenbare;
sandmann_4_f000091|denn es schien ihm, als habe Olimpia über seine Werke, über seine Dichtergabe überhaupt recht tief aus seinem Innern gesprochen,|denn es schien ihm, als habe Olimpia über seine Werke, über seine Dichtergabe überhaupt recht tief aus seinem Innern gesprochen,
sandmann_4_f000092|ja als habe die Stimme aus seinem Innern selbst herausgetönt.|ja als habe die Stimme aus seinem Innern selbst herausgetönt.
sandmann_4_f000093|Das mußte denn wohl auch sein; denn mehr Worte als vorhin erwähnt, sprach Olimpia niemals.|Das mußte denn wohl auch sein; denn mehr Worte als vorhin erwähnt, sprach Olimpia niemals.
