ferien_vom_ich_001_f000001|Abschnitt 1.|Abschnitt eins.
ferien_vom_ich_001_f000118|Ich will meiner Vaterstadt meine Liebe beweisen und lege 5000 Mark in die städtische Sparkasse für den dreitausendsten Bürger, den Waltersburg in diesem Jahre erhält.|Ich will meiner Vaterstadt meine Liebe beweisen und lege fünftausend Mark in die städtische Sparkasse für den dreitausendsten Bürger, den Waltersburg in diesem Jahre erhält.
ferien_vom_ich_001_f000119|So lautete die Stiftung, die im Stadtblatt publiziert wurde und ungeheure Aufregung hervorrief.|So lautete die Stiftung, die im Stadtblatt publiziert wurde und ungeheure Aufregung hervorrief.
ferien_vom_ich_001_f000120|Und da kam das Unerwartete, wie in solchen Fällen überhaupt meist etwas Unerwartetes geschieht.|Und da kam das Unerwartete, wie in solchen Fällen überhaupt meist etwas Unerwartetes geschieht.
ferien_vom_ich_001_f000121|Die Einwohnerschaft von Waltersburg hatte die Höhe von 2993 erreicht, als der vor kurzem nach Neustadt übersiedelte Barbier Arthur Heilmann mit seiner Frau und seinen fünf Kindern sich wieder in Waltersburg ansiedelte und glückstrahlend die goldene Uhr,|Die Einwohnerschaft von Waltersburg hatte die Höhe von zweitausendneunhundertdreiundneunzig erreicht, als der vor kurzem nach Neustadt übersiedelte Barbier Arthur Heilmann mit seiner Frau und seinen fünf Kindern sich wieder in Waltersburg ansiedelte und glückstrahlend die goldene Uhr,
ferien_vom_ich_001_f000122|das Fahrrad und die fünftausend Mark für sich in Anspruch nahm, da mit seinem Zuzug die Zahl dreitausend erreicht war.|das Fahrrad und die fünftausend Mark für sich in Anspruch nahm, da mit seinem Zuzug die Zahl dreitausend erreicht war.
ferien_vom_ich_001_f000123|In Waltersburg brach eine Revolte aus.|In Waltersburg brach eine Revolte aus.
ferien_vom_ich_001_f000124|Man wollte den frechen Barbier samt Weib und Kindern lynchen.|Man wollte den frechen Barbier samt Weib und Kindern lynchen.
ferien_vom_ich_001_f000125|Man schrie, das sei Betrug, das gälte nicht, das sei ja ganz anders gemeint gewesen.|Man schrie, das sei Betrug, das gälte nicht, das sei ja ganz anders gemeint gewesen.
ferien_vom_ich_001_f000126|Der Barbier, der zuvor bei einem Rechtsanwalt in Neustadt gewesen war, bewahrte seine Ruhe, und Amtsrichter Knopf, der angesehenste Jurist in Waltersburg,|Der Barbier, der zuvor bei einem Rechtsanwalt in Neustadt gewesen war, bewahrte seine Ruhe, und Amtsrichter Knopf, der angesehenste Jurist in Waltersburg,
ferien_vom_ich_001_f000127|erklärte im Magistratskollegium, am Stammtisch und wo immer man es hören wollte, unter Hinweis auf verschiedene Gesetzesparagraphen: es handle sich hier um eine öffentliche Auslobung,|erklärte im Magistratskollegium, am Stammtisch und wo immer man es hören wollte, unter Hinweis auf verschiedene Gesetzesparagraphen: es handle sich hier um eine öffentliche Auslobung,
ferien_vom_ich_001_f000128|deren Inhalt durch den Barbier Heilmann erfüllt sei und dem daher unzweifelhaft die drei ausgesetzten Prämien zufielen.|deren Inhalt durch den Barbier Heilmann erfüllt sei und dem daher unzweifelhaft die drei ausgesetzten Prämien zufielen.
ferien_vom_ich_001_f000129|Aller Ingrimm der Welt hätte an der Tatsache nichts geändert: Heilmann bekam die Preise.|Aller Ingrimm der Welt hätte an der Tatsache nichts geändert: Heilmann bekam die Preise.
ferien_vom_ich_001_f000130|O unglückliches Waltersburg!|O unglückliches Waltersburg!
ferien_vom_ich_001_f000131|In der Stadt war dumpfe Trauer, Zorn und Haß, und alle Männer gelobten, bei diesem Barbier sich nie den Bart schaben oder die Haare schneiden zu lassen.|In der Stadt war dumpfe Trauer, Zorn und Haß, und alle Männer gelobten, bei diesem Barbier sich nie den Bart schaben oder die Haare schneiden zu lassen.
ferien_vom_ich_001_f000132|Darauf rechnete aber der abgefeimte Schaumschläger gar nicht, sondern er zog schon nach Ablauf eines Vierteljahres wieder nach Neustadt zurück und nahm die Preise mit.|Darauf rechnete aber der abgefeimte Schaumschläger gar nicht, sondern er zog schon nach Ablauf eines Vierteljahres wieder nach Neustadt zurück und nahm die Preise mit.
ferien_vom_ich_001_f000133|Waltersburg zählte nach diesem Abzug 2993 Bewohner.|Waltersburg zählte nach diesem Abzug zweitausendneunhundertdreiundneunzig Bewohner.
ferien_vom_ich_001_f000134|Die Auslobungen wurden nicht erneuert.|Die Auslobungen wurden nicht erneuert.
ferien_vom_ich_001_f000135|Das ist nun einer der Fälle, aus denen das feindselige Verhältnis zwischen Waltersburg und dem benachbarten Neustadt schon einigermaßen erhellt.|Das ist nun einer der Fälle, aus denen das feindselige Verhältnis zwischen Waltersburg und dem benachbarten Neustadt schon einigermaßen erhellt.
ferien_vom_ich_001_f000136|Die Zeit meiner Abwesenheit hat an dem feindlichen Verhalten der beiden Städte Waltersburg und Neustadt nichts geändert.|Die Zeit meiner Abwesenheit hat an dem feindlichen Verhalten der beiden Städte Waltersburg und Neustadt nichts geändert.
ferien_vom_ich_001_f000137|Und doch ist Neustadt eine Tochterstadt von Waltersburg, die beiden Orte sind in der Luftlinie kaum drei Kilometer voneinander entfernt und nur durch den mäßig hohen Weihnachtsberg getrennt.|Und doch ist Neustadt eine Tochterstadt von Waltersburg, die beiden Orte sind in der Luftlinie kaum drei Kilometer voneinander entfernt und nur durch den mäßig hohen Weihnachtsberg getrennt.
ferien_vom_ich_001_f000138|Nicht nur, daß die beiderseitigen Gemeindekollegien miteinander in Hader liegen und sich die zwei Stadtblättchen ständig befehden, der Haß gegen die Nachbarstadt bringt auch noch heute die Köpfe der Waltersburger Stammtischphilister in Gluthitze|Nicht nur, daß die beiderseitigen Gemeindekollegien miteinander in Hader liegen und sich die zwei Stadtblättchen ständig befehden, der Haß gegen die Nachbarstadt bringt auch noch heute die Köpfe der Waltersburger Stammtischphilister in Gluthitze
ferien_vom_ich_001_f000139|und überträgt sich sogar auf die Frauen und Kinder.|und überträgt sich sogar auf die Frauen und Kinder.
ferien_vom_ich_001_f000140|Bis in die siebziger Jahre des vorigen Jahrhunderts hat sich Waltersburg eines geradezu paradiesischen Friedens erfreut.|Bis in die siebziger Jahre des vorigen Jahrhunderts hat sich Waltersburg eines geradezu paradiesischen Friedens erfreut.
ferien_vom_ich_001_f000141|Die Hussiten sind an ihm vorbeigezogen, die Horden des Dreißigjährigen Krieges haben vergessen, die Stadt auszuplündern, so daß Waltersburg mit seinen damals 2000 Bewohnern nach dem Westfälischen Frieden eine der volkreichsten Städte Deutschlands war,|Die Hussiten sind an ihm vorbeigezogen, die Horden des Dreißigjährigen Krieges haben vergessen, die Stadt auszuplündern, so daß Waltersburg mit seinen damals zweitausend Bewohnern nach dem Westfälischen Frieden eine der volkreichsten Städte Deutschlands war,
ferien_vom_ich_001_f000142|ein Umstand, über den in der Stadtchronik des weiten und breiten geredet wird; von den Fritzeschen Regimentern hat nur eines einmal drei Tage lang in Waltersburg Station gemacht,|ein Umstand, über den in der Stadtchronik des weiten und breiten geredet wird; von den Fritzeschen Regimentern hat nur eines einmal drei Tage lang in Waltersburg Station gemacht,
ferien_vom_ich_001_f000143|was den Stoff für ein weiteres Viertel der Chronik bildet, und auch die Siegerscharen Napoleons haben keine besondere gloire darin erblickt, die Stadtmauern von Waltersburg zu berennen.|was den Stoff für ein weiteres Viertel der Chronik bildet, und auch die Siegerscharen Napoleons haben keine besondere gloire darin erblickt, die Stadtmauern von Waltersburg zu berennen.
ferien_vom_ich_001_f000144|So war das weiße Lamm in grünem Felde ein sehr angebrachtes Wappentier für die friedfertige Stadt, und es gehörte schon die ganze boshafte Niedertracht der Neustädter dazu, zu behaupten, weiland der geistvolle Hohenstaufe Friedrich II.|So war das weiße Lamm in grünem Felde ein sehr angebrachtes Wappentier für die friedfertige Stadt, und es gehörte schon die ganze boshafte Niedertracht der Neustädter dazu, zu behaupten, weiland der geistvolle Hohenstaufe Friedrich II.
ferien_vom_ich_001_f000145|hätte den Waltersburgern das Lamm für ihr Stadtwappen nur darum verliehen, weil er ihre ureigentümliche und unausrottbare Schafköpfigkeit wohl erkannt habe.|hätte den Waltersburgern das Lamm für ihr Stadtwappen nur darum verliehen, weil er ihre ureigentümliche und unausrottbare Schafköpfigkeit wohl erkannt habe.
ferien_vom_ich_001_f000146|Solch grobe Beleidigung strafen die Waltersburger mit eiskalter Verachtung; dagegen erhitzen sie sich noch heute sofort, wenn die Rede einmal auf den Bahnbau kommt.|Solch grobe Beleidigung strafen die Waltersburger mit eiskalter Verachtung; dagegen erhitzen sie sich noch heute sofort, wenn die Rede einmal auf den Bahnbau kommt.
ferien_vom_ich_001_f000147|Als nach dem siebziger Kriege sich in Deutschland die Eisenbahnen mehrten wie nach einem fruchtbaren Regen im Garten die Würmer, hatte die Regierung dem Rat angeboten, eine neue Hauptstrecke über Waltersburg zu führen, ja die Stadt zu einem Eisenbahnknotenpunkt zu machen.|Als nach dem siebziger Kriege sich in Deutschland die Eisenbahnen mehrten wie nach einem fruchtbaren Regen im Garten die Würmer, hatte die Regierung dem Rat angeboten, eine neue Hauptstrecke über Waltersburg zu führen, ja die Stadt zu einem Eisenbahnknotenpunkt zu machen.
ferien_vom_ich_001_f000148|Dieses Anerbieten hatte die Bürgerschaft in die allerschwerste Sorge gestürzt.|Dieses Anerbieten hatte die Bürgerschaft in die allerschwerste Sorge gestürzt.
ferien_vom_ich_001_f000149|Sie sandten zum Kaiser nach Berlin eine Deputation mit der Bitte, der Landesvater möge das schwere Unheil, das den Frieden und die Ruhe der treuen Stadt Waltersburg bedrohe, allergnädigst abwenden.|Sie sandten zum Kaiser nach Berlin eine Deputation mit der Bitte, der Landesvater möge das schwere Unheil, das den Frieden und die Ruhe der treuen Stadt Waltersburg bedrohe, allergnädigst abwenden.
ferien_vom_ich_001_f000150|Die Deputation wurde zwar nicht empfangen, brachte aber in aller Stille ein kräftiges Wort mit heim, das ein Geheimer Rat im Eisenbahnministerium gesprochen hatte, und das nicht viel schmeichelhafter klang als die Neustädter Auslegung des Waltersburger Wappentieres.|Die Deputation wurde zwar nicht empfangen, brachte aber in aller Stille ein kräftiges Wort mit heim, das ein Geheimer Rat im Eisenbahnministerium gesprochen hatte, und das nicht viel schmeichelhafter klang als die Neustädter Auslegung des Waltersburger Wappentieres.
ferien_vom_ich_001_f000151|Die Hauptsache war: die Bahn kam nicht nach Waltersburg.|Die Hauptsache war: die Bahn kam nicht nach Waltersburg.
ferien_vom_ich_001_f000152|Sie wurde jenseits des Weihnachtsberges, etwa sechs Kilometer von der Stadt entfernt, vorbeigeführt.|Sie wurde jenseits des Weihnachtsberges, etwa sechs Kilometer von der Stadt entfernt, vorbeigeführt.
ferien_vom_ich_001_f000153|Daselbst wurde auch ein großer Bahnhof angelegt, da sich in der Tat die Notwendigkeit herausgestellt hatte, an diesem Orte einen Kreuzungspunkt zu errichten, und die Station führte, da sie doch benannt werden mußte, den Namen Waltersburg-Neustadt.|Daselbst wurde auch ein großer Bahnhof angelegt, da sich in der Tat die Notwendigkeit herausgestellt hatte, an diesem Orte einen Kreuzungspunkt zu errichten, und die Station führte, da sie doch benannt werden mußte, den Namen Waltersburg-Neustadt.
ferien_vom_ich_001_f000154|Die Waltersburger lachten.|Die Waltersburger lachten.
ferien_vom_ich_001_f000155|Sie hatten jetzt eine Eisenbahnstation, aber diese Station konnte ihnen nichts anhaben.|Sie hatten jetzt eine Eisenbahnstation, aber diese Station konnte ihnen nichts anhaben.
ferien_vom_ich_001_f000156|Später hat ein Dichter in der Neustädter Umschau ein Poem veröffentlicht, in dem es hieß: Die Waltersburger, die sind gar pfiffige Leut, Sie sind nicht nur pfiffig, sie sind grundgescheut, Sie haben eine Bahn, die woanders darum geht,|Später hat ein Dichter in der Neustädter Umschau ein Poem veröffentlicht, in dem es hieß: Die Waltersburger, die sind gar pfiffige Leut, Sie sind nicht nur pfiffig, sie sind grundgescheut, Sie haben eine Bahn, die woanders darum geht,
ferien_vom_ich_001_f000157|Sie ham einen Geldschrank, der im Nachbarhaus steht; Sie füttern der Hasen und Rehe wohl viel, Doch treiben sie alle dem Nachbar vors Ziel;|Sie ham einen Geldschrank, der im Nachbarhaus steht; Sie füttern der Hasen und Rehe wohl viel, Doch treiben sie alle dem Nachbar vors Ziel;
ferien_vom_ich_001_f000158|Sie sperren ihren Fluß, daß kein Fisch hineinschwimmt Und zuviel von dem sehr guten Wasser wegnimmt; Und wäre mal ein Mäderle gerne geküßt, Da wartets, bis auswärts ein Kirmestanz ist.|Sie sperren ihren Fluß, daß kein Fisch hineinschwimmt Und zuviel von dem sehr guten Wasser wegnimmt; Und wäre mal ein Mäderle gerne geküßt, Da wartets, bis auswärts ein Kirmestanz ist.
ferien_vom_ich_001_f000159|Für dieses Gedicht hat sein Verfasser von den Neustädtern viel Lob und von den Waltersburgern gelegentlich recht ordentliche Prügel geerntet.|Für dieses Gedicht hat sein Verfasser von den Neustädtern viel Lob und von den Waltersburgern gelegentlich recht ordentliche Prügel geerntet.
ferien_vom_ich_001_f000160|Neustadt verdankte seine Gründung einem trutzigen Bürger von Waltersburg, dem Baumeister August Bunkert, der als einziger in der ganzen Stadt Waltersburg Tag und Nacht geredet hatte, die so günstige Gelegenheit, einen großen Bahnhof an die Stadt zu bekommen, nicht zu verpassen.|Neustadt verdankte seine Gründung einem trutzigen Bürger von Waltersburg, dem Baumeister August Bunkert, der als einziger in der ganzen Stadt Waltersburg Tag und Nacht geredet hatte, die so günstige Gelegenheit, einen großen Bahnhof an die Stadt zu bekommen, nicht zu verpassen.
ferien_vom_ich_001_f000161|Als er mit seinen Ideen nicht durchdrang, im Gegenteil viel Anfeindung erfuhr, die bis zu persönlichen Feindschaften ausartete, und sich insonderheit mit seinem einzigen Bruder, Wilhelm Bunkert, der jetzt Bürgermeister von Waltersburg ist und damals zu der Berliner Deputation gehörte,|Als er mit seinen Ideen nicht durchdrang, im Gegenteil viel Anfeindung erfuhr, die bis zu persönlichen Feindschaften ausartete, und sich insonderheit mit seinem einzigen Bruder, Wilhelm Bunkert, der jetzt Bürgermeister von Waltersburg ist und damals zu der Berliner Deputation gehörte,
ferien_vom_ich_001_f000162|in bitterem Hader entzweite, zog der Baurat aus dem Hause seiner Väter aus und baute jenseits des Berges dicht neben den neuen Bahnhof ein großes Hotel, dem er den Namen Zur guten Hoffnung gab.|in bitterem Hader entzweite, zog der Baurat aus dem Hause seiner Väter aus und baute jenseits des Berges dicht neben den neuen Bahnhof ein großes Hotel, dem er den Namen Zur guten Hoffnung gab.
ferien_vom_ich_001_f000163|Die gute Hoffnung erwies sich zunächst als schlecht; denn da das Hotel auf bloßem Felde stand, alle Eisenbahnpassagiere aber fanden, daß sie in der menschenleeren Wald- und Wiesengegend nichts zu suchen hätten und darum immer schleunigst weiterfuhren,|Die gute Hoffnung erwies sich zunächst als schlecht; denn da das Hotel auf bloßem Felde stand, alle Eisenbahnpassagiere aber fanden, daß sie in der menschenleeren Wald- und Wiesengegend nichts zu suchen hätten und darum immer schleunigst weiterfuhren,
ferien_vom_ich_001_f000164|stand das Hotel Jahr und Tag leer, die wenigen Bahnbeamten abgerechnet, die am Abend ihr Schöpplein tranken, und an August Bunkert kroch langsam die Pleite heran.|stand das Hotel Jahr und Tag leer, die wenigen Bahnbeamten abgerechnet, die am Abend ihr Schöpplein tranken, und an August Bunkert kroch langsam die Pleite heran.
ferien_vom_ich_001_f000165|Die Waltersburger meinten, daß der neuerungssüchtige Trotzkopf dieses Schicksal wohl verdient habe, aber zu ihrer Ehre muß gesagt werden, daß Bunkert vielen leid tat und daß man dem verlorenen Sohne gern verziehen und ihm auf die eine oder andere Art wieder auf die Beine geholfen hätte,|Die Waltersburger meinten, daß der neuerungssüchtige Trotzkopf dieses Schicksal wohl verdient habe, aber zu ihrer Ehre muß gesagt werden, daß Bunkert vielen leid tat und daß man dem verlorenen Sohne gern verziehen und ihm auf die eine oder andere Art wieder auf die Beine geholfen hätte,
ferien_vom_ich_001_f000166|wenn es dem Ausreißer nur eingefallen wäre, zurückzukommen, seinen Irrtum einzugestehen und die vorsichtige Art der Waltersburger zu loben, die er ehedem so heftig angegriffen hatte.|wenn es dem Ausreißer nur eingefallen wäre, zurückzukommen, seinen Irrtum einzugestehen und die vorsichtige Art der Waltersburger zu loben, die er ehedem so heftig angegriffen hatte.
