maerchen_001_f000001|Der glückliche Prinz.|Der glückliche Prinz.
maerchen_001_f000137|Ich reise nach Ägypten, rief die Schwalbe, aber niemand bekümmerte sich darum, und als der Mond aufging, flog sie zurück zum glücklichen Prinzen.|Ich reise nach Ägypten, rief die Schwalbe, aber niemand bekümmerte sich darum, und als der Mond aufging, flog sie zurück zum glücklichen Prinzen.
maerchen_001_f000138|Ich bin gekommen, um dir Lebewohl zu sagen, rief sie.|Ich bin gekommen, um dir Lebewohl zu sagen, rief sie.
maerchen_001_f000139|Schwalbe, Schwalbe, kleine Schwalbe, sagte der Prinz, willst du nicht noch eine Nacht bei mir bleiben?|Schwalbe, Schwalbe, kleine Schwalbe, sagte der Prinz, willst du nicht noch eine Nacht bei mir bleiben?
maerchen_001_f000140|Es ist Winter, antwortete die Schwalbe, und bald wird der kalte Schnee hier sein.|Es ist Winter, antwortete die Schwalbe, und bald wird der kalte Schnee hier sein.
maerchen_001_f000141|In Ägypten brennt die Sonne warm auf den grünen Palmzweigen, und die Krokodile liegen im Schlamm und blicken träge umher.|In Ägypten brennt die Sonne warm auf den grünen Palmzweigen, und die Krokodile liegen im Schlamm und blicken träge umher.
maerchen_001_f000142|Meine Gefährten bauen ein Nest im Tempel von Baalbek, und die blaßroten und weißen Tauben beobachten sie und girren sich zu.|Meine Gefährten bauen ein Nest im Tempel von Baalbek, und die blaßroten und weißen Tauben beobachten sie und girren sich zu.
maerchen_001_f000143|Lieber Prinz, ich muß dich verlassen, aber ich will dich nie vergessen, und nächstes Frühjahr werde ich dir zwei schöne Edelsteine bringen für die, die du fortgegeben hast.|Lieber Prinz, ich muß dich verlassen, aber ich will dich nie vergessen, und nächstes Frühjahr werde ich dir zwei schöne Edelsteine bringen für die, die du fortgegeben hast.
maerchen_001_f000144|Der Rubin soll röter sein als eine rote Rose, und der Saphir so blau wie die weite See.|Der Rubin soll röter sein als eine rote Rose, und der Saphir so blau wie die weite See.
maerchen_001_f000145|Unten auf dem Platz , sagte der glückliche Prinz, da steht ein kleines Streichholzmädchen.|Unten auf dem Platz , sagte der glückliche Prinz, da steht ein kleines Streichholzmädchen.
maerchen_001_f000146|Sie hat ihre Streichhölzer in den Rinnstein fallen lassen, und sie sind alle verdorben.|Sie hat ihre Streichhölzer in den Rinnstein fallen lassen, und sie sind alle verdorben.
maerchen_001_f000147|Ihr Vater wird sie schlagen, wenn sie kein Geld nach Hause bringt, deshalb weint sie.|Ihr Vater wird sie schlagen, wenn sie kein Geld nach Hause bringt, deshalb weint sie.
maerchen_001_f000148|Sie hat weder Schuhe noch Strümpfe, und ihr kleiner Kopf ist bloß.|Sie hat weder Schuhe noch Strümpfe, und ihr kleiner Kopf ist bloß.
maerchen_001_f000149|Picke mein anderes Auge aus und bringe es ihr, dann wird ihr Vater sie nicht schlagen.|Picke mein anderes Auge aus und bringe es ihr, dann wird ihr Vater sie nicht schlagen.
maerchen_001_f000150|Ich will noch eine Nacht bei dir bleiben, sagte die Schwalbe, aber dein Auge kann ich nicht auspicken.|Ich will noch eine Nacht bei dir bleiben, sagte die Schwalbe, aber dein Auge kann ich nicht auspicken.
maerchen_001_f000151|Du würdest dann ganz blind sein.|Du würdest dann ganz blind sein.
maerchen_001_f000152|Schwalbe, Schwalbe, kleine Schwalbe, sagte der Prinz, tue, wie ich dir gesagt habe.|Schwalbe, Schwalbe, kleine Schwalbe, sagte der Prinz, tue, wie ich dir gesagt habe.
maerchen_001_f000153|So pickte sie denn das andere Auge des Prinzen aus und flog damit hinab.|So pickte sie denn das andere Auge des Prinzen aus und flog damit hinab.
maerchen_001_f000154|Sie schoß hinter das Streichholzmädchen und ließ den Edelstein in ihre hohle Hand gleiten.|Sie schoß hinter das Streichholzmädchen und ließ den Edelstein in ihre hohle Hand gleiten.
maerchen_001_f000155|Was für ein köstliches Stück Glas, rief das kleine Mädchen; und sie rannte jubelnd nach Hause.|Was für ein köstliches Stück Glas, rief das kleine Mädchen; und sie rannte jubelnd nach Hause.
maerchen_001_f000156|Dann kam die Schwalbe zurück zu dem Prinzen.|Dann kam die Schwalbe zurück zu dem Prinzen.
maerchen_001_f000157|Du bist jetzt blind, sagte sie, deshalb will ich immer bei dir bleiben.|Du bist jetzt blind, sagte sie, deshalb will ich immer bei dir bleiben.
maerchen_001_f000158|Nein, kleine Schwalbe, sagte der arme Prinz, du mußt fortgehen nach Ägypten.|Nein, kleine Schwalbe, sagte der arme Prinz, du mußt fortgehen nach Ägypten.
maerchen_001_f000159|Ich werde immer bei dir bleiben, sagte die Schwalbe, und sie schlief zu des Prinzen Füßen.|Ich werde immer bei dir bleiben, sagte die Schwalbe, und sie schlief zu des Prinzen Füßen.
maerchen_001_f000160|Den ganzen nächsten Tag saß sie auf des Prinzen Schulter und erzählte ihm Geschichten von allem, was sie in seltsamen Ländern gesehen hatte.|Den ganzen nächsten Tag saß sie auf des Prinzen Schulter und erzählte ihm Geschichten von allem, was sie in seltsamen Ländern gesehen hatte.
maerchen_001_f000161|Sie erzählte ihm von roten Ibissen, die in langen Reihen auf den Bänken am Nil stehen und in ihren Schnäbeln Goldfische fangen;|Sie erzählte ihm von roten Ibissen, die in langen Reihen auf den Bänken am Nil stehen und in ihren Schnäbeln Goldfische fangen;
maerchen_001_f000162|von der Sphinx, die so alt ist wie die Welt, die in einer Wüste lebt und alles weiß; von Kaufleuten, die langsam neben ihren Kamelen dahinschreiten und Bernsteinperlen in ihrer Hand tragen;|von der Sphinx, die so alt ist wie die Welt, die in einer Wüste lebt und alles weiß; von Kaufleuten, die langsam neben ihren Kamelen dahinschreiten und Bernsteinperlen in ihrer Hand tragen;
maerchen_001_f000163|von dem König der Mondberge, der so schwarz ist wie Ebenholz und einen großen Kristall anbetet; von der großen, grünen Schlange, die in einem Palmbaum schläft und zwanzig Priester hat, die sie mit Honigkuchen füttern;|von dem König der Mondberge, der so schwarz ist wie Ebenholz und einen großen Kristall anbetet; von der großen, grünen Schlange, die in einem Palmbaum schläft und zwanzig Priester hat, die sie mit Honigkuchen füttern;
maerchen_001_f000164|und von den Pygmäen, die über einen weiten See auf großen, flachen Blättern dahinsegeln und immer im Kriege mit den Schmetterlingen sind.|und von den Pygmäen, die über einen weiten See auf großen, flachen Blättern dahinsegeln und immer im Kriege mit den Schmetterlingen sind.
maerchen_001_f000165|Liebe, kleine Schwalbe, sagte der Prinz, du erzählst mir von wunderbaren Dingen, aber wunderbarer als alles ist das Leiden von Männern und Frauen.|Liebe, kleine Schwalbe, sagte der Prinz, du erzählst mir von wunderbaren Dingen, aber wunderbarer als alles ist das Leiden von Männern und Frauen.
maerchen_001_f000166|Kein Geheimnis ist so groß als das Elend.|Kein Geheimnis ist so groß als das Elend.
maerchen_001_f000167|Fliege über meine Stadt und erzähle mir, was du dort siehst.|Fliege über meine Stadt und erzähle mir, was du dort siehst.
maerchen_001_f000168|Da flog nun die Schwalbe über die große Stadt und sah, wie sich die Reichen in ihren schönen Häusern belustigten, während die Bettler an den Toren saßen.|Da flog nun die Schwalbe über die große Stadt und sah, wie sich die Reichen in ihren schönen Häusern belustigten, während die Bettler an den Toren saßen.
maerchen_001_f000169|Sie flog in dunkle Gassen und sah die blassen Gesichter verhungernder Kinder gleichgültig auf die schwarzen Straßen starren.|Sie flog in dunkle Gassen und sah die blassen Gesichter verhungernder Kinder gleichgültig auf die schwarzen Straßen starren.
maerchen_001_f000170|Unter einem Brückenbogen lagen zwei kleine Knaben aneinander geschmiegt und versuchten, sich warm zu halten.|Unter einem Brückenbogen lagen zwei kleine Knaben aneinander geschmiegt und versuchten, sich warm zu halten.
maerchen_001_f000171|Wie hungrig wir sind! sagten sie.|Wie hungrig wir sind! sagten sie.
maerchen_001_f000172|Ihr dürft hier nicht liegen, rief der Wächter, und sie wanderten hinaus in den Regen.|Ihr dürft hier nicht liegen, rief der Wächter, und sie wanderten hinaus in den Regen.
maerchen_001_f000173|Dann flog sie zurück und erzählte dem Prinzen, was sie gesehen hatte.|Dann flog sie zurück und erzählte dem Prinzen, was sie gesehen hatte.
maerchen_001_f000174|Ich bin mit reinem Gold bedeckt, sagte der Prinz, du mußt es Blatt für Blatt abnehmen und es meinen Armen geben; die Lebenden glauben immer, daß Gold sie glücklich machen kann.|Ich bin mit reinem Gold bedeckt, sagte der Prinz, du mußt es Blatt für Blatt abnehmen und es meinen Armen geben; die Lebenden glauben immer, daß Gold sie glücklich machen kann.
maerchen_001_f000175|Blatt auf Blatt von dem reinen Gold pickte die Schwalbe ab, bis der glückliche Prinz ganz stumpf und grau aussah.|Blatt auf Blatt von dem reinen Gold pickte die Schwalbe ab, bis der glückliche Prinz ganz stumpf und grau aussah.
maerchen_001_f000176|Blatt auf Blatt von dem reinen Gold brachte sie den Armen, und die Gesichter der Kinder röteten sich, und sie lachten und spielten ihre Spiele in den Straßen.|Blatt auf Blatt von dem reinen Gold brachte sie den Armen, und die Gesichter der Kinder röteten sich, und sie lachten und spielten ihre Spiele in den Straßen.
maerchen_001_f000177|Jetzt haben wir Brot! riefen sie.|Jetzt haben wir Brot! riefen sie.
maerchen_001_f000178|Dann kam der Schnee, und nach dem Schnee kam der Frost.|Dann kam der Schnee, und nach dem Schnee kam der Frost.
maerchen_001_f000179|Die Straßen sahen aus, als seien sie aus Silber gemacht, so glänzten und gleißten sie; lange Eiszapfen hingen wie Kristalldolche von den Dachrinnen herab, alles ging in Pelzen, und die kleinen Knaben trugen rote Kappen und liefen Schlittschuh auf dem Eis.|Die Straßen sahen aus, als seien sie aus Silber gemacht, so glänzten und gleißten sie; lange Eiszapfen hingen wie Kristalldolche von den Dachrinnen herab, alles ging in Pelzen, und die kleinen Knaben trugen rote Kappen und liefen Schlittschuh auf dem Eis.
maerchen_001_f000180|Die arme, kleine Schwalbe wurde kälter und kälter, aber sie wollte den Prinzen nicht verlassen, sie liebte ihn zu sehr.|Die arme, kleine Schwalbe wurde kälter und kälter, aber sie wollte den Prinzen nicht verlassen, sie liebte ihn zu sehr.
maerchen_001_f000181|Sie pickte Krümel vor des Bäckers Türe auf, wenn der Bäcker nicht hinsah, und versuchte, sich warm zu halten, indem sie mit den Flügeln schlug.|Sie pickte Krümel vor des Bäckers Türe auf, wenn der Bäcker nicht hinsah, und versuchte, sich warm zu halten, indem sie mit den Flügeln schlug.
maerchen_001_f000182|Aber zuletzt wußte sie, daß sie sterben mußte.|Aber zuletzt wußte sie, daß sie sterben mußte.
maerchen_001_f000183|Sie hatte gerade die Kraft, noch einmal auf die Schulter des Prinzen zu fliegen.|Sie hatte gerade die Kraft, noch einmal auf die Schulter des Prinzen zu fliegen.
maerchen_001_f000184|Lebe wohl, lieber Prinz, flüsterte sie, darf ich deine Hand küssen?|Lebe wohl, lieber Prinz, flüsterte sie, darf ich deine Hand küssen?
maerchen_001_f000185|Ich freue mich, daß du endlich nach Ägypten gehst, kleine Schwalbe, sagte der Prinz, du hast dich viel zu lang hier aufgehalten; aber du mußt mich auf die Lippen küssen, denn ich liebe dich.|Ich freue mich, daß du endlich nach Ägypten gehst, kleine Schwalbe, sagte der Prinz, du hast dich viel zu lang hier aufgehalten; aber du mußt mich auf die Lippen küssen, denn ich liebe dich.
maerchen_001_f000186|Ich gehe nicht nach Ägypten, sagte die Schwalbe.|Ich gehe nicht nach Ägypten, sagte die Schwalbe.
maerchen_001_f000187|Ich gehe in das Haus des Todes.|Ich gehe in das Haus des Todes.
maerchen_001_f000188|Der Tod ist der Bruder des Schlafes, nicht wahr?|Der Tod ist der Bruder des Schlafes, nicht wahr?
maerchen_001_f000189|Und sie küßte den glücklichen Prinzen auf die Lippen und sank tot zu seinen Füßen hin.|Und sie küßte den glücklichen Prinzen auf die Lippen und sank tot zu seinen Füßen hin.
maerchen_001_f000190|In diesem Augenblick ertönte ein seltsames Krachen in der Statue, als sei darin etwas zerbrochen.|In diesem Augenblick ertönte ein seltsames Krachen in der Statue, als sei darin etwas zerbrochen.
maerchen_001_f000191|Das bleierne Herz war vollständig entzweigesprungen.|Das bleierne Herz war vollständig entzweigesprungen.
maerchen_001_f000192|Es herrschte aber auch wirklich ein grimmig starker Frost.|Es herrschte aber auch wirklich ein grimmig starker Frost.
maerchen_001_f000193|Früh am nächsten Morgen ging unten über den Platz der Bürgermeister in Gesellschaft der Stadträte.|Früh am nächsten Morgen ging unten über den Platz der Bürgermeister in Gesellschaft der Stadträte.
maerchen_001_f000194|Als sie an der Säule vorbeikamen, blickte er zur Statue empor: Lieber Himmel!|Als sie an der Säule vorbeikamen, blickte er zur Statue empor: Lieber Himmel!
maerchen_001_f000195|wie schäbig der glückliche Prinz aussieht! sagte er.|wie schäbig der glückliche Prinz aussieht! sagte er.
maerchen_001_f000196|Er sieht wirklich schäbig aus!|Er sieht wirklich schäbig aus!
maerchen_001_f000197|schrien die Stadträte, die immer mit dem Bürgermeister übereinstimmten; und sie stiegen hinauf, um ihn zu betrachten.|schrien die Stadträte, die immer mit dem Bürgermeister übereinstimmten; und sie stiegen hinauf, um ihn zu betrachten.
maerchen_001_f000198|Der Rubin ist aus seinem Schwert gefallen, die Augen sind fort, und er hat keine Vergoldung mehr, sagte der Bürgermeister; er ist wahrhaftig nicht viel mehr wert als ein Bettler!|Der Rubin ist aus seinem Schwert gefallen, die Augen sind fort, und er hat keine Vergoldung mehr, sagte der Bürgermeister; er ist wahrhaftig nicht viel mehr wert als ein Bettler!
maerchen_001_f000199|Nicht viel mehr wert als ein Bettler, sagten die Stadträte.|Nicht viel mehr wert als ein Bettler, sagten die Stadträte.
maerchen_001_f000200|Und hier liegt tatsächlich ein toter Vogel zu seinen Füßen!|Und hier liegt tatsächlich ein toter Vogel zu seinen Füßen!
maerchen_001_f000201|fuhr der Bürgermeister fort.|fuhr der Bürgermeister fort.
maerchen_001_f000202|Wir müssen wirklich eine Verordnung erlassen, daß Vögeln nicht erlaubt ist, hier zu sterben.|Wir müssen wirklich eine Verordnung erlassen, daß Vögeln nicht erlaubt ist, hier zu sterben.
maerchen_001_f000203|Und der Stadtschreiber notierte sich die Anregung.|Und der Stadtschreiber notierte sich die Anregung.
maerchen_001_f000204|So rissen sie denn die Statue des glücklichen Prinzen herab.|So rissen sie denn die Statue des glücklichen Prinzen herab.
maerchen_001_f000205|Da er nicht mehr schön ist, ist er nicht mehr nützlich, sagte der Professor der schönen Künste an der Universität.|Da er nicht mehr schön ist, ist er nicht mehr nützlich, sagte der Professor der schönen Künste an der Universität.
maerchen_001_f000206|Dann schmolzen sie die Statue in einem Schmelzofen, und der Bürgermeister veranstaltete eine Ratssitzung, um zu entscheiden, was mit dem Metall geschehen sollte.|Dann schmolzen sie die Statue in einem Schmelzofen, und der Bürgermeister veranstaltete eine Ratssitzung, um zu entscheiden, was mit dem Metall geschehen sollte.
maerchen_001_f000207|Natürlich müssen wir eine andere Statue haben, sagte er, und es soll eine Statue von mir sein.|Natürlich müssen wir eine andere Statue haben, sagte er, und es soll eine Statue von mir sein.
maerchen_001_f000208|Von mir, sagte jeder der Stadträte, und sie zankten sich.|Von mir, sagte jeder der Stadträte, und sie zankten sich.
maerchen_001_f000209|Als ich das letztemal von ihnen hörte, zankten sie sich noch immer.|Als ich das letztemal von ihnen hörte, zankten sie sich noch immer.
maerchen_001_f000210|Was für eine merkwürdige Sache!|Was für eine merkwürdige Sache!
maerchen_001_f000211|sagte der Werkmeister in der Gießerei.|sagte der Werkmeister in der Gießerei.
maerchen_001_f000212|Dieses zerbrochene Bleiherz will in dem Ofen nicht schmelzen.|Dieses zerbrochene Bleiherz will in dem Ofen nicht schmelzen.
maerchen_001_f000213|Wir müssen es wegwerfen.|Wir müssen es wegwerfen.
maerchen_001_f000214|So warfen sie es auf einen Kehrichthaufen, wo auch schon die tote Schwalbe lag.|So warfen sie es auf einen Kehrichthaufen, wo auch schon die tote Schwalbe lag.
maerchen_001_f000215|Bringe mir die beiden kostbarsten Dinge, die es in der Stadt gibt, sagte Gott zu einem seiner Engel, und der Engel brachte ihm das bleierne Herz und den toten Vogel.|Bringe mir die beiden kostbarsten Dinge, die es in der Stadt gibt, sagte Gott zu einem seiner Engel, und der Engel brachte ihm das bleierne Herz und den toten Vogel.
