koenigsgaukler_1_f000001|Die Geburt Mantaos in der Lotosblume|Die Geburt Mantaos in der Lotosblume
koenigsgaukler_6_f000022|Der Erhabene aber segnete Mantao, den Königsgaukler, um die verminderten Tränen und den kleinen Affen um ein wiedererwecktes Lachen.|Der Erhabene aber segnete Mantao, den Königsgaukler, um die verminderten Tränen und den kleinen Affen um ein wiedererwecktes Lachen.
koenigsgaukler_6_f000023|Denn es war beides eine göttliche Aufgabe.|Denn es war beides eine göttliche Aufgabe.
koenigsgaukler_6_f000024|Die Häscher der Prinzessin Amaranth aber durchzogen häufig die Straßen, quälten und peinigten die Menschen und drohten ihnen, daß sie ja nichts verlauten lassen sollten von ihrer Stadt und ihren erloschenen Lampen|Die Häscher der Prinzessin Amaranth aber durchzogen häufig die Straßen, quälten und peinigten die Menschen und drohten ihnen, daß sie ja nichts verlauten lassen sollten von ihrer Stadt und ihren erloschenen Lampen
koenigsgaukler_6_f000025|daß ja keine Klagen und keine Tränen in die Stadt der bunten Lampen hinüberdrängen und zum Palast der Prinzessin Amaranth.|daß ja keine Klagen und keine Tränen in die Stadt der bunten Lampen hinüberdrängen und zum Palast der Prinzessin Amaranth.
koenigsgaukler_6_f000026|Wenn sie aber jemand fanden, von dem sie glaubten, daß er die Stadt der erloschenen Lampen verraten und die Kunde von ihr hinaustragen könne, dann banden sie ihn und warfen ihn ins tiefste Verließ|Wenn sie aber jemand fanden, von dem sie glaubten, daß er die Stadt der erloschenen Lampen verraten und die Kunde von ihr hinaustragen könne, dann banden sie ihn und warfen ihn ins tiefste Verließ
koenigsgaukler_6_f000027|aus dem keine Tränen und keine Klagen mehr den Weg finden konnten.|aus dem keine Tränen und keine Klagen mehr den Weg finden konnten.
koenigsgaukler_6_f000028|Denn es war ein Geheimnis um die Stadt der erloschenen Lampen und niemand sollte darüber reden.|Denn es war ein Geheimnis um die Stadt der erloschenen Lampen und niemand sollte darüber reden.
koenigsgaukler_6_f000029|Eines Tages aber geschah es, daß die Häscher wieder jagten und sie hatten eine junge Frau ergriffen, die mit ihrer erloschenen Lampe durch die Gassen irrte, und wollten sie fesseln vor der alten Tempelhalle, in der Mantao mit seinem Affen lebte.|Eines Tages aber geschah es, daß die Häscher wieder jagten und sie hatten eine junge Frau ergriffen, die mit ihrer erloschenen Lampe durch die Gassen irrte, und wollten sie fesseln vor der alten Tempelhalle, in der Mantao mit seinem Affen lebte.
koenigsgaukler_6_f000030|Mantao trat herzu und hielt seinen Schild über sie und die Häscher flohen.|Mantao trat herzu und hielt seinen Schild über sie und die Häscher flohen.
koenigsgaukler_6_f000031|Da schaute die Frau mit der erloschenen Lampe Mantao ins Gesicht und der Königsgaukler erkannte sie.|Da schaute die Frau mit der erloschenen Lampe Mantao ins Gesicht und der Königsgaukler erkannte sie.
koenigsgaukler_6_f000032|Nun ist deine Lampe auch erloschen, Myramar, meine kleine Tänzerin, sagte er.|Nun ist deine Lampe auch erloschen, Myramar, meine kleine Tänzerin, sagte er.
koenigsgaukler_6_f000033|Meine Lampe ist erloschen, als du aus der Stadt der bunten Lampen hinweggingst, sagte die Tänzerin und neigte sich vor ihm.|Meine Lampe ist erloschen, als du aus der Stadt der bunten Lampen hinweggingst, sagte die Tänzerin und neigte sich vor ihm.
koenigsgaukler_6_f000034|Der kleine Affe aber rieb sich die Hände und freute sich sehr, denn er hatte es nicht vergessen, daß er vom Tische der Tänzerin gegessen und auf ihren seidenen Kissen geschlafen hatte.|Der kleine Affe aber rieb sich die Hände und freute sich sehr, denn er hatte es nicht vergessen, daß er vom Tische der Tänzerin gegessen und auf ihren seidenen Kissen geschlafen hatte.
koenigsgaukler_6_f000035|Sagte ich dir nicht, daß du weinen lernen würdest und daß deine Lampe erlöschen würde? fragte Mantao.|Sagte ich dir nicht, daß du weinen lernen würdest und daß deine Lampe erlöschen würde? fragte Mantao.
koenigsgaukler_6_f000036|Nun komm zu mir in meine Herberge, wie ich einmal zu dir in deine Herberge kam.|Nun komm zu mir in meine Herberge, wie ich einmal zu dir in deine Herberge kam.
koenigsgaukler_6_f000037|Ich will dir dienen, sagte die Tänzerin Myramar und ihre Augen leuchteten.|Ich will dir dienen, sagte die Tänzerin Myramar und ihre Augen leuchteten.
koenigsgaukler_6_f000038|Mir kann keiner und keine dienen, sagte Mantao, siehe, ich bin ein Schildträger Brahmas und ich darf keinem und keiner gehören.|Mir kann keiner und keine dienen, sagte Mantao, siehe, ich bin ein Schildträger Brahmas und ich darf keinem und keiner gehören.
koenigsgaukler_6_f000039|Diene nicht mir, aber diene mit mir meiner Aufgabe in der Stadt der erloschenen Lampen.|Diene nicht mir, aber diene mit mir meiner Aufgabe in der Stadt der erloschenen Lampen.
koenigsgaukler_6_f000040|Da reichte ihm die Tänzerin Myramar beide Hände.|Da reichte ihm die Tänzerin Myramar beide Hände.
koenigsgaukler_6_f000041|Mantao, der Königsgaukler aber küßte sie auf die Stirne und führte sie über die Schwelle seines verfallenen Tempels.|Mantao, der Königsgaukler aber küßte sie auf die Stirne und führte sie über die Schwelle seines verfallenen Tempels.
koenigsgaukler_6_f000042|Seit jener Stunde kamen die Häscher der Prinzessin Amaranth nicht mehr in die Stadt der erloschenen Lampen.|Seit jener Stunde kamen die Häscher der Prinzessin Amaranth nicht mehr in die Stadt der erloschenen Lampen.
koenigsgaukler_6_f000043|Myramar, die Tänzerin, folgte von nun an Mantao, dem Königsgaukler auf allen seinen Wegen zu Menschen und Tieren und abends, wenn die Schatten der Dämmerung die Halle des verfallenen Tempels füllten|Myramar, die Tänzerin, folgte von nun an Mantao, dem Königsgaukler auf allen seinen Wegen zu Menschen und Tieren und abends, wenn die Schatten der Dämmerung die Halle des verfallenen Tempels füllten
koenigsgaukler_6_f000044|kauerte sie zu seinen Füßen und hielt den kleinen Affen auf ihrem Schoß.|kauerte sie zu seinen Füßen und hielt den kleinen Affen auf ihrem Schoß.
koenigsgaukler_6_f000045|Sie redeten im Dunkel miteinander, denn es brannte kein Licht in der Stadt der erloschenen Lampen.|Sie redeten im Dunkel miteinander, denn es brannte kein Licht in der Stadt der erloschenen Lampen.
koenigsgaukler_6_f000046|Mantao, mein Liebster, Mantao, mein Königsgaukler, sagte die Tänzerin, werden wir immer im Dunkeln miteinander reden?|Mantao, mein Liebster, Mantao, mein Königsgaukler, sagte die Tänzerin, werden wir immer im Dunkeln miteinander reden?
koenigsgaukler_6_f000047|Werden die Lampen niemals wieder brennen in dieser Stadt der erloschenen Lampen?|Werden die Lampen niemals wieder brennen in dieser Stadt der erloschenen Lampen?
koenigsgaukler_6_f000048|Siehe, Myramar, meine kleine Tänzerin, sagte Mantao, dies ist eine Frage, die du nicht mich, sondern deinen Gott fragen mußt.|Siehe, Myramar, meine kleine Tänzerin, sagte Mantao, dies ist eine Frage, die du nicht mich, sondern deinen Gott fragen mußt.
koenigsgaukler_6_f000049|Brahmas Bildnis steht vor dir. Frage es.|Brahmas Bildnis steht vor dir. Frage es.
koenigsgaukler_6_f000050|Darf eine Tänzerin einen Gott fragen? erwiderte Myramar.|Darf eine Tänzerin einen Gott fragen? erwiderte Myramar.
koenigsgaukler_6_f000051|Es ist gleich, ob du eine Tänzerin oder eine Heilige bist, wenn du deinen Gott fragen willst, sagte Mantao.|Es ist gleich, ob du eine Tänzerin oder eine Heilige bist, wenn du deinen Gott fragen willst, sagte Mantao.
koenigsgaukler_6_f000052|Jeder darf ihn fragen, dessen Lampe erloschen ist.|Jeder darf ihn fragen, dessen Lampe erloschen ist.
koenigsgaukler_6_f000053|Ich aber will gehen und dich allein lassen in dieser Nacht, in der du deinen Gott fragen willst.|Ich aber will gehen und dich allein lassen in dieser Nacht, in der du deinen Gott fragen willst.
koenigsgaukler_6_f000054|Und Mantao, der Königsgaukler, nahm den kleinen Affen auf den Arm und ging von ihr und ließ sie allein.|Und Mantao, der Königsgaukler, nahm den kleinen Affen auf den Arm und ging von ihr und ließ sie allein.
koenigsgaukler_6_f000055|Die Tänzerin aber kniete nieder vor Brahmas Bildnis und fragte ihren Gott.|Die Tänzerin aber kniete nieder vor Brahmas Bildnis und fragte ihren Gott.
koenigsgaukler_6_f000056|Stunde um Stunde verrann, doch es kam keine Antwort.|Stunde um Stunde verrann, doch es kam keine Antwort.
koenigsgaukler_6_f000057|Die Nacht wurde dunkler und immer dunkler und ihre grauenhafte Schwärze verschlang das verblichene Gold auf dem göttlichen Bild und die Tänzerin Myramar sah nichts als Finsternis um sich herum.|Die Nacht wurde dunkler und immer dunkler und ihre grauenhafte Schwärze verschlang das verblichene Gold auf dem göttlichen Bild und die Tänzerin Myramar sah nichts als Finsternis um sich herum.
koenigsgaukler_6_f000058|Stunde um Stunde verrann in Nacht und Dunkel.|Stunde um Stunde verrann in Nacht und Dunkel.
koenigsgaukler_6_f000059|Endlich aber fiel das Mondlicht in die verfallene Tempelhalle und enthüllte der Tänzerin ihren Gott.|Endlich aber fiel das Mondlicht in die verfallene Tempelhalle und enthüllte der Tänzerin ihren Gott.
koenigsgaukler_6_f000060|Da schaute sie auf und sah, daß die Augen in Brahmas Bildnis zu leben begannen und daß seine Lippen lächelten.|Da schaute sie auf und sah, daß die Augen in Brahmas Bildnis zu leben begannen und daß seine Lippen lächelten.
koenigsgaukler_6_f000061|Viele Jahre waren vergangen und Mantao war alt und müde geworden.|Viele Jahre waren vergangen und Mantao war alt und müde geworden.
koenigsgaukler_6_f000062|Auch der kleine Affe spielte nicht mehr wie sonst, durch sein braunes Fell zog sich das Silber des Alters und seine Augen hatten einen matten Schein.|Auch der kleine Affe spielte nicht mehr wie sonst, durch sein braunes Fell zog sich das Silber des Alters und seine Augen hatten einen matten Schein.
koenigsgaukler_6_f000063|Da raschelte es in der Luft und vor ihnen stand der Kleine mit den Elefantenohren.|Da raschelte es in der Luft und vor ihnen stand der Kleine mit den Elefantenohren.
koenigsgaukler_6_f000064|Der Erhabene segne Mammamutra und seine Kinder und Kindeskinder, sagte der Kleine, Mantao, mein Königsgaukler, du bist alt und müde geworden und der Affe neben dir sehnt sich nach dem Paradies der Affen in Brahmas Schoß.|Der Erhabene segne Mammamutra und seine Kinder und Kindeskinder, sagte der Kleine, Mantao, mein Königsgaukler, du bist alt und müde geworden und der Affe neben dir sehnt sich nach dem Paradies der Affen in Brahmas Schoß.
koenigsgaukler_6_f000065|Siehe, ich klappte meine gewaltigen Elefantenohren auf und ich hörte, wie die Fäden deiner Lotosblume sich sanft und leise zurückspannen von dieser Erde.|Siehe, ich klappte meine gewaltigen Elefantenohren auf und ich hörte, wie die Fäden deiner Lotosblume sich sanft und leise zurückspannen von dieser Erde.
koenigsgaukler_6_f000066|Der Teppich deines Lebens ist ausgewirkt, gehe nun heimwärts auf deinen heiligen Berg, von dem du gekommen bist.|Der Teppich deines Lebens ist ausgewirkt, gehe nun heimwärts auf deinen heiligen Berg, von dem du gekommen bist.
koenigsgaukler_6_f000067|Da atmete Mantao tief auf und dankte dem Kleinen mit den Elefantenohren für seine Botschaft.|Da atmete Mantao tief auf und dankte dem Kleinen mit den Elefantenohren für seine Botschaft.
koenigsgaukler_6_f000068|Ich will noch eine Nacht in der Stadt der erloschenen Lampen bleiben und Brahma für sie bitten, sagte Mantao, morgen aber will ich mich aufmachen und meinen heiligen Berg suchen.|Ich will noch eine Nacht in der Stadt der erloschenen Lampen bleiben und Brahma für sie bitten, sagte Mantao, morgen aber will ich mich aufmachen und meinen heiligen Berg suchen.
koenigsgaukler_6_f000069|Siehe, ich hörte mit meinen Elefantenohren, sagte der Kleine, daß du durch eine Wüste hindurchschreiten mußt, ehe du zu deinem heiligen Berge gelangst.|Siehe, ich hörte mit meinen Elefantenohren, sagte der Kleine, daß du durch eine Wüste hindurchschreiten mußt, ehe du zu deinem heiligen Berge gelangst.
koenigsgaukler_6_f000070|Häßliche Dämonen hausen darin, höchst unangenehme und unerfreuliche Leute, und ich möchte nicht mit ihnen zu tun haben.|Häßliche Dämonen hausen darin, höchst unangenehme und unerfreuliche Leute, und ich möchte nicht mit ihnen zu tun haben.
koenigsgaukler_6_f000071|Aber du bist ja stark, Mantao, mein Königsgaukler.|Aber du bist ja stark, Mantao, mein Königsgaukler.
koenigsgaukler_6_f000072|Brahma sei mit dir und mit deinem Affen, wenn du die letzten Fäden am Teppich deines Lebens wirkst.|Brahma sei mit dir und mit deinem Affen, wenn du die letzten Fäden am Teppich deines Lebens wirkst.
koenigsgaukler_6_f000073|Ich aber will mich in meine Elefantenohren hüllen und schlafen.|Ich aber will mich in meine Elefantenohren hüllen und schlafen.
koenigsgaukler_6_f000074|Weich und warm sind diese Ohren – der Erhabene segne Mammamutra und seine Kinder und Kindeskinder, seine entferntesten Verwandten und die kleinsten Säuglinge seiner ganzen Elefantensippe!|Weich und warm sind diese Ohren - der Erhabene segne Mammamutra und seine Kinder und Kindeskinder, seine entferntesten Verwandten und die kleinsten Säuglinge seiner ganzen Elefantensippe!
koenigsgaukler_6_f000075|Mit diesen Worten verschwand der Kleine mit den Elefantenohren raschelnd in der Luft.|Mit diesen Worten verschwand der Kleine mit den Elefantenohren raschelnd in der Luft.
koenigsgaukler_6_f000076|Am anderen Morgen aber nahm Mantao, der Königsgaukler, Abschied von der Tänzerin Myramar.|Am anderen Morgen aber nahm Mantao, der Königsgaukler, Abschied von der Tänzerin Myramar.
koenigsgaukler_6_f000077|Siehe, ich muß Abschied von dir nehmen, sagte er, und es ist ein Abschied für dieses Leben.|Siehe, ich muß Abschied von dir nehmen, sagte er, und es ist ein Abschied für dieses Leben.
koenigsgaukler_6_f000078|Denn ich muß auf meinen heiligen Berg wandern und die letzten Fäden am Teppich meines Lebens wirken.|Denn ich muß auf meinen heiligen Berg wandern und die letzten Fäden am Teppich meines Lebens wirken.
koenigsgaukler_6_f000079|Darf ich nicht mit dir gehen?|Darf ich nicht mit dir gehen?
koenigsgaukler_6_f000080|fragte die Tänzerin.|fragte die Tänzerin.
koenigsgaukler_6_f000081|Deine Zeit ist noch nicht gekommen, sagte Mantao, siehe, du mußt warten, bis deine Lampe wieder brennt und mußt den vielen anderen in dieser Stadt von der Flamme deiner Lampe geben.|Deine Zeit ist noch nicht gekommen, sagte Mantao, siehe, du mußt warten, bis deine Lampe wieder brennt und mußt den vielen anderen in dieser Stadt von der Flamme deiner Lampe geben.
koenigsgaukler_6_f000082|Mich aber und meinen kleinen Affen wirst du einmal wiedersehen im Königreich der Ferne.|Mich aber und meinen kleinen Affen wirst du einmal wiedersehen im Königreich der Ferne.
koenigsgaukler_6_f000083|Der Erhabene segne dich, Myramar, meine kleine Tänzerin und meine große Heilige.|Der Erhabene segne dich, Myramar, meine kleine Tänzerin und meine große Heilige.
koenigsgaukler_6_f000084|Das war das erste Mal, daß Mantao sie so genannt hatte, und er neigte sich zu ihr und küßte sie viele Male zum Abschied.|Das war das erste Mal, daß Mantao sie so genannt hatte, und er neigte sich zu ihr und küßte sie viele Male zum Abschied.
koenigsgaukler_6_f000085|Dann nahm er Schild und Schwert, hob den Affen auf die Arme und verließ die Stadt der erloschenen Lampen.|Dann nahm er Schild und Schwert, hob den Affen auf die Arme und verließ die Stadt der erloschenen Lampen.
koenigsgaukler_6_f000086|Von einem hohen Hügel vor der Stadt hielt er noch einmal seinen Schild über sie.|Von einem hohen Hügel vor der Stadt hielt er noch einmal seinen Schild über sie.
koenigsgaukler_6_f000087|Dann wandte er sich und verließ Indien, das Land der wirren Wunder, so wie er es einstmals betreten hatte: mit einem Schild und einem Schwert, mit einer unsichtbaren Krone und mit einem kleinen Affen auf dem Arm – und ging in die Wüste.|Dann wandte er sich und verließ Indien, das Land der wirren Wunder, so wie er es einstmals betreten hatte: mit einem Schild und einem Schwert, mit einer unsichtbaren Krone und mit einem kleinen Affen auf dem Arm - und ging in die Wüste.
koenigsgaukler_6_f000088|Die Tänzerin aber lag auf den Knieen vor Brahmas Bildnis in namenloser Sehnsucht und weinte jammervoll.|Die Tänzerin aber lag auf den Knieen vor Brahmas Bildnis in namenloser Sehnsucht und weinte jammervoll.
koenigsgaukler_6_f000089|Da lohte eine kleine, klare Flamme auf in der erloschenen Lampe der Tänzerin Myramar.|Da lohte eine kleine, klare Flamme auf in der erloschenen Lampe der Tänzerin Myramar.
koenigsgaukler_7_f000001|Königreich der Ferne.|Königreich der Ferne.
koenigsgaukler_7_f000002|Als Mantao, der Königsgaukler, in die Wüste gekommen war, da heulte es grauenvoll in der Luft und drei scheußliche Dämonen tauchten vor ihm auf.|Als Mantao, der Königsgaukler, in die Wüste gekommen war, da heulte es grauenvoll in der Luft und drei scheußliche Dämonen tauchten vor ihm auf.
koenigsgaukler_7_f000003|Der erste hatte einen Riesenkopf ohne Gliedmaßen und glotzte mit hundert gierigen Augen nach allen Seiten.|Der erste hatte einen Riesenkopf ohne Gliedmaßen und glotzte mit hundert gierigen Augen nach allen Seiten.
koenigsgaukler_7_f000004|Der zweite hatte hundert Füße und hastete mit gräßlicher Geschwindigkeit über den Sand, der dritte aber hatte hundert Hände, die in die leere Luft griffen.|Der zweite hatte hundert Füße und hastete mit gräßlicher Geschwindigkeit über den Sand, der dritte aber hatte hundert Hände, die in die leere Luft griffen.
koenigsgaukler_7_f000005|Folge mir, sagte der erste, dann siehst du alles, was im Himmel und auf der Erde ist.|Folge mir, sagte der erste, dann siehst du alles, was im Himmel und auf der Erde ist.
koenigsgaukler_7_f000006|Hundert äußere Augen sehen nicht das, was das innere Auge sieht, sagte Mantao.|Hundert äußere Augen sehen nicht das, was das innere Auge sieht, sagte Mantao.
koenigsgaukler_7_f000007|Gehe mit mir, sagte der zweite, dann erreichst du alles, was deine Augen von ferne schauen.|Gehe mit mir, sagte der zweite, dann erreichst du alles, was deine Augen von ferne schauen.
koenigsgaukler_7_f000008|Alle Füße wandern nur dorthin, wohin die Fäden der Lotosblume sie ziehen, sagte Mantao.|Alle Füße wandern nur dorthin, wohin die Fäden der Lotosblume sie ziehen, sagte Mantao.
koenigsgaukler_7_f000009|Gib mir die Hand, sagte der dritte, dann hast du hundert Hände und kannst alles greifen, wonach du begehrst.|Gib mir die Hand, sagte der dritte, dann hast du hundert Hände und kannst alles greifen, wonach du begehrst.
koenigsgaukler_7_f000010|Ich begehre nichts, als eine unsichtbare Krone, sagte Mantao.|Ich begehre nichts, als eine unsichtbare Krone, sagte Mantao.
koenigsgaukler_7_f000011|Da erkannten die Dämonen, daß es Mantao, der Königsgaukler, war und daß er die Geheimnisse des Lebens in sich trug.|Da erkannten die Dämonen, daß es Mantao, der Königsgaukler, war und daß er die Geheimnisse des Lebens in sich trug.
koenigsgaukler_7_f000012|Und sie heulten vor Wut und vergruben sich in den Sand ihrer Wüste.|Und sie heulten vor Wut und vergruben sich in den Sand ihrer Wüste.
koenigsgaukler_7_f000013|Nun war Mantao, der Königsgaukler allein in der grenzenlosen Wüste mit seinem kleinen Affen und er kannte die Grenzen dieser Wüste nicht.|Nun war Mantao, der Königsgaukler allein in der grenzenlosen Wüste mit seinem kleinen Affen und er kannte die Grenzen dieser Wüste nicht.
koenigsgaukler_7_f000014|Er wußte nicht, welchen Weg er nun gehen solle, eine unnennbare Einsamkeit war um ihn und er senkte ergeben seine Waffen.|Er wußte nicht, welchen Weg er nun gehen solle, eine unnennbare Einsamkeit war um ihn und er senkte ergeben seine Waffen.
koenigsgaukler_7_f000015|Als er aber aufsah, um einen Weg zu suchen, erblickte er vor sich einen Engel – und zum ersten Male auf dieser Erde schaute Mantao, der Königsgaukler, seinen Engel von Angesicht zu Angesicht.|Als er aber aufsah, um einen Weg zu suchen, erblickte er vor sich einen Engel - und zum ersten Male auf dieser Erde schaute Mantao, der Königsgaukler, seinen Engel von Angesicht zu Angesicht.
koenigsgaukler_7_f000016|Ruhe dich aus, Mantao, mein Königsgaukler, sagte der Engel, du bist müde von einer langen Wanderung.|Ruhe dich aus, Mantao, mein Königsgaukler, sagte der Engel, du bist müde von einer langen Wanderung.
koenigsgaukler_7_f000017|Morgen ist dein letzter Tag auf dieser Erde und du mußt deinen heiligen Berg suchen.|Morgen ist dein letzter Tag auf dieser Erde und du mußt deinen heiligen Berg suchen.
koenigsgaukler_7_f000018|Wie werde ich den Weg finden? fragte Mantao.|Wie werde ich den Weg finden? fragte Mantao.
koenigsgaukler_7_f000019|Ich werde dich führen, sagte der Engel.|Ich werde dich führen, sagte der Engel.
koenigsgaukler_7_f000020|Da legte sich Mantao, der Königsgaukler, auf den Sand der Wüste und schlief ein.|Da legte sich Mantao, der Königsgaukler, auf den Sand der Wüste und schlief ein.
koenigsgaukler_7_f000021|Sein Engel stand neben ihm und hielt die Wacht bei ihm und bei dem kleinen Affen.|Sein Engel stand neben ihm und hielt die Wacht bei ihm und bei dem kleinen Affen.
koenigsgaukler_7_f000022|Aber im Traumbild dieser letzten Erdennacht schaute Mantao, der Königsgaukler, nach langen Jahren wieder zum ersten Mal die Königin der Ferne.|Aber im Traumbild dieser letzten Erdennacht schaute Mantao, der Königsgaukler, nach langen Jahren wieder zum ersten Mal die Königin der Ferne.
koenigsgaukler_7_f000023|Am anderen Tage führte der Engel Mantao und seinen Affen auf die Hochebene von Tibet und es war Abend geworden, als sie oben angelangt waren.|Am anderen Tage führte der Engel Mantao und seinen Affen auf die Hochebene von Tibet und es war Abend geworden, als sie oben angelangt waren.
koenigsgaukler_7_f000024|Siehe, es ist Abend geworden, Mantao, mein Königsgaukler, sagte der Engel, und du stehst wieder vor der Hütte deiner Kindheit.|Siehe, es ist Abend geworden, Mantao, mein Königsgaukler, sagte der Engel, und du stehst wieder vor der Hütte deiner Kindheit.
koenigsgaukler_7_f000025|Sie ist zusammengesunken und verfallen im Wandel der Jahre, aber ich will gehen und sie dir oben über den Sternen wieder aufbauen.|Sie ist zusammengesunken und verfallen im Wandel der Jahre, aber ich will gehen und sie dir oben über den Sternen wieder aufbauen.
koenigsgaukler_7_f000026|Damit schied der Engel von ihm.|Damit schied der Engel von ihm.
koenigsgaukler_7_f000027|Mantao aber neigte sich zur Erde Tibets und trank aus dem klaren Bergquell, aus dem er als Kind getrunken hatte, und der Affe mit ihm.|Mantao aber neigte sich zur Erde Tibets und trank aus dem klaren Bergquell, aus dem er als Kind getrunken hatte, und der Affe mit ihm.
koenigsgaukler_7_f000028|Die Hütte seiner Kindheit war verfallen, aber der Quell seiner Kindheit rann so klar, so rein und unwandelbar wie einstmals von den Bergen Tibets.|Die Hütte seiner Kindheit war verfallen, aber der Quell seiner Kindheit rann so klar, so rein und unwandelbar wie einstmals von den Bergen Tibets.
koenigsgaukler_7_f000029|Als Mantao sich satt getrunken hatte an der Quelle seiner Kindheit, da wandte er sich von dieser Erde und wanderte seinen heiligen Berg Lischanna hinauf, den gleichen Weg,|Als Mantao sich satt getrunken hatte an der Quelle seiner Kindheit, da wandte er sich von dieser Erde und wanderte seinen heiligen Berg Lischanna hinauf, den gleichen Weg,
koenigsgaukler_7_f000030|auf dem er einmal dem alten Mann mit der sonderbaren spitzen Mütze das letzte Geleit gegeben hatte.|auf dem er einmal dem alten Mann mit der sonderbaren spitzen Mütze das letzte Geleit gegeben hatte.
koenigsgaukler_7_f000031|Er stieg höher und immer höher, auf dem Gipfel des heiligen Berges aber lag Eis und ewiger Schnee und alles Land unter ihm war verhüllt im Nebel.|Er stieg höher und immer höher, auf dem Gipfel des heiligen Berges aber lag Eis und ewiger Schnee und alles Land unter ihm war verhüllt im Nebel.
koenigsgaukler_7_f000032|Da fühlte Mantao, wie ihn seine Kräfte verließen, und der kleine Affe in seinem Arm fror und jammerte leise.|Da fühlte Mantao, wie ihn seine Kräfte verließen, und der kleine Affe in seinem Arm fror und jammerte leise.
koenigsgaukler_7_f000033|Nun wollen wir zusammen sterben, mein kleiner Bruder, sagte Mantao, wie wir zusammen gelebt haben und zusammen gewandert sind auf dieser Erde.|Nun wollen wir zusammen sterben, mein kleiner Bruder, sagte Mantao, wie wir zusammen gelebt haben und zusammen gewandert sind auf dieser Erde.
koenigsgaukler_7_f000034|Sterben ist ein Wort der Täler, ihr aber seid in den Bergen, sagte eine Stimme neben ihm.|Sterben ist ein Wort der Täler, ihr aber seid in den Bergen, sagte eine Stimme neben ihm.
koenigsgaukler_7_f000035|Da raffte sich Mantao auf und hielt zum letzten Male seinen Schild über dem kleinen Affen.|Da raffte sich Mantao auf und hielt zum letzten Male seinen Schild über dem kleinen Affen.
koenigsgaukler_7_f000036|Aus Schnee und Eis aber blühte eine große Lotosblume auf und umfing mit ihren weichen Blütenblättern Mantao, den Königsgaukler, und seinen kleinen Affen.|Aus Schnee und Eis aber blühte eine große Lotosblume auf und umfing mit ihren weichen Blütenblättern Mantao, den Königsgaukler, und seinen kleinen Affen.
koenigsgaukler_7_f000037|Schmerzlos und lautlos sanken ihre irdischen Körper in den Kelch der Blume und wandelten sich in ihre Wesenheit.|Schmerzlos und lautlos sanken ihre irdischen Körper in den Kelch der Blume und wandelten sich in ihre Wesenheit.
koenigsgaukler_7_f000038|In neuen leuchtenden Leibern schritten die beiden über den Sternenteppich der Nacht und ihre inneren Augen schauten hoch über allem, was lebt und atmet, die topasenen Tore und Türme der ewigen Stadt des Erhabenen.|In neuen leuchtenden Leibern schritten die beiden über den Sternenteppich der Nacht und ihre inneren Augen schauten hoch über allem, was lebt und atmet, die topasenen Tore und Türme der ewigen Stadt des Erhabenen.
koenigsgaukler_7_f000039|Noch einmal blickte Mantao auf die verlassene Erde zurück.|Noch einmal blickte Mantao auf die verlassene Erde zurück.
koenigsgaukler_7_f000040|Da sah er tief unter sich die Stadt der erloschenen Lampen.|Da sah er tief unter sich die Stadt der erloschenen Lampen.
koenigsgaukler_7_f000041|Er hörte, wie die Menschen unten seinen Namen nannten und er sah kleine, klare Flammen aufleuchten in ihren erloschenen Lampen.|Er hörte, wie die Menschen unten seinen Namen nannten und er sah kleine, klare Flammen aufleuchten in ihren erloschenen Lampen.
koenigsgaukler_7_f000042|Am schönsten aber brannte die Lampe der Tänzerin Myramar und einer nach dem anderen entzündete seine erloschene Lampe an ihrer Lampe vor dem Bildnis Brahmas.|Am schönsten aber brannte die Lampe der Tänzerin Myramar und einer nach dem anderen entzündete seine erloschene Lampe an ihrer Lampe vor dem Bildnis Brahmas.
koenigsgaukler_7_f000043|Auch die Tiere hatten kleine Lichtlein in sich und es war, als trügen sie bläuliche Leuchtkäfer in Fell und Gefieder.|Auch die Tiere hatten kleine Lichtlein in sich und es war, als trügen sie bläuliche Leuchtkäfer in Fell und Gefieder.
koenigsgaukler_7_f000044|Da kniete Mantao, der Königsgaukler, nieder auf dem Sternenteppich der Nacht und betete den Erhabenen an.|Da kniete Mantao, der Königsgaukler, nieder auf dem Sternenteppich der Nacht und betete den Erhabenen an.
koenigsgaukler_7_f000045|Zwischen dem Sternenteppich der Nacht und der ewigen Stadt des Erhabenen aber tauchten leuchtende Ufer auf – das war das Königreich der Ferne.|Zwischen dem Sternenteppich der Nacht und der ewigen Stadt des Erhabenen aber tauchten leuchtende Ufer auf - das war das Königreich der Ferne.
koenigsgaukler_7_f000046|An seinem Eingang stand der Engel und baute Mantao die Hütte seiner Kindheit wieder auf und ein alter Mann mit einer sonderbaren spitzen Mütze half ihm dabei.|An seinem Eingang stand der Engel und baute Mantao die Hütte seiner Kindheit wieder auf und ein alter Mann mit einer sonderbaren spitzen Mütze half ihm dabei.
koenigsgaukler_7_f000047|Eine Menschenmutter, die einst auf der Erde eine Paria war und mit der niemand Erbarmen hatte, als die Pest, wartete auf ihr Kind – und eine Affenmutter winkte von der höchsten Spitze einer Palme.|Eine Menschenmutter, die einst auf der Erde eine Paria war und mit der niemand Erbarmen hatte, als die Pest, wartete auf ihr Kind - und eine Affenmutter winkte von der höchsten Spitze einer Palme.
