weihnachtsabend_01_f000001|Marley war tot, damit wollen wir anfangen. Ein Zweifel darüber kann nicht stattfinden.|Marley war tot, damit wollen wir anfangen. Ein Zweifel darüber kann nicht stattfinden.
weihnachtsabend_01_f000114|Allerdings. Aber doch, antwortete der Herr, wünschte ich, sie brauchten weniger in Anspruch genommen zu werden.|Allerdings. Aber doch, antwortete der Herr, wünschte ich, sie brauchten weniger in Anspruch genommen zu werden.
weihnachtsabend_01_f000115|Tretmühle und Armengesetz sind in voller Kraft, sagte Scrooge.|Tretmühle und Armengesetz sind in voller Kraft, sagte Scrooge.
weihnachtsabend_01_f000116|Beide haben alle Hände voll zu thun.|Beide haben alle Hände voll zu thun.
weihnachtsabend_01_f000117|So? Nach dem, was Sie zuerst sagten, fürchtete ich, es halte sie etwas in ihrem nützlichen Laufe auf, sagte Scrooge. Ich freue mich, das zu hören.|So? Nach dem, was Sie zuerst sagten, fürchtete ich, es halte sie etwas in ihrem nützlichen Laufe auf, sagte Scrooge. Ich freue mich, das zu hören.
weihnachtsabend_01_f000118|In der Ueberzeugung, daß sie doch wohl kaum fähig sind, der Seele oder dem Leib der Armen christliche Stärkung zu geben,|In der Ueberzeugung, daß sie doch wohl kaum fähig sind, der Seele oder dem Leib der Armen christliche Stärkung zu geben,
weihnachtsabend_01_f000119|antwortete der Herr, sind einige von uns zur Veranstaltung einer Sammlung zusammengetreten, um für die Armen Nahrungsmittel und Feuerung anzuschaffen.|antwortete der Herr, sind einige von uns zur Veranstaltung einer Sammlung zusammengetreten, um für die Armen Nahrungsmittel und Feuerung anzuschaffen.
weihnachtsabend_01_f000120|Wir wählen diese Zeit, weil sie vor allen andern eine Zeit ist, wo der Mangel am bittersten gefühlt wird und der Reiche sich freut. Welche Summe soll ich für Sie aufschreiben?|Wir wählen diese Zeit, weil sie vor allen andern eine Zeit ist, wo der Mangel am bittersten gefühlt wird und der Reiche sich freut. Welche Summe soll ich für Sie aufschreiben?
weihnachtsabend_01_f000121|Nichts, antwortete Scrooge.|Nichts, antwortete Scrooge.
weihnachtsabend_01_f000122|Sie wünschen ungenannt zu bleiben?|Sie wünschen ungenannt zu bleiben?
weihnachtsabend_01_f000123|Ich wünsche, daß man mich zufrieden lasse, sagte Scrooge.|Ich wünsche, daß man mich zufrieden lasse, sagte Scrooge.
weihnachtsabend_01_f000124|Da Sie mich fragen, was ich wünsche, meine Herren, so ist das meine Antwort.|Da Sie mich fragen, was ich wünsche, meine Herren, so ist das meine Antwort.
weihnachtsabend_01_f000125|Ich freue mich selbst nicht zu Weihnachten und habe nicht die Mittel, mit meinem Gelde Faulenzern Freude zu machen.|Ich freue mich selbst nicht zu Weihnachten und habe nicht die Mittel, mit meinem Gelde Faulenzern Freude zu machen.
weihnachtsabend_01_f000126|Ich trage meinen Teil zu den Anstalten bei, die ich genannt habe; sie kosten genug, und wem es schlecht geht, der mag dorthin gehen!|Ich trage meinen Teil zu den Anstalten bei, die ich genannt habe; sie kosten genug, und wem es schlecht geht, der mag dorthin gehen!
weihnachtsabend_01_f000127|Viele können nicht hingehen und viele würden lieber sterben.|Viele können nicht hingehen und viele würden lieber sterben.
weihnachtsabend_01_f000128|Wenn sie lieber sterben würden, sagte Scrooge, so wäre es gut, wenn sie es thäten, und die überflüssige Bevölkerung verminderten.|Wenn sie lieber sterben würden, sagte Scrooge, so wäre es gut, wenn sie es thäten, und die überflüssige Bevölkerung verminderten.
weihnachtsabend_01_f000129|Uebrigens, Sie werden mich entschuldigen, weiß ich nichts davon.|Uebrigens, Sie werden mich entschuldigen, weiß ich nichts davon.
weihnachtsabend_01_f000130|Aber Sie könnten es wissen, bemerkte der Herr.|Aber Sie könnten es wissen, bemerkte der Herr.
weihnachtsabend_01_f000131|Es geht mich nichts an, antwortete Scrooge. Es genügt, wenn ein Mann sein eigenes Geschäft versteht und sich nicht in das anderer Leute mischt.|Es geht mich nichts an, antwortete Scrooge. Es genügt, wenn ein Mann sein eigenes Geschäft versteht und sich nicht in das anderer Leute mischt.
weihnachtsabend_01_f000132|Das meinige nimmt meine ganze Zeit in Anspruch. Guten Nachmittag, meine Herren!|Das meinige nimmt meine ganze Zeit in Anspruch. Guten Nachmittag, meine Herren!
weihnachtsabend_01_f000133|Da sie deutlich sahen, wie vergeblich weitere Versuche sein würden, zogen sich die Herren zurück.|Da sie deutlich sahen, wie vergeblich weitere Versuche sein würden, zogen sich die Herren zurück.
weihnachtsabend_01_f000134|Scrooge setzte sich wieder mit einer erhöhten Meinung von sich selbst und in einer besseren Laune, als gewöhnlich, an die Arbeit.|Scrooge setzte sich wieder mit einer erhöhten Meinung von sich selbst und in einer besseren Laune, als gewöhnlich, an die Arbeit.
weihnachtsabend_01_f000135|Unterdessen hatten Nebel und Finsternis so zugenommen, daß Leute mit brennenden Fackeln herumliefen, um den Wagen vorzuleuchten.|Unterdessen hatten Nebel und Finsternis so zugenommen, daß Leute mit brennenden Fackeln herumliefen, um den Wagen vorzuleuchten.
weihnachtsabend_01_f000136|Der Kirchturm, dessen brummende alte Glocke immer aus einem alten gotischen Fenster in der Mauer gar schlau auf Scrooge herabsah,|Der Kirchturm, dessen brummende alte Glocke immer aus einem alten gotischen Fenster in der Mauer gar schlau auf Scrooge herabsah,
weihnachtsabend_01_f000137|wurde unsichtbar und schlug die Stunden und Viertel in den Wolken mit einem zitternden Nachklang, als wenn in dem erfrorenen Knopf droben die Zähne klapperten.|wurde unsichtbar und schlug die Stunden und Viertel in den Wolken mit einem zitternden Nachklang, als wenn in dem erfrorenen Knopf droben die Zähne klapperten.
weihnachtsabend_01_f000138|Die Kälte wurde immer schneidender. In der Hauptstraße an der Ecke der Sackgasse wurden die Gasröhren ausgebessert und die Arbeiter hatten ein großes Feuer in einer Kohlenpfanne angezündet,|Die Kälte wurde immer schneidender. In der Hauptstraße an der Ecke der Sackgasse wurden die Gasröhren ausgebessert und die Arbeiter hatten ein großes Feuer in einer Kohlenpfanne angezündet,
weihnachtsabend_01_f000139|um welche sich einige zerlumpte Männer und Knaben drängten, sich die Hände wärmend und mit den Augen blinzelnd vor der behaglichen Flamme.|um welche sich einige zerlumpte Männer und Knaben drängten, sich die Hände wärmend und mit den Augen blinzelnd vor der behaglichen Flamme.
weihnachtsabend_01_f000140|Die Wasserröhre, sich selbst überlassen, strömte ungehindert ihr Wasser aus; aber bald war es zu Eis erstarrt.|Die Wasserröhre, sich selbst überlassen, strömte ungehindert ihr Wasser aus; aber bald war es zu Eis erstarrt.
weihnachtsabend_01_f000141|Der Schimmer der Läden, in denen Stecheichenzweige und Beeren in der Lampenwärme der Fenster knisterten, rötete die bleichen Gesichter der Vorübergehenden.|Der Schimmer der Läden, in denen Stecheichenzweige und Beeren in der Lampenwärme der Fenster knisterten, rötete die bleichen Gesichter der Vorübergehenden.
weihnachtsabend_01_f000142|Die Gewölbe der Geflügel- und Materialwarenhändler sahen aus wie ein glänzendes, fröhliches Märchen, mit dem es fast unmöglich schien,|Die Gewölbe der Geflügel- und Materialwarenhändler sahen aus wie ein glänzendes, fröhliches Märchen, mit dem es fast unmöglich schien,
weihnachtsabend_01_f000143|den Gedanken von einer so ernsten Sache, wie Kauf und Verkauf, zu verbinden.|den Gedanken von einer so ernsten Sache, wie Kauf und Verkauf, zu verbinden.
weihnachtsabend_01_f000144|Der Lord Mayor gab in den innern Gemächern des Mansion-House seinen fünfzig Köchen und Kellermeistern Befehl,|Der Lord Mayor gab in den innern Gemächern des Mansion-House seinen fünfzig Köchen und Kellermeistern Befehl,
weihnachtsabend_01_f000145|Weihnachten zu feiern, wie es eines Lord Mayors würdig ist, und selbst der kleine Schneider,  den er am Montage vorher wegen Trunkenheit und öffentlich ausgesprochenen Blutdurstes um fünf Schilling gestraft hatte,|Weihnachten zu feiern, wie es eines Lord Mayors würdig ist, und selbst der kleine Schneider,  den er am Montage vorher wegen Trunkenheit und öffentlich ausgesprochenen Blutdurstes um fünf Schilling gestraft hatte,
weihnachtsabend_01_f000146|rührte den morgenden Pudding in seinem Dachkämmerchen um, während sein abgemagertes Weib mit dem Säugling auf dem Arm ausging, um den Rinderbraten zu kaufen.|rührte den morgenden Pudding in seinem Dachkämmerchen um, während sein abgemagertes Weib mit dem Säugling auf dem Arm ausging, um den Rinderbraten zu kaufen.
weihnachtsabend_01_f000147|Immer nebeliger und kälter wurde es, durchdringend, schneidend kalt.|Immer nebeliger und kälter wurde es, durchdringend, schneidend kalt.
weihnachtsabend_01_f000148|Wenn der gute, heilige Dunstan des Gottseibeiuns Nase nur mit einem Hauch von diesem Wetter gefaßt hätte,|Wenn der gute, heilige Dunstan des Gottseibeiuns Nase nur mit einem Hauch von diesem Wetter gefaßt hätte,
weihnachtsabend_01_f000149|anstatt seine gewöhnlichen Waffen zu brauchen, dann würde er erst recht gebrüllt haben.|anstatt seine gewöhnlichen Waffen zu brauchen, dann würde er erst recht gebrüllt haben.
weihnachtsabend_01_f000150|Der Inhaber einer kleinen, jungen Nase, benagt und angebissen von der hungrigen Kälte, wie Knochen von Hunden benagt werden,|Der Inhaber einer kleinen, jungen Nase, benagt und angebissen von der hungrigen Kälte, wie Knochen von Hunden benagt werden,
weihnachtsabend_01_f000151|legte sich an Scrooges Schlüsselloch, um ihn mit einem Weihnachtslied zu erfreuen.|legte sich an Scrooges Schlüsselloch, um ihn mit einem Weihnachtslied zu erfreuen.
weihnachtsabend_01_f000152|Aber bei dem ersten Tone des Liedes ergriff Scrooge das Lineal mit einer solchen Energie, daß der Sänger voll Schrecken entfloh und das Schlüsselloch dem Nebel und der noch verwandteren Kälte überließ.|Aber bei dem ersten Tone des Liedes ergriff Scrooge das Lineal mit einer solchen Energie, daß der Sänger voll Schrecken entfloh und das Schlüsselloch dem Nebel und der noch verwandteren Kälte überließ.
weihnachtsabend_01_f000153|Endlich kam die Feierabendstunde. Unwillig stieg Scrooge von seinem Sessel und gab dem harrenden Diener in dem Verließ stillschweigend die Einwilligung,|Endlich kam die Feierabendstunde. Unwillig stieg Scrooge von seinem Sessel und gab dem harrenden Diener in dem Verließ stillschweigend die Einwilligung,
weihnachtsabend_01_f000154|worauf dieser sogleich das Licht auslöschte und den Hut aufsetzte.|worauf dieser sogleich das Licht auslöschte und den Hut aufsetzte.
weihnachtsabend_01_f000155|Sie wollen den ganzen Tag morgen haben, vermute ich, sagte Scrooge.|Sie wollen den ganzen Tag morgen haben, vermute ich, sagte Scrooge.
weihnachtsabend_01_f000156|Wenn es Ihnen paßt, Sir.|Wenn es Ihnen paßt, Sir.
weihnachtsabend_01_f000157|Es paßt mir nicht, sagte Scrooge, und es gehört sich nicht. Wenn ich Ihnen eine halbe Krone dafür abzöge, würden Sie denken, es geschähe Ihnen unrecht, nicht?|Es paßt mir nicht, sagte Scrooge, und es gehört sich nicht. Wenn ich Ihnen eine halbe Krone dafür abzöge, würden Sie denken, es geschähe Ihnen unrecht, nicht?
weihnachtsabend_01_f000158|Der Diener antwortete mit einem gezwungenen Lächeln.|Der Diener antwortete mit einem gezwungenen Lächeln.
weihnachtsabend_01_f000159|Und doch, sagte Scrooge, denken Sie nicht daran, daß mir unrecht geschieht, wenn ich einen Tag Lohn für einen Tag Faulenzen bezahle.|Und doch, sagte Scrooge, denken Sie nicht daran, daß mir unrecht geschieht, wenn ich einen Tag Lohn für einen Tag Faulenzen bezahle.
weihnachtsabend_01_f000160|Der Diener bemerkte, daß es nur einmal im Jahre geschähe.|Der Diener bemerkte, daß es nur einmal im Jahre geschähe.
weihnachtsabend_01_f000161|Eine armselige Entschuldigung, um an jedem fünfundzwanzigsten  Dezember eines Mannes Tasche zu bestehlen, sagte Scrooge, indem er seinen Ueberrock bis an das Kinn zuknöpfte.|Eine armselige Entschuldigung, um an jedem fünfundzwanzigsten  Dezember eines Mannes Tasche zu bestehlen, sagte Scrooge, indem er seinen Ueberrock bis an das Kinn zuknöpfte.
weihnachtsabend_01_f000162|Aber ich vermute, Sie wollen den ganzen Tag frei haben. Sie werden den ganzen Vormittag hier sein.|Aber ich vermute, Sie wollen den ganzen Tag frei haben. Sie werden den ganzen Vormittag hier sein.
weihnachtsabend_01_f000163|Der Diener versprach, daß er kommen wolle und Scrooge ging mit einem Brummen fort.|Der Diener versprach, daß er kommen wolle und Scrooge ging mit einem Brummen fort.
weihnachtsabend_01_f000164|Das Comptoir war in einem Nu geschlossen und der Diener, die langen Enden seines weißen Shawls über die Brust herabhängend denn er konnte sich keines Ueberrocks rühmen,|Das Comptoir war in einem Nu geschlossen und der Diener, die langen Enden seines weißen Shawls über die Brust herabhängend denn er konnte sich keines Ueberrocks rühmen,
weihnachtsabend_01_f000165|fuhr zu Ehren des Festes als der Letzte einer Reihe von Knaben zwanzigmal auf einer Glander Cornhill hinunter und lief dann so schnell als möglich in seine Wohnung in Camden-Town,|fuhr zu Ehren des Festes als der Letzte einer Reihe von Knaben zwanzigmal auf einer Glander Cornhill hinunter und lief dann so schnell als möglich in seine Wohnung in Camden-Town,
weihnachtsabend_01_f000166|um dort Blindekuh zu spielen.|um dort Blindekuh zu spielen.
weihnachtsabend_02_f000001|Scrooge nahm sein einsames, trübseliges Mahl in seinem gewöhnlichen einsamen, trübseligen Gasthause ein;|Scrooge nahm sein einsames, trübseliges Mahl in seinem gewöhnlichen einsamen, trübseligen Gasthause ein;
weihnachtsabend_02_f000002|und nachdem er alle Zeitungen gelesen und sich den Rest des Abends mit seinem Bankjournal vertrieben hatte, ging er nach Haus schlafen.|und nachdem er alle Zeitungen gelesen und sich den Rest des Abends mit seinem Bankjournal vertrieben hatte, ging er nach Haus schlafen.
weihnachtsabend_02_f000003|Er wohnte in den Zimmern, welche seinem verstorbenen Compagnon gehört hatten.|Er wohnte in den Zimmern, welche seinem verstorbenen Compagnon gehört hatten.
weihnachtsabend_02_f000004|Es war eine düstere Reihe von Zimmern in einem niedrigen, finstern Gebäude in einem Hofe, wo es so wenig an seinem Platze stand,|Es war eine düstere Reihe von Zimmern in einem niedrigen, finstern Gebäude in einem Hofe, wo es so wenig an seinem Platze stand,
weihnachtsabend_02_f000005|daß man fast hätte glauben mögen, es habe sich dorthin verlaufen, als es noch ein junges Haus war und mit andern Häusern Versteckens spielte,|daß man fast hätte glauben mögen, es habe sich dorthin verlaufen, als es noch ein junges Haus war und mit andern Häusern Versteckens spielte,
weihnachtsabend_02_f000006|und sich nicht wieder herausfinden können.|und sich nicht wieder herausfinden können.
weihnachtsabend_02_f000007|Es war jetzt alt und öde genug, denn niemand wohnte dort, außer Scrooge, da die andern Räume alle als Geschäftslokale vermietet waren.|Es war jetzt alt und öde genug, denn niemand wohnte dort, außer Scrooge, da die andern Räume alle als Geschäftslokale vermietet waren.
weihnachtsabend_02_f000008|Der Hof war so dunkel, daß selbst Scrooge, der jeden Stein desselben kannte, seinen Weg mit den Händen fühlen mußte.|Der Hof war so dunkel, daß selbst Scrooge, der jeden Stein desselben kannte, seinen Weg mit den Händen fühlen mußte.
weihnachtsabend_02_f000009|Der Nebel und der Frost hing so dick und schwer um den schwarzen alten Thorweg des Hauses, als ob der Genius des Wetters in trauerndem Nachsinnen auf der Schwelle säße.|Der Nebel und der Frost hing so dick und schwer um den schwarzen alten Thorweg des Hauses, als ob der Genius des Wetters in trauerndem Nachsinnen auf der Schwelle säße.
weihnachtsabend_02_f000010|Nun ist es ausgemacht, daß an dem Klopfer der Hausthür ganz und gar nichts Besonderes war, als seine Größe.|Nun ist es ausgemacht, daß an dem Klopfer der Hausthür ganz und gar nichts Besonderes war, als seine Größe.
weihnachtsabend_02_f000011|Auch ist es ausgemacht, daß Scrooge ihn jeden Abend und  jeden Morgen, seitdem er das Haus bewohnte, gesehen hatte,|Auch ist es ausgemacht, daß Scrooge ihn jeden Abend und  jeden Morgen, seitdem er das Haus bewohnte, gesehen hatte,
weihnachtsabend_02_f000012|und daß Scrooge so wenig Phantasie besaß als irgend jemand in der City von London, mit Einschluß – wenn es erlaubt ist, das zu sagen – des Stadtrats, der Aldermen und der Zünfte.|und daß Scrooge so wenig Phantasie besaß als irgend jemand in der City von London, mit Einschluß - wenn es erlaubt ist, das zu sagen - des Stadtrats, der Aldermen und der Zünfte.
weihnachtsabend_02_f000013|Man vergesse auch nicht, daß Scrooge, außer heute Nachmittag, mit keinem Wörtchen an seinen seit sieben Jahren verstorbenen Compagnon gedacht hatte.|Man vergesse auch nicht, daß Scrooge, außer heute Nachmittag, mit keinem Wörtchen an seinen seit sieben Jahren verstorbenen Compagnon gedacht hatte.
