maedchenvommoorhof_1_f000001|Es ist in einem Thingsaal, weit draußen auf dem Lande.|Es ist in einem Thingsaal, weit draußen auf dem Lande.
maedchenvommoorhof_1_f000132|Sie steht aufrecht und entschlossen vor dem Richtertisch und sieht dem Richter gerade in sein strenges Gesicht.|Sie steht aufrecht und entschlossen vor dem Richtertisch und sieht dem Richter gerade in sein strenges Gesicht.
maedchenvommoorhof_1_f000133|Er sitzt da, beide Hände auf den Tisch gestützt; und lange, lange wendet er den Blick nicht von ihr.|Er sitzt da, beide Hände auf den Tisch gestützt; und lange, lange wendet er den Blick nicht von ihr.
maedchenvommoorhof_1_f000134|Während der Richter sie betrachtet, geht eine große Veränderung mit ihm vor.|Während der Richter sie betrachtet, geht eine große Veränderung mit ihm vor.
maedchenvommoorhof_1_f000135|Alle Schlaffheit und Mißvergnügtheit, die in seinen Zügen gelegen hat, schwindet, und das große, grobe Gesicht wird durch die Rührung geradezu schön.|Alle Schlaffheit und Mißvergnügtheit, die in seinen Zügen gelegen hat, schwindet, und das große, grobe Gesicht wird durch die Rührung geradezu schön.
maedchenvommoorhof_1_f000136|Sieh da, denkt der Richter, sieh da, so ist mein Volk.|Sieh da, denkt der Richter, sieh da, so ist mein Volk.
maedchenvommoorhof_1_f000137|Ich will mich nicht darüber beklagen, wo doch bei einer der Geringsten so viel Liebe und Gottesfurcht zu finden ist.|Ich will mich nicht darüber beklagen, wo doch bei einer der Geringsten so viel Liebe und Gottesfurcht zu finden ist.
maedchenvommoorhof_1_f000138|Plötzlich aber spürt der Richter, daß seine Augen sich mit Tränen füllen, und da zuckt er beinahe beschämt zusammen und wirft einen raschen Blick um sich.|Plötzlich aber spürt der Richter, daß seine Augen sich mit Tränen füllen, und da zuckt er beinahe beschämt zusammen und wirft einen raschen Blick um sich.
maedchenvommoorhof_1_f000139|Da sieht er, daß die Schreiber und die Gerichtsdiener und die ganze lange Reihe der Beisitzer sich vorgebeugt haben, um das Mädchen anzusehen, das vor dem Richtertisch steht, die Bibel an die Brust gepreßt.|Da sieht er, daß die Schreiber und die Gerichtsdiener und die ganze lange Reihe der Beisitzer sich vorgebeugt haben, um das Mädchen anzusehen, das vor dem Richtertisch steht, die Bibel an die Brust gepreßt.
maedchenvommoorhof_1_f000140|Und er sieht einen Schimmer auf ihren Gesichtern, als hätten sie etwas richtig Schönes gesehen, das sie bis in das tiefste Herz erfreut hat.|Und er sieht einen Schimmer auf ihren Gesichtern, als hätten sie etwas richtig Schönes gesehen, das sie bis in das tiefste Herz erfreut hat.
maedchenvommoorhof_1_f000141|Hierauf sieht der Richter auch über das versammelte Volk hin, und ihm ist, als säßen alle diese Menschen stumm und atemlos da, als hätten sie gerade jetzt das gehört, wonach sie sich am meisten sehnten.|Hierauf sieht der Richter auch über das versammelte Volk hin, und ihm ist, als säßen alle diese Menschen stumm und atemlos da, als hätten sie gerade jetzt das gehört, wonach sie sich am meisten sehnten.
maedchenvommoorhof_1_f000142|Zu allerletzt sieht der Richter den Beklagten an.|Zu allerletzt sieht der Richter den Beklagten an.
maedchenvommoorhof_1_f000143|Jetzt ist er es, der mit gesenktem Kopf dasteht und zu Boden blickt.|Jetzt ist er es, der mit gesenktem Kopf dasteht und zu Boden blickt.
maedchenvommoorhof_1_f000144|Der Richter wendet sich abermals an das arme Mädchen.|Der Richter wendet sich abermals an das arme Mädchen.
maedchenvommoorhof_1_f000145|Es soll so sein, wie du es willst, sagt er.|Es soll so sein, wie du es willst, sagt er.
maedchenvommoorhof_1_f000146|Die Klage wird zurückgezogen, diktiert er dem Protokollführer.|Die Klage wird zurückgezogen, diktiert er dem Protokollführer.
maedchenvommoorhof_1_f000147|Der Beklagte macht eine Bewegung, als wolle er einen Einwand vorbringen.|Der Beklagte macht eine Bewegung, als wolle er einen Einwand vorbringen.
maedchenvommoorhof_1_f000148|Was denn? Was denn? schreit ihn der Richter an.|Was denn? Was denn? schreit ihn der Richter an.
maedchenvommoorhof_1_f000149|Hast du vielleicht etwas dagegen?|Hast du vielleicht etwas dagegen?
maedchenvommoorhof_1_f000150|Der Beklagte läßt den Kopf noch tiefer sinken und sagt dann kaum hörbar: Ach nein, es ist wohl am besten so.|Der Beklagte läßt den Kopf noch tiefer sinken und sagt dann kaum hörbar: Ach nein, es ist wohl am besten so.
maedchenvommoorhof_1_f000151|Der Richter sitzt noch einen Augenblick still, dann schiebt er den schweren Stuhl zurück, erhebt sich und geht um den Tisch herum zur Klägerin hin.|Der Richter sitzt noch einen Augenblick still, dann schiebt er den schweren Stuhl zurück, erhebt sich und geht um den Tisch herum zur Klägerin hin.
maedchenvommoorhof_1_f000152|Ich danke dir, sagt er und reicht ihr die Hand.|Ich danke dir, sagt er und reicht ihr die Hand.
maedchenvommoorhof_1_f000153|Sie hat die Bibel jetzt fortgelegt und steht da und weint und trocknet die Tränen mit dem zusammengerollten Taschentuch.|Sie hat die Bibel jetzt fortgelegt und steht da und weint und trocknet die Tränen mit dem zusammengerollten Taschentuch.
maedchenvommoorhof_1_f000154|Ich danke dir, sagt der Richter noch einmal und ergreift ihre Hand so leicht und behutsam, als wäre sie etwas gar Feines und Kostbares.|Ich danke dir, sagt der Richter noch einmal und ergreift ihre Hand so leicht und behutsam, als wäre sie etwas gar Feines und Kostbares.
maedchenvommoorhof_2_f000001|Niemand darf glauben, daß das Mädchen, das eine so schwere Stunde vor dem Gerichtstisch durchgemacht hatte, selbst meinte, sie habe etwas Rühmenswertes getan.|Niemand darf glauben, daß das Mädchen, das eine so schwere Stunde vor dem Gerichtstisch durchgemacht hatte, selbst meinte, sie habe etwas Rühmenswertes getan.
maedchenvommoorhof_2_f000002|Sie meinte im Gegenteil, daß sie vor der ganzen Gemeinde beschämt sei.|Sie meinte im Gegenteil, daß sie vor der ganzen Gemeinde beschämt sei.
maedchenvommoorhof_2_f000003|Sie begriff nicht die Ehre, die darin lag, daß der Richter auf sie zugekommen war und ihr die Hand geschüttelt hatte.|Sie begriff nicht die Ehre, die darin lag, daß der Richter auf sie zugekommen war und ihr die Hand geschüttelt hatte.
maedchenvommoorhof_2_f000004|Sie glaubte, dies bedeutete nur, daß die Verhandlung zu Ende sei, und sie ihrer Wege gehen könne.|Sie glaubte, dies bedeutete nur, daß die Verhandlung zu Ende sei, und sie ihrer Wege gehen könne.
maedchenvommoorhof_2_f000005|Sie sah auch nicht, daß die Leute ihr freundliche Blicke zuwarfen, und daß ihr mehrere die Hand drücken wollten.|Sie sah auch nicht, daß die Leute ihr freundliche Blicke zuwarfen, und daß ihr mehrere die Hand drücken wollten.
maedchenvommoorhof_2_f000006|Sie schlich sich nur davon und wollte fort.|Sie schlich sich nur davon und wollte fort.
maedchenvommoorhof_2_f000007|Aber unten an der Tür herrschte ein großes Gedränge.|Aber unten an der Tür herrschte ein großes Gedränge.
maedchenvommoorhof_2_f000008|Der Thing war zu Ende, und viele wollten wieder ins Freie.|Der Thing war zu Ende, und viele wollten wieder ins Freie.
maedchenvommoorhof_2_f000009|Sie drückte sich an die Wand und war wohl die letzte, die den Thingsaal verließ.|Sie drückte sich an die Wand und war wohl die letzte, die den Thingsaal verließ.
maedchenvommoorhof_2_f000010|Sie meinte, daß alle andern vor ihr hinausgehen müßten.|Sie meinte, daß alle andern vor ihr hinausgehen müßten.
maedchenvommoorhof_2_f000011|Als sie endlich ins Freie kam, stand Gudmund Erlandssons Wägelchen angespannt vor der Freitreppe.|Als sie endlich ins Freie kam, stand Gudmund Erlandssons Wägelchen angespannt vor der Freitreppe.
maedchenvommoorhof_2_f000012|Gudmund saß darin, die Zügel in der Hand, und schien auf jemand zu warten.|Gudmund saß darin, die Zügel in der Hand, und schien auf jemand zu warten.
maedchenvommoorhof_2_f000013|Sowie er ihrer unter allem Volk, das aus dem Thingsaal strömte, ansichtig wurde, rief er ihr zu: Komm her, Helga!|Sowie er ihrer unter allem Volk, das aus dem Thingsaal strömte, ansichtig wurde, rief er ihr zu: Komm her, Helga!
maedchenvommoorhof_2_f000014|Du kannst mit mir fahren, wir haben denselben Weg.|Du kannst mit mir fahren, wir haben denselben Weg.
maedchenvommoorhof_2_f000015|Aber obgleich sie ihren Namen hörte, sie konnte nicht glauben, daß er sie rief.|Aber obgleich sie ihren Namen hörte, sie konnte nicht glauben, daß er sie rief.
maedchenvommoorhof_2_f000016|Es war nicht möglich, daß Gudmund Erlandsson sie kutschieren wollte.|Es war nicht möglich, daß Gudmund Erlandsson sie kutschieren wollte.
maedchenvommoorhof_2_f000017|Er war der schmuckste Bursche im ganzen Kirchspiel, jung und schön und aus gutem Hause und in Gunst bei allen Leuten.|Er war der schmuckste Bursche im ganzen Kirchspiel, jung und schön und aus gutem Hause und in Gunst bei allen Leuten.
maedchenvommoorhof_2_f000018|Sie konnte nicht glauben, daß er etwas mit ihr zu tun haben wolle.|Sie konnte nicht glauben, daß er etwas mit ihr zu tun haben wolle.
maedchenvommoorhof_2_f000019|Sie ging, das Kopftuch tief in die Stirn geschoben, und eilte an ihm vorbei, ohne aufzusehen oder zu antworten.|Sie ging, das Kopftuch tief in die Stirn geschoben, und eilte an ihm vorbei, ohne aufzusehen oder zu antworten.
maedchenvommoorhof_2_f000020|Hörst du nicht, Helga, daß du mit mir fahren kannst?|Hörst du nicht, Helga, daß du mit mir fahren kannst?
maedchenvommoorhof_2_f000021|fragte Gudmund, und es lag ein so recht freundlicher Ton in der Stimme.|fragte Gudmund, und es lag ein so recht freundlicher Ton in der Stimme.
maedchenvommoorhof_2_f000022|Aber sie konnte es nicht in ihren Kopf hineinbringen, daß Gudmund es gut mit ihr meine.|Aber sie konnte es nicht in ihren Kopf hineinbringen, daß Gudmund es gut mit ihr meine.
maedchenvommoorhof_2_f000023|Sie glaubte, er wolle sie in der einen oder andern Weise verspotten und wartete nur darauf, die Umstehenden in Kichern und Lachen ausbrechen zu hören.|Sie glaubte, er wolle sie in der einen oder andern Weise verspotten und wartete nur darauf, die Umstehenden in Kichern und Lachen ausbrechen zu hören.
maedchenvommoorhof_2_f000024|Sie warf ihm einen erschrocknen und zornigen Blick zu und lief vom Thingplatz fort, um außer Hörweite zu sein, wenn das Lachen begänne.|Sie warf ihm einen erschrocknen und zornigen Blick zu und lief vom Thingplatz fort, um außer Hörweite zu sein, wenn das Lachen begänne.
maedchenvommoorhof_2_f000025|Gudmund war damals noch unverheiratet und wohnte bei seinen Eltern.|Gudmund war damals noch unverheiratet und wohnte bei seinen Eltern.
maedchenvommoorhof_2_f000026|Der Vater war ein kleiner Bauer.|Der Vater war ein kleiner Bauer.
maedchenvommoorhof_2_f000027|Er hatte keinen großen Hof und war nicht vermögend, aber er konnte sorgenfrei leben.|Er hatte keinen großen Hof und war nicht vermögend, aber er konnte sorgenfrei leben.
maedchenvommoorhof_2_f000028|Der Sohn war zum Thing gefahren, um einige Urkunden für seinen Vater zu holen, aber da er noch eine andre Absicht mit seiner Fahrt verfolgte, hatte er sich sehr fein hergerichtet.|Der Sohn war zum Thing gefahren, um einige Urkunden für seinen Vater zu holen, aber da er noch eine andre Absicht mit seiner Fahrt verfolgte, hatte er sich sehr fein hergerichtet.
maedchenvommoorhof_2_f000029|Er hatte das neue Wägelchen genommen, dessen Lackierung keine Schramme aufwies; das Pferd hatte er gestriegelt, bis es wie Seide glänzte, und das Sattelzeug fein geputzt.|Er hatte das neue Wägelchen genommen, dessen Lackierung keine Schramme aufwies; das Pferd hatte er gestriegelt, bis es wie Seide glänzte, und das Sattelzeug fein geputzt.
maedchenvommoorhof_2_f000030|Er hatte eine schmucke, rote Decke neben sich auf den Sitz gelegt, und sich selbst hatte er mit einem kurzen Jagdrock, einem kleinen, grauen Filzhut und hohen Stiefeln geputzt, in die die Hosen hineingesteckt waren.|Er hatte eine schmucke, rote Decke neben sich auf den Sitz gelegt, und sich selbst hatte er mit einem kurzen Jagdrock, einem kleinen, grauen Filzhut und hohen Stiefeln geputzt, in die die Hosen hineingesteckt waren.
maedchenvommoorhof_2_f000031|Es war wohl kein Feiertagsgewand, aber er wußte, daß er männlich und stattlich darin aussah.|Es war wohl kein Feiertagsgewand, aber er wußte, daß er männlich und stattlich darin aussah.
maedchenvommoorhof_2_f000032|Als Gudmund am Morgen von daheim fortfuhr, hatte er allein im Wagen gesessen, aber er war in angenehme Gedanken versunken, und die Zeit war ihm nicht lang erschienen.|Als Gudmund am Morgen von daheim fortfuhr, hatte er allein im Wagen gesessen, aber er war in angenehme Gedanken versunken, und die Zeit war ihm nicht lang erschienen.
maedchenvommoorhof_2_f000033|Als er ungefähr auf halbem Wege war, fuhr er an einem armen Mädchen vorbei, das sehr langsam ging und aussah, als könnte es vor Müdigkeit kaum einen Fuß vor den andern setzen.|Als er ungefähr auf halbem Wege war, fuhr er an einem armen Mädchen vorbei, das sehr langsam ging und aussah, als könnte es vor Müdigkeit kaum einen Fuß vor den andern setzen.
maedchenvommoorhof_2_f000034|Es war Herbst, der Weg war vom Regen aufgeweicht, und Gudmund sah, wie sie bei jedem Schritt tief in den Schmutz einsank.|Es war Herbst, der Weg war vom Regen aufgeweicht, und Gudmund sah, wie sie bei jedem Schritt tief in den Schmutz einsank.
maedchenvommoorhof_2_f000035|Er hielt an und fragte, wohin sie gehe, und als er erfuhr, daß sie zum Thing wolle, bot er ihr an, mitzufahren.|Er hielt an und fragte, wohin sie gehe, und als er erfuhr, daß sie zum Thing wolle, bot er ihr an, mitzufahren.
maedchenvommoorhof_2_f000036|Sie dankte und stieg rückwärts auf den Wagen, auf das schmale Brett, an dem der Heusack festgebunden war, ganz so, als wagte sie es nicht, die rote Decke neben Gudmund zu berühren.|Sie dankte und stieg rückwärts auf den Wagen, auf das schmale Brett, an dem der Heusack festgebunden war, ganz so, als wagte sie es nicht, die rote Decke neben Gudmund zu berühren.
maedchenvommoorhof_2_f000037|Es war auch nicht seine Absicht gewesen, daß sie sich neben ihn setze.|Es war auch nicht seine Absicht gewesen, daß sie sich neben ihn setze.
maedchenvommoorhof_2_f000038|Er wußte nicht, wer sie wäre, aber er vermutete, daß sie die Tochter irgendeines armen Kleinhäuslers wäre, und fand, es sei wohl genug Ehre für sie, wenn sie rückwärts aufsitzen dürfte.|Er wußte nicht, wer sie wäre, aber er vermutete, daß sie die Tochter irgendeines armen Kleinhäuslers wäre, und fand, es sei wohl genug Ehre für sie, wenn sie rückwärts aufsitzen dürfte.
maedchenvommoorhof_2_f000039|Als sie an einen Hügel kamen und das Pferd den Schritt verlangsamte begann Gudmund zu plaudern.|Als sie an einen Hügel kamen und das Pferd den Schritt verlangsamte begann Gudmund zu plaudern.
maedchenvommoorhof_2_f000040|Er wollte wissen, wie sie heiße, und wo sie daheim sei.|Er wollte wissen, wie sie heiße, und wo sie daheim sei.
maedchenvommoorhof_2_f000041|Als er hörte, daß sie Helga hieß und von einem Waldgütchen stammte, das man den Moorhof nannte, begann er unruhig zu werden.|Als er hörte, daß sie Helga hieß und von einem Waldgütchen stammte, das man den Moorhof nannte, begann er unruhig zu werden.
maedchenvommoorhof_2_f000042|Bist du immer daheim gewesen oder warst du im Dienst, fragte er.|Bist du immer daheim gewesen oder warst du im Dienst, fragte er.
maedchenvommoorhof_2_f000043|Das letzte Jahr wäre sie daheim gewesen, früher hätte sie einen Dienstplatz gehabt.|Das letzte Jahr wäre sie daheim gewesen, früher hätte sie einen Dienstplatz gehabt.
maedchenvommoorhof_2_f000044|Bei wem denn? fragte Gudmund sehr hastig.|Bei wem denn? fragte Gudmund sehr hastig.
maedchenvommoorhof_2_f000045|Und es schien ihm, als daure es lange, bis die Antwort kam.|Und es schien ihm, als daure es lange, bis die Antwort kam.
maedchenvommoorhof_2_f000046|Im Sternhof, bei Per Martensson, sagte sie endlich und senkte die Stimme, als wollte sie am liebsten nicht gehört werden.|Im Sternhof, bei Per Martensson, sagte sie endlich und senkte die Stimme, als wollte sie am liebsten nicht gehört werden.
maedchenvommoorhof_2_f000047|Aber Gudmund verstand sie doch.|Aber Gudmund verstand sie doch.
maedchenvommoorhof_2_f000048|Ja so, du bist also die, sagte er, sprach aber den Satz nicht zu Ende.|Ja so, du bist also die, sagte er, sprach aber den Satz nicht zu Ende.
maedchenvommoorhof_2_f000049|Er wendete sich ab, richtete sich gerade auf und sprach kein Wort mehr zu ihr.|Er wendete sich ab, richtete sich gerade auf und sprach kein Wort mehr zu ihr.
maedchenvommoorhof_2_f000050|Gudmund versetzte dem Pferde einen Hieb nach dem andern, fluchte laut über den schlechten Weg und schien recht schlechter Laune zu sein.|Gudmund versetzte dem Pferde einen Hieb nach dem andern, fluchte laut über den schlechten Weg und schien recht schlechter Laune zu sein.
