zweiplaneten_01_lasswitz_f000001|Auf zwei Planeten von Kurd Laßwitz|Auf zwei Planeten von Kurd Laßwitz
zweiplaneten_01_lasswitz_f000142|Die drei Männer standen, am Tauwerk sich haltend, in der Gondel.|Die drei Männer standen, am Tauwerk sich haltend, in der Gondel.
zweiplaneten_01_lasswitz_f000143|Mit gespannten Blicken schauten sie jeden Augenblick, den ihnen die Bedienung des Ballons und die Beobachtung der Instrumente freiließ|Mit gespannten Blicken schauten sie jeden Augenblick, den ihnen die Bedienung des Ballons und die Beobachtung der Instrumente freiließ
zweiplaneten_01_lasswitz_f000144|durch ihre Feldstecher nach Norden, der Sonne entgegen, die erst wenig nach Osten hin beiseite getreten war.|durch ihre Feldstecher nach Norden, der Sonne entgegen, die erst wenig nach Osten hin beiseite getreten war.
zweiplaneten_01_lasswitz_f000145|Allmählich versanken die Berggipfel unter ihnen – noch ein breiterer Rücken hemmte ihnen die Aussicht – der Ballon glitt jetzt wieder in der Höhe des Kammes dahin|Allmählich versanken die Berggipfel unter ihnen - noch ein breiterer Rücken hemmte ihnen die Aussicht - der Ballon glitt jetzt wieder in der Höhe des Kammes dahin
zweiplaneten_01_lasswitz_f000146|das Schlepptau schleifte –, noch eine breite Mulde war zu überfliegen, dann mußte das ersehnte Ziel vor ihnen liegen.|das Schlepptau schleifte -, noch eine breite Mulde war zu überfliegen, dann mußte das ersehnte Ziel vor ihnen liegen.
zweiplaneten_01_lasswitz_f000147|Der Ballon befand sich etwa in der Mitte der Mulde, höchstens hundert Meter über ihrem Boden|Der Ballon befand sich etwa in der Mitte der Mulde, höchstens hundert Meter über ihrem Boden
zweiplaneten_01_lasswitz_f000148|und die gegenüberliegende Talwand verdeckte noch die Aussicht.|und die gegenüberliegende Talwand verdeckte noch die Aussicht.
zweiplaneten_01_lasswitz_f000149|Der Wind war etwas weniger lebhaft, aber immer noch südlich, und der Ballon stieg an der flachen Erhebung des Eisfeldes hinan.|Der Wind war etwas weniger lebhaft, aber immer noch südlich, und der Ballon stieg an der flachen Erhebung des Eisfeldes hinan.
zweiplaneten_01_lasswitz_f000150|Jetzt wurden einzelne weiße Bergkuppen in großer Entfernung hinter dem nahen Horizont der gegenüberliegenden Eiswand sichtbar|Jetzt wurden einzelne weiße Bergkuppen in großer Entfernung hinter dem nahen Horizont der gegenüberliegenden Eiswand sichtbar
zweiplaneten_01_lasswitz_f000151|die Luftschiffer befanden sich in gleicher Höhe mit dem letzten Hindernis, das ihren Blick beschränkte.|die Luftschiffer befanden sich in gleicher Höhe mit dem letzten Hindernis, das ihren Blick beschränkte.
zweiplaneten_01_lasswitz_f000152|Die Gipfel mehrten sich, sie bildeten eine Bergkette.|Die Gipfel mehrten sich, sie bildeten eine Bergkette.
zweiplaneten_01_lasswitz_f000153|»Diese Berge liegen schon hinter dem Pol«, sagte Grunthe, und diesmal bebte seine Stimme doch ein wenig vor Aufregung.|Diese Berge liegen schon hinter dem Pol, sagte Grunthe, und diesmal bebte seine Stimme doch ein wenig vor Aufregung.
zweiplaneten_01_lasswitz_f000154|Fest preßte er seine Lippen zur geraden Linie zusammen.|Fest preßte er seine Lippen zur geraden Linie zusammen.
zweiplaneten_01_lasswitz_f000155|Weiter stieg der Ballon – dunkel gefärbte Bergzüge erschienen unter den Schneegipfeln|Weiter stieg der Ballon - dunkel gefärbte Bergzüge erschienen unter den Schneegipfeln
zweiplaneten_01_lasswitz_f000156|rötlich und bräunlich schimmernd – jetzt erreichte der Ballon die Höhe und schwebte über einem tiefen Abgrund – das Schleppseil schnellte hinab|rötlich und bräunlich schimmernd - jetzt erreichte der Ballon die Höhe und schwebte über einem tiefen Abgrund - das Schleppseil schnellte hinab
zweiplaneten_01_lasswitz_f000157|und der Ballon sank sofort einige hundert Meter tief – dann pendelte er noch einmal auf und ab|und der Ballon sank sofort einige hundert Meter tief - dann pendelte er noch einmal auf und ab
zweiplaneten_01_lasswitz_f000158|– diese plötzliche Schwankung des Ballons hatte die Aufmerksamkeit der Luftschiffer voll in Anspruch genommen – sie sahen unter sich|- diese plötzliche Schwankung des Ballons hatte die Aufmerksamkeit der Luftschiffer voll in Anspruch genommen - sie sahen unter sich
zweiplaneten_01_lasswitz_f000159|tief unten ein wildes Gewirr von Klippen, Felstrümmern und Eisblöcken, hinter sich die steil abgebrochene Wand|tief unten ein wildes Gewirr von Klippen, Felstrümmern und Eisblöcken, hinter sich die steil abgebrochene Wand
zweiplaneten_01_lasswitz_f000160|an welcher der verzerrte Schatten des Ballons auf- und niederschwankte – die Instrumente mußten beobachtet werden|an welcher der verzerrte Schatten des Ballons auf- und niederschwankte - die Instrumente mußten beobachtet werden
zweiplaneten_01_lasswitz_f000161|und erst jetzt konnten sie den Blick nach vorwärts lenken, vorwärts und nordwärts – oder war es vielleicht schon südwärts?|und erst jetzt konnten sie den Blick nach vorwärts lenken, vorwärts und nordwärts - oder war es vielleicht schon südwärts?
zweiplaneten_01_lasswitz_f000162|Saltner war der erste, der nach vorn blickte.|Saltner war der erste, der nach vorn blickte.
zweiplaneten_01_lasswitz_f000163|Aber er sprach nichts, in einem langgedehnten Pfiff blies er den Atem aus seinen gespitzten Lippen. »Das Meer!« rief Torm.|Aber er sprach nichts, in einem langgedehnten Pfiff blies er den Atem aus seinen gespitzten Lippen. Das Meer! rief Torm.
zweiplaneten_01_lasswitz_f000164|»Grüß Gott!« sagte jetzt Saltner.|Grüß Gott! sagte jetzt Saltner.
zweiplaneten_01_lasswitz_f000165|»Da hat halt der alte Petermann doch recht behalten, aber bloß ein bissel.|Da hat halt der alte Petermann doch recht behalten, aber bloß ein bissel.
zweiplaneten_01_lasswitz_f000166|Ein offenes Polarmeer ist es schon, man muß sich nur nicht zuviel drauf einbilden.|Ein offenes Polarmeer ist es schon, man muß sich nur nicht zuviel drauf einbilden.
zweiplaneten_01_lasswitz_f000167|»Ein Binnenmeer, ein Bassin, immerhin, gegen tausend Quadratkilometer schätze ich«, sagte Grunthe.|Ein Binnenmeer, ein Bassin, immerhin, gegen tausend Quadratkilometer schätze ich, sagte Grunthe.
zweiplaneten_01_lasswitz_f000168|»Etwa so groß wie der Bodensee.|Etwa so groß wie der Bodensee.
zweiplaneten_01_lasswitz_f000169|Aber wer kann wissen, was sich dort hinten noch an Fjords und Kanälen abzweigt.|Aber wer kann wissen, was sich dort hinten noch an Fjords und Kanälen abzweigt.
zweiplaneten_01_lasswitz_f000170|Und auch das Bassin selbst ist durch verschiedene Inseln in Arme geteilt.|Und auch das Bassin selbst ist durch verschiedene Inseln in Arme geteilt.
zweiplaneten_01_lasswitz_f000171|»Wer da unten zu Fuß oder zu Schiff ankommt, muß Mühe haben zu entscheiden|Wer da unten zu Fuß oder zu Schiff ankommt, muß Mühe haben zu entscheiden
zweiplaneten_01_lasswitz_f000172|ob das Meer im Land liegt oder das Land im Meer«, sagte Saltner.|ob das Meer im Land liegt oder das Land im Meer, sagte Saltner.
zweiplaneten_01_lasswitz_f000173|»Gut, daß wir's bequemer haben.|Gut, daß wir's bequemer haben.
zweiplaneten_01_lasswitz_f000174|»Gewiß«, meinte Torm, »es ist möglich, daß wir ein Stück des offenen Meeres vor uns haben|Gewiß, meinte Torm, es ist möglich, daß wir ein Stück des offenen Meeres vor uns haben
zweiplaneten_01_lasswitz_f000175|obwohl es von hier den Anschein hat, als schlössen die Berge das Wasser von allen Seiten ein. Wir werden ja sehen.|obwohl es von hier den Anschein hat, als schlössen die Berge das Wasser von allen Seiten ein. Wir werden ja sehen.
zweiplaneten_01_lasswitz_f000176|Aber vor allen Dingen, was sollen wir tun?|Aber vor allen Dingen, was sollen wir tun?
zweiplaneten_01_lasswitz_f000177|Wir haben wider Erwarten so hoch steigen müssen, daß wir jetzt sehr viel Gas verlieren würden|Wir haben wider Erwarten so hoch steigen müssen, daß wir jetzt sehr viel Gas verlieren würden
zweiplaneten_01_lasswitz_f000178|wenn wir hinabwollten, und andrerseits werden wir wieder drüben über die Berge hinaufmüssen. Es ist eine schwierige Frage.|wenn wir hinabwollten, und andrerseits werden wir wieder drüben über die Berge hinaufmüssen. Es ist eine schwierige Frage.
zweiplaneten_01_lasswitz_f000179|Aber wir haben noch Zeit, darüber nachzudenken, denn der Ballon bewegt sich jetzt nur langsam.|Aber wir haben noch Zeit, darüber nachzudenken, denn der Ballon bewegt sich jetzt nur langsam.
zweiplaneten_01_lasswitz_f000180|»Und diese Gelegenheit wollen wir benutzen, um dem Nordpol unsern wohlverdienten Gruß zu bringen«, rief Saltner.|Und diese Gelegenheit wollen wir benutzen, um dem Nordpol unsern wohlverdienten Gruß zu bringen, rief Saltner.
zweiplaneten_01_lasswitz_f000181|Mit diesen Worten zog er ein Futteral hervor, aus welchem drei Flaschen Champagner ihre silbernen Hälse einladend hervorstreckten.|Mit diesen Worten zog er ein Futteral hervor, aus welchem drei Flaschen Champagner ihre silbernen Hälse einladend hervorstreckten.
zweiplaneten_01_lasswitz_f000182|»Davon weiß ich ja gar nichts«, sagte Torm fragend.|Davon weiß ich ja gar nichts, sagte Torm fragend.
zweiplaneten_01_lasswitz_f000183|»Das ist eine Stiftung von Frau Isma.|Das ist eine Stiftung von Frau Isma.
zweiplaneten_01_lasswitz_f000184|Sehen Sie, es steht darauf: ›Am Pol zu öffnen. Gewicht vier Kilogramm. Torm lachte.|Sehen Sie, es steht darauf: Am Pol zu öffnen. Gewicht vier Kilogramm. Torm lachte.
zweiplaneten_01_lasswitz_f000185|»Dachte ich mir doch«, sagte er, »daß meine Frau irgend etwas einschmuggeln würde, was das Expeditionsreglement durchbricht.|Dachte ich mir doch, sagte er, daß meine Frau irgend etwas einschmuggeln würde, was das Expeditionsreglement durchbricht.
zweiplaneten_01_lasswitz_f000186|»Es ist doch aber auch ein herrlicher Gedanke von Ihrer Frau, sich am Nordpol in Champagner hochleben zu lassen«, erwiderte Saltner.|Es ist doch aber auch ein herrlicher Gedanke von Ihrer Frau, sich am Nordpol in Champagner hochleben zu lassen, erwiderte Saltner.
zweiplaneten_01_lasswitz_f000187|»Erstens für sich selbst, denn das ist etwas, was noch nicht dagewesen ist;|Erstens für sich selbst, denn das ist etwas, was noch nicht dagewesen ist;
zweiplaneten_01_lasswitz_f000188|das müssen Sie zugeben, Damen sind hier noch niemals leben gelassen worden.|das müssen Sie zugeben, Damen sind hier noch niemals leben gelassen worden.
zweiplaneten_01_lasswitz_f000189|Und zweitens für uns, das müssen Sie auch zugeben;|Und zweitens für uns, das müssen Sie auch zugeben;
zweiplaneten_01_lasswitz_f000190|es ist sehr wonnig, in dieser Kälte den Schaumwein zu trinken auf das Wohl unserer Kommandeuse.|es ist sehr wonnig, in dieser Kälte den Schaumwein zu trinken auf das Wohl unserer Kommandeuse.
zweiplaneten_01_lasswitz_f000191|Und drittens, ist es nicht einfach bejauchzbar, das tragische Antlitz unseres Astronomen zu sehen?|Und drittens, ist es nicht einfach bejauchzbar, das tragische Antlitz unseres Astronomen zu sehen?
zweiplaneten_01_lasswitz_f000192|Denn Champagner trinkt er prinzipiell nicht, und auf weibliche Wesen stößt er prinzipiell nicht an;|Denn Champagner trinkt er prinzipiell nicht, und auf weibliche Wesen stößt er prinzipiell nicht an;
zweiplaneten_01_lasswitz_f000193|da er aber auf dem Nordpol prinzipiell in ein Hoch einstimmen muß und will|da er aber auf dem Nordpol prinzipiell in ein Hoch einstimmen muß und will
zweiplaneten_01_lasswitz_f000194|so findet er sich in einem Widerstreit der Prinzipien, aus dem herauszukommen ihm verteufelt schwerfallen wird.|so findet er sich in einem Widerstreit der Prinzipien, aus dem herauszukommen ihm verteufelt schwerfallen wird.
zweiplaneten_01_lasswitz_f000195|»Darauf könnte ich sehr viel erwidern«, sagte Grunthe.|Darauf könnte ich sehr viel erwidern, sagte Grunthe.
zweiplaneten_01_lasswitz_f000196|»Zum Beispiel, daß wir noch gar nicht wissen, wo der Nordpol eigentlich liegt.|Zum Beispiel, daß wir noch gar nicht wissen, wo der Nordpol eigentlich liegt.
zweiplaneten_01_lasswitz_f000197|»Schon wahr«, unterbrach ihn Torm, »aber eben darum müssen wir den Moment feiern|Schon wahr, unterbrach ihn Torm, aber eben darum müssen wir den Moment feiern
zweiplaneten_01_lasswitz_f000198|in welchem wir sicher sind, ihn zum erstenmal in unserm Gesichtsfeld zu haben. Das werden Sie zugeben?|in welchem wir sicher sind, ihn zum erstenmal in unserm Gesichtsfeld zu haben. Das werden Sie zugeben?
zweiplaneten_01_lasswitz_f000199|»Hm, ja«, sagte Grunthe, und ein leichtes Schmunzeln glitt über seine Züge.|Hm, ja, sagte Grunthe, und ein leichtes Schmunzeln glitt über seine Züge.
zweiplaneten_01_lasswitz_f000200|»Ich nehme an, wir wären am Pol.|Ich nehme an, wir wären am Pol.
zweiplaneten_01_lasswitz_f000201|So kann ich mit Ihnen anstoßen, oder auch nicht, ganz wie ich will, ohne mit irgendwelchen Prinzipien in Widerspruch zu geraten. »Wieso? « fragte Saltner.|So kann ich mit Ihnen anstoßen, oder auch nicht, ganz wie ich will, ohne mit irgendwelchen Prinzipien in Widerspruch zu geraten. Wieso?  fragte Saltner.
zweiplaneten_01_lasswitz_f000202|»Der Pol ist ein Unstetigkeitspunkt.|Der Pol ist ein Unstetigkeitspunkt.
zweiplaneten_01_lasswitz_f000203|Prinzipien sind Grundsätze, die unter der Voraussetzung gelten, daß die Bedingungen bestehen|Prinzipien sind Grundsätze, die unter der Voraussetzung gelten, daß die Bedingungen bestehen
zweiplaneten_01_lasswitz_f000204|für welche sie aufgestellt sind, vor allem die Stetigkeit der Raum- und Zeitbestimmungen.|für welche sie aufgestellt sind, vor allem die Stetigkeit der Raum- und Zeitbestimmungen.
zweiplaneten_01_lasswitz_f000205|Am Pol sind alle Bedingungen aufgehoben.|Am Pol sind alle Bedingungen aufgehoben.
zweiplaneten_01_lasswitz_f000206|Hier gibt es keine Himmelsrichtungen mehr, jede Richtung kann als Nord, Süd, Ost oder West bezeichnet werden.|Hier gibt es keine Himmelsrichtungen mehr, jede Richtung kann als Nord, Süd, Ost oder West bezeichnet werden.
zweiplaneten_01_lasswitz_f000207|Hier gibt es auch keine Tageszeit;|Hier gibt es auch keine Tageszeit;
zweiplaneten_01_lasswitz_f000208|alle Zeiten, Nacht, Morgen, Mittag und Abend, sind gleichzeitig vorhanden.|alle Zeiten, Nacht, Morgen, Mittag und Abend, sind gleichzeitig vorhanden.
zweiplaneten_01_lasswitz_f000209|Hier gelten also auch alle Grundsätze zusammen oder gar keine.|Hier gelten also auch alle Grundsätze zusammen oder gar keine.
zweiplaneten_01_lasswitz_f000210|Es ist der vollständige Indifferenzpunkt aller Bestimmungen erreicht, das Ideal der Parteilosigkeit.|Es ist der vollständige Indifferenzpunkt aller Bestimmungen erreicht, das Ideal der Parteilosigkeit.
zweiplaneten_01_lasswitz_f000211|»Bravo«, rief Saltner, der inzwischen die Trinkbecher von Aluminium mit dem perlenden Wein gefüllt hatte.|Bravo, rief Saltner, der inzwischen die Trinkbecher von Aluminium mit dem perlenden Wein gefüllt hatte.
zweiplaneten_01_lasswitz_f000212|»Es lebe Frau Isma Torm, unsere gnädige Spenderin!«.|Es lebe Frau Isma Torm, unsere gnädige Spenderin!.
zweiplaneten_01_lasswitz_f000213|Saltner und Torm erhoben ihre Becher.|Saltner und Torm erhoben ihre Becher.
zweiplaneten_01_lasswitz_f000214|Grunthe kniff die Lippen zusammen und hielt, geradeaus starrend, sein Trinkgefäß unbeweglich vor sich hin|Grunthe kniff die Lippen zusammen und hielt, geradeaus starrend, sein Trinkgefäß unbeweglich vor sich hin
zweiplaneten_01_lasswitz_f000215|indem er es passiv geschehen ließ, daß die andern mit ihren Bechern daran stießen. Nun rief Torm: »Es lebe der Nordpol!«.|indem er es passiv geschehen ließ, daß die andern mit ihren Bechern daran stießen. Nun rief Torm: Es lebe der Nordpol!.
zweiplaneten_01_lasswitz_f000216|Da stieß auch Grunthe seinen Becher lebhaft mit den andern zusammen und setzte hinzu: »Es lebe die Menschheit!«. Sie tranken und Saltner rief:|Da stieß auch Grunthe seinen Becher lebhaft mit den andern zusammen und setzte hinzu: Es lebe die Menschheit!. Sie tranken und Saltner rief:
zweiplaneten_01_lasswitz_f000217|»Grunthes Toast ist so allgemein, daß ein Becher nicht reichen kann.|Grunthes Toast ist so allgemein, daß ein Becher nicht reichen kann.
zweiplaneten_01_lasswitz_f000218|« Und er schenkte noch einmal ein.| Und er schenkte noch einmal ein.
zweiplaneten_01_lasswitz_f000219|Inzwischen war der Ballon langsam dem Binnenmeer entgegengetrieben|Inzwischen war der Ballon langsam dem Binnenmeer entgegengetrieben
zweiplaneten_01_lasswitz_f000220|das sich nun immer deutlicher den staunenden Blicken der Reisenden enthüllte.|das sich nun immer deutlicher den staunenden Blicken der Reisenden enthüllte.
zweiplaneten_01_lasswitz_f000221|Vom Fuß der steil abfallenden Felsenwand des Gebirges ab senkte sich das Gelände allmählich|Vom Fuß der steil abfallenden Felsenwand des Gebirges ab senkte sich das Gelände allmählich
zweiplaneten_01_lasswitz_f000222|wohl noch eine Strecke von einigen zwanzig Kilometern weit, nach dem Ufer hin.|wohl noch eine Strecke von einigen zwanzig Kilometern weit, nach dem Ufer hin.
zweiplaneten_01_lasswitz_f000223|Aber die Landschaft zeigte jetzt ein vollständig anderes Gepräge.|Aber die Landschaft zeigte jetzt ein vollständig anderes Gepräge.
zweiplaneten_01_lasswitz_f000224|Die wilde Gletschernatur war verschwunden, grüne Matten zogen sich|Die wilde Gletschernatur war verschwunden, grüne Matten zogen sich
zweiplaneten_01_lasswitz_f000225|nur noch mit einzelnen Gesteinstrümmern hier und da bedeckt, in sanfter Senkung dem Wasser zu.|nur noch mit einzelnen Gesteinstrümmern hier und da bedeckt, in sanfter Senkung dem Wasser zu.
