mattiapascal_01_pirandello_f000001|Il fu Mattia Pascal di Luigi Pirandello Capitulo Primo Premessa.|Il fu Mattia Pascal di Luigi Pirandello Capitulo Primo Premessa.
mattiapascal_02_pirandello_f000025|poi il podere della Stìa anch'esso riccamente beneficato e con una bella sorgiva d'acqua, che fu presa quindi per il molino;|poi il podere della Stìa anch'esso riccamente beneficato e con una bella sorgiva d'acqua, che fu presa quindi per il molino;
mattiapascal_02_pirandello_f000026|poi tutta la poggiata dello Sperone ch'era il miglior vigneto della nostra contrada|poi tutta la poggiata dello Sperone ch'era il miglior vigneto della nostra contrada
mattiapascal_02_pirandello_f000027|e infine San Rocchino, ove edificò una villa deliziosa.|e infine San Rocchino, ove edificò una villa deliziosa.
mattiapascal_02_pirandello_f000028|In paese, oltre alla casa in cui abitavamo, acquistò due altre case e tutto quell'isolato, ora ridotto e acconciato ad arsenale.|In paese, oltre alla casa in cui abitavamo, acquistò due altre case e tutto quell'isolato, ora ridotto e acconciato ad arsenale.
mattiapascal_02_pirandello_f000029|La sua morte quasi improvvisa fu la nostra rovina.|La sua morte quasi improvvisa fu la nostra rovina.
mattiapascal_02_pirandello_f000030|Mia madre, inetta al governo dell'eredità, dovette affidarlo a uno che|Mia madre, inetta al governo dell'eredità, dovette affidarlo a uno che
mattiapascal_02_pirandello_f000031|per aver ricevuto tanti beneficii da mio padre fino a cangiar di stato|per aver ricevuto tanti beneficii da mio padre fino a cangiar di stato
mattiapascal_02_pirandello_f000032|stimo dovesse sentir l'obbligo di almeno un po' di gratitudine, la quale, oltre lo zelo e l'onestà|stimo dovesse sentir l'obbligo di almeno un po' di gratitudine, la quale, oltre lo zelo e l'onestà
mattiapascal_02_pirandello_f000033|non gli sarebbe costata sacrifizii d'alcuna sorta, poiché era lautamente remunerato,.|non gli sarebbe costata sacrifizii d'alcuna sorta, poiché era lautamente remunerato,.
mattiapascal_02_pirandello_f000034|Santa donna, mia madre! D'indole schiva e placidissima|Santa donna, mia madre! D'indole schiva e placidissima
mattiapascal_02_pirandello_f000035|aveva così scarsa esperienza della vita e degli uomini! A sentirla parlare, pareva una bambina.|aveva così scarsa esperienza della vita e degli uomini! A sentirla parlare, pareva una bambina.
mattiapascal_02_pirandello_f000036|Parlava con accento nasale e rideva anche col naso, giacché ogni volta, come si vergognasse di ridere, stringeva le labbra.|Parlava con accento nasale e rideva anche col naso, giacché ogni volta, come si vergognasse di ridere, stringeva le labbra.
mattiapascal_02_pirandello_f000037|Gracilissima di complessione, fu, dopo la morte di mio padre, sempre malferma in salute;|Gracilissima di complessione, fu, dopo la morte di mio padre, sempre malferma in salute;
mattiapascal_02_pirandello_f000038|ma non si lagnò mai de' suoi mali, né credo se ne infastidisse neppure con se stessa|ma non si lagnò mai de' suoi mali, né credo se ne infastidisse neppure con se stessa
mattiapascal_02_pirandello_f000039|accettandoli, rassegnata, come una conseguenza naturale della sua sciagura.|accettandoli, rassegnata, come una conseguenza naturale della sua sciagura.
mattiapascal_02_pirandello_f000040|Forse si aspettava di morire anch'essa, dal cordoglio, e doveva dunque ringraziare Iddio che la teneva in vita|Forse si aspettava di morire anch'essa, dal cordoglio, e doveva dunque ringraziare Iddio che la teneva in vita
mattiapascal_02_pirandello_f000041|pur così tapina e tribolata, per il bene dei figliuoli.|pur così tapina e tribolata, per il bene dei figliuoli.
mattiapascal_02_pirandello_f000042|Aveva per noi una tenerezza addirittura morbosa, piena di palpiti e di sgomento: ci voleva sempre vicini, quasi temesse di perderci|Aveva per noi una tenerezza addirittura morbosa, piena di palpiti e di sgomento: ci voleva sempre vicini, quasi temesse di perderci
mattiapascal_02_pirandello_f000043|e spesso mandava in giro le serve per la vasta casa, appena qualcuno di noi si fosse un po' allontanato.|e spesso mandava in giro le serve per la vasta casa, appena qualcuno di noi si fosse un po' allontanato.
mattiapascal_02_pirandello_f000044|Come una cieca, s'era abbandonata alla guida del marito;|Come una cieca, s'era abbandonata alla guida del marito;
mattiapascal_02_pirandello_f000045|rimastane senza, si sentì sperduta nel mondo.|rimastane senza, si sentì sperduta nel mondo.
mattiapascal_02_pirandello_f000046|E non uscì più di casa, tranne le domeniche, di mattina per tempo, per andare a messa nella prossima chiesa|E non uscì più di casa, tranne le domeniche, di mattina per tempo, per andare a messa nella prossima chiesa
mattiapascal_02_pirandello_f000047|accompagnata dalle due vecchie serve, ch'ella trattava come parenti.|accompagnata dalle due vecchie serve, ch'ella trattava come parenti.
mattiapascal_02_pirandello_f000048|Nella stessa casa, anzi, si restrinse a vivere in tre camere soltanto|Nella stessa casa, anzi, si restrinse a vivere in tre camere soltanto
mattiapascal_02_pirandello_f000049|abbandonando le molte altre alle scarse cure delle serve e alle nostre diavolerie.|abbandonando le molte altre alle scarse cure delle serve e alle nostre diavolerie.
mattiapascal_02_pirandello_f000050|Spirava, in quelle stanze, da tutti i mobili d'antica foggia, dalle tende scolorite|Spirava, in quelle stanze, da tutti i mobili d'antica foggia, dalle tende scolorite
mattiapascal_02_pirandello_f000051|quel tanfo speciale delle cose antiche, quasi il respiro d'un altro tempo;|quel tanfo speciale delle cose antiche, quasi il respiro d'un altro tempo;
mattiapascal_02_pirandello_f000052|e ricordo che più d'una volta io mi guardai attorno con una strana costernazione che mi veniva dalla immobilità silenziosa di quei vecchi oggetti da tanti anni lì senz'uso, senza vita.|e ricordo che più d'una volta io mi guardai attorno con una strana costernazione che mi veniva dalla immobilità silenziosa di quei vecchi oggetti da tanti anni lì senz'uso, senza vita.
mattiapascal_02_pirandello_f000053|Fra coloro che più spesso venivano a visitar la mamma era una sorella di mio padre|Fra coloro che più spesso venivano a visitar la mamma era una sorella di mio padre
mattiapascal_02_pirandello_f000054|zitellona bisbetica, con un pajo d'occhi da furetto, bruna e fiera.|zitellona bisbetica, con un pajo d'occhi da furetto, bruna e fiera.
mattiapascal_02_pirandello_f000055|Si chiamava Scolastica.|Si chiamava Scolastica.
mattiapascal_02_pirandello_f000056|Ma si tratteneva, ogni volta, pochissimo, perché tutt'a un tratto, discorrendo, s'infuriava, e scappava via senza salutare nessuno.|Ma si tratteneva, ogni volta, pochissimo, perché tutt'a un tratto, discorrendo, s'infuriava, e scappava via senza salutare nessuno.
mattiapascal_02_pirandello_f000057|Io, da ragazzo, ne avevo una gran paura.|Io, da ragazzo, ne avevo una gran paura.
mattiapascal_02_pirandello_f000058|La guardavo con tanto d'occhi, specialmente quando la vedevo scattare in piedi su le furie e le sentivo gridare|La guardavo con tanto d'occhi, specialmente quando la vedevo scattare in piedi su le furie e le sentivo gridare
mattiapascal_02_pirandello_f000059|rivolta a mia madre e pestando rabbiosamente un piede sul pavimento:|rivolta a mia madre e pestando rabbiosamente un piede sul pavimento:
mattiapascal_02_pirandello_f000060|— Senti il vuoto? La talpa! la talpa!|- Senti il vuoto? La talpa! la talpa!
mattiapascal_02_pirandello_f000061|Alludeva al Malagna, all'amministratore che ci scavava soppiatto la fossa sotto i piedi.|Alludeva al Malagna, all'amministratore che ci scavava soppiatto la fossa sotto i piedi.
mattiapascal_02_pirandello_f000062|Zia Scolastica (l'ho saputo dipoi) voleva a tutti i costi che mia madre riprendesse marito.|Zia Scolastica l'ho saputo dipoi voleva a tutti i costi che mia madre riprendesse marito.
mattiapascal_02_pirandello_f000063|Di solito, le cognate non hanno di queste idee né dànno di questi consigli.|Di solito, le cognate non hanno di queste idee né dànno di questi consigli.
mattiapascal_02_pirandello_f000064|Ma ella aveva un sentimento aspro e dispettoso della giustizia;|Ma ella aveva un sentimento aspro e dispettoso della giustizia;
mattiapascal_02_pirandello_f000065|e più per questo, certo, che per nostro amore, non sapeva tollerare che quell'uomo ci rubasse così, a man salva.|e più per questo, certo, che per nostro amore, non sapeva tollerare che quell'uomo ci rubasse così, a man salva.
mattiapascal_02_pirandello_f000066|Ora, data l'assoluta inettitudine e la cecità di mia madre, non ci vedeva altro rimedio, che un secondo marito.|Ora, data l'assoluta inettitudine e la cecità di mia madre, non ci vedeva altro rimedio, che un secondo marito.
mattiapascal_02_pirandello_f000067|E lo designava anche in persona d'un pover'uomo, che si chiamava Gerolamo Pomino.|E lo designava anche in persona d'un pover'uomo, che si chiamava Gerolamo Pomino.
mattiapascal_02_pirandello_f000068|Costui era vedovo, con un figliuolo, che vive tuttora e si chiama Gerolamo come il padre: amicissimo mio|Costui era vedovo, con un figliuolo, che vive tuttora e si chiama Gerolamo come il padre: amicissimo mio
mattiapascal_02_pirandello_f000069|anzi più che amico, come dirò appresso.|anzi più che amico, come dirò appresso.
mattiapascal_02_pirandello_f000070|Fin da ragazzo veniva col padre in casa nostra, ed era la disperazione mia e di mio fratello Berto.|Fin da ragazzo veniva col padre in casa nostra, ed era la disperazione mia e di mio fratello Berto.
mattiapascal_02_pirandello_f000071|Il padre, da giovane, aveva aspirato lungamente alla mano di zia Scolastica|Il padre, da giovane, aveva aspirato lungamente alla mano di zia Scolastica
mattiapascal_02_pirandello_f000072|che non aveva voluto saperne, come non aveva voluto saperne, del resto, di alcun altro;|che non aveva voluto saperne, come non aveva voluto saperne, del resto, di alcun altro;
mattiapascal_02_pirandello_f000073|e non già perché non si fosse sentita disposta ad amare|e non già perché non si fosse sentita disposta ad amare
mattiapascal_02_pirandello_f000074|ma perché il più lontano sospetto che l'uomo da lei amato avesse potuto anche col solo pensiero tradirla|ma perché il più lontano sospetto che l'uomo da lei amato avesse potuto anche col solo pensiero tradirla
mattiapascal_02_pirandello_f000075|le avrebbe fatto commettere – diceva – un delitto.|le avrebbe fatto commettere - diceva - un delitto.
mattiapascal_02_pirandello_f000076|Tutti finti, per lei, gli uomini, birbanti e traditori. Anche Pomino?|Tutti finti, per lei, gli uomini, birbanti e traditori. Anche Pomino?
mattiapascal_02_pirandello_f000077|No, ecco: Pomino, no.|No, ecco: Pomino, no.
mattiapascal_02_pirandello_f000078|Ma se n'era accorta troppo tardi.|Ma se n'era accorta troppo tardi.
mattiapascal_02_pirandello_f000079|Di tutti gli uomini che avevano chiesto la sua mano, e che poi si erano ammogliati|Di tutti gli uomini che avevano chiesto la sua mano, e che poi si erano ammogliati
mattiapascal_02_pirandello_f000080|ella era riuscita a scoprire qualche tradimento, e ne aveva ferocemente goduto.|ella era riuscita a scoprire qualche tradimento, e ne aveva ferocemente goduto.
mattiapascal_02_pirandello_f000081|Solo di Pomino, niente;|Solo di Pomino, niente;
mattiapascal_02_pirandello_f000082|anzi il pover'uomo era stato un martire della moglie.|anzi il pover'uomo era stato un martire della moglie.
mattiapascal_02_pirandello_f000083|E perché dunque, ora, non lo sposava lei?|E perché dunque, ora, non lo sposava lei?
mattiapascal_02_pirandello_f000084|Oh bella, perché era vedovo! era appartenuto a un'altra donna, alla quale forse, qualche volta, avrebbe potuto pensare.|Oh bella, perché era vedovo! era appartenuto a un'altra donna, alla quale forse, qualche volta, avrebbe potuto pensare.
mattiapascal_02_pirandello_f000085|E poi perché...|E poi perché...
mattiapascal_02_pirandello_f000086|via! si vedeva da cento miglia lontano, non ostante la timidezza: era innamorato, era innamorato...|via! si vedeva da cento miglia lontano, non ostante la timidezza: era innamorato, era innamorato...
mattiapascal_02_pirandello_f000087|s'intende di chi, quel povero signor Pomino! Figurarsi se mia madre avrebbe mai acconsentito.|s'intende di chi, quel povero signor Pomino! Figurarsi se mia madre avrebbe mai acconsentito.
mattiapascal_02_pirandello_f000088|Le sarebbe parso un vero e proprio sacrilegio.|Le sarebbe parso un vero e proprio sacrilegio.
mattiapascal_02_pirandello_f000089|Ma non credeva forse neppure, poverina, che zia Scolastica dicesse sul serio;|Ma non credeva forse neppure, poverina, che zia Scolastica dicesse sul serio;
mattiapascal_02_pirandello_f000090|e rideva in quel suo modo particolare alle sfuriate della cognata, alle esclamazioni del povero signor Pomino|e rideva in quel suo modo particolare alle sfuriate della cognata, alle esclamazioni del povero signor Pomino
mattiapascal_02_pirandello_f000091|che si trovava lì presente a quelle discussioni, e al quale la zitellona scaraventava le lodi più sperticate.|che si trovava lì presente a quelle discussioni, e al quale la zitellona scaraventava le lodi più sperticate.
mattiapascal_02_pirandello_f000092|M'immagino quante volte egli avrà esclamato, dimenandosi su la seggiola, come su un arnese di tortura: — Oh santo nome di Dio benedetto!|M'immagino quante volte egli avrà esclamato, dimenandosi su la seggiola, come su un arnese di tortura: - Oh santo nome di Dio benedetto!
mattiapascal_02_pirandello_f000093|Omino lindo, aggiustato, dagli occhietti ceruli mansueti|Omino lindo, aggiustato, dagli occhietti ceruli mansueti
mattiapascal_02_pirandello_f000094|credo che s'incipriasse e avesse anche la debolezza di passarsi un po' di rossetto, appena appena, un velo|credo che s'incipriasse e avesse anche la debolezza di passarsi un po' di rossetto, appena appena, un velo
mattiapascal_02_pirandello_f000095|su le guance: certo si compiaceva d'aver conservato fino alla sua età i capelli|su le guance: certo si compiaceva d'aver conservato fino alla sua età i capelli
