tschun_01_f000001|Tschun war ein schmutziger kleiner chinesischer Junge.|Tschun war ein schmutziger kleiner chinesischer Junge.
tschun_01_f000114|Wenn Isaak statt eines Sohnes eine Tochter gewesen wäre, so hätte Tschun den Vorgang freilich für noch viel begreiflicher gefunden,|Wenn Isaak statt eines Sohnes eine Tochter gewesen wäre, so hätte Tschun den Vorgang freilich für noch viel begreiflicher gefunden,
tschun_01_f000115|und dann wäre der Tientschu auch wohl schwerlich dem Abraham noch im letzten Augenblick hindernd in den Arm gefallen,|und dann wäre der Tientschu auch wohl schwerlich dem Abraham noch im letzten Augenblick hindernd in den Arm gefallen,
tschun_01_f000116|denn das weiß ja ein jeder, daß kleine Mädchen minderwertige Geschöpfe sind, um deren Rettung sich sicher kein Himmelsherr sonderlich bemühen würde,|denn das weiß ja ein jeder, daß kleine Mädchen minderwertige Geschöpfe sind, um deren Rettung sich sicher kein Himmelsherr sonderlich bemühen würde,
tschun_01_f000117|und daß Väter sie als Besitz, an dem Geld verloren wird bezeichnen, da sie ihnen ja zur Heirat eine Aussteuer geben müssen,|und daß Väter sie als Besitz, an dem Geld verloren wird bezeichnen, da sie ihnen ja zur Heirat eine Aussteuer geben müssen,
tschun_01_f000118|die dann samt ihrer Arbeitskraft an die Familie des Ehemannes verloren geht.|die dann samt ihrer Arbeitskraft an die Familie des Ehemannes verloren geht.
tschun_01_f000119|Im Petang dachte man über solche Dinge freilich anders.|Im Petang dachte man über solche Dinge freilich anders.
tschun_01_f000120|Unter den kleinen Waisenmädchen, die dort von den Nonnen aufgezogen und unterwiesen wurden, gab es manche,|Unter den kleinen Waisenmädchen, die dort von den Nonnen aufgezogen und unterwiesen wurden, gab es manche,
tschun_01_f000121|die verlassen und hungernd von Missionaren in Überschwemmungsgebieten aufgefunden und dann gerettet worden waren.|die verlassen und hungernd von Missionaren in Überschwemmungsgebieten aufgefunden und dann gerettet worden waren.
tschun_01_f000122|Gerettet an Körper und Seele, denn außer der leiblichen Nahrung hatte man ihnen vor allem gleich die Taufe gespendet.|Gerettet an Körper und Seele, denn außer der leiblichen Nahrung hatte man ihnen vor allem gleich die Taufe gespendet.
tschun_01_f000123|Ja, was taten diese fremden Menschen nicht alles, um solch armes Seelchen aus dem großen Meere des Verderbens herauszufischen und für ein seliges Jenseits zu gewinnen!|Ja, was taten diese fremden Menschen nicht alles, um solch armes Seelchen aus dem großen Meere des Verderbens herauszufischen und für ein seliges Jenseits zu gewinnen!
tschun_01_f000124|um den Himmel zu bevölkern, wie sie es nannten! Allmählich erfuhr Tschun mehr darüber.|um den Himmel zu bevölkern, wie sie es nannten! Allmählich erfuhr Tschun mehr darüber.
tschun_01_f000125|Es sollte Nonnen geben, die ihnen völlig fremde Pest- und Cholerakranke pflegten, andere, die es sich sogar zur Aufgabe gestellt hatten,|Es sollte Nonnen geben, die ihnen völlig fremde Pest- und Cholerakranke pflegten, andere, die es sich sogar zur Aufgabe gestellt hatten,
tschun_01_f000126|die doch unrettbar verlorenen Aussätzigen aus ihren jämmerlichen Schlupfwinkeln hervorzuholen und diesen Allerelendesten und Allereinsamsten,|die doch unrettbar verlorenen Aussätzigen aus ihren jämmerlichen Schlupfwinkeln hervorzuholen und diesen Allerelendesten und Allereinsamsten,
tschun_01_f000127|deren schwärende Körper wie morsches Zeug auseinander fielen, in besonderen Anstalten wenigstens das Lebensende zu erleichtern.|deren schwärende Körper wie morsches Zeug auseinander fielen, in besonderen Anstalten wenigstens das Lebensende zu erleichtern.
tschun_01_f000128|Von einem Priester hörte Tschun erzählen, der in einer fernen chinesischen Stadt lebte, wo ein besonders böser Mandarin die ihm unbequemen Leute,|Von einem Priester hörte Tschun erzählen, der in einer fernen chinesischen Stadt lebte, wo ein besonders böser Mandarin die ihm unbequemen Leute,
tschun_01_f000129|falls sie zu arm waren, um sich durch Lösegeld freizukaufen, ins Hungergefängnis werfen ließ.|falls sie zu arm waren, um sich durch Lösegeld freizukaufen, ins Hungergefängnis werfen ließ.
tschun_01_f000130|Alle Morgen ging der Priester zu dieser Stätte des Grauens.|Alle Morgen ging der Priester zu dieser Stätte des Grauens.
tschun_01_f000131|Sobald die Gefangenen ihn draußen an der stark vergitterten Tür erblickten, durch die allein Licht und Luft in ihr niederes,|Sobald die Gefangenen ihn draußen an der stark vergitterten Tür erblickten, durch die allein Licht und Luft in ihr niederes,
tschun_01_f000132|finsteres Gelaß drang, krochen und wankten sie zu ihm heran.|finsteres Gelaß drang, krochen und wankten sie zu ihm heran.
tschun_01_f000133|Halb nackte, skeletthafte Gestalten, alle an eine Kette angeschlossen.|Halb nackte, skeletthafte Gestalten, alle an eine Kette angeschlossen.
tschun_01_f000134|Und durch das Gitter, in den von verpesteter Fäulnis angefüllten Raum hinein,|Und durch das Gitter, in den von verpesteter Fäulnis angefüllten Raum hinein,
tschun_01_f000135|beim unheimlichen Stöhnen der vor Hunger Verschmachtenden und dem Röcheln der Sterbenden sprach ihnen der Priester von einem lichten Jenseits, von Auferstehung und Leben.|beim unheimlichen Stöhnen der vor Hunger Verschmachtenden und dem Röcheln der Sterbenden sprach ihnen der Priester von einem lichten Jenseits, von Auferstehung und Leben.
tschun_01_f000136|Durch das Gitter auch taufte er sie, und da gab es keinen dieser in Finsternis und dem Schatten des Todes Sitzenden,|Durch das Gitter auch taufte er sie, und da gab es keinen dieser in Finsternis und dem Schatten des Todes Sitzenden,
tschun_01_f000137|der nicht allzugern einen Glauben angenommen hätte, der ihm für die hier erduldeten Qualen eine die Ewigkeit währende Seligkeit im Himmel verhieß.|der nicht allzugern einen Glauben angenommen hätte, der ihm für die hier erduldeten Qualen eine die Ewigkeit währende Seligkeit im Himmel verhieß.
tschun_01_f000138|Es dünkte Tschun sehr seltsam, daß die fremden Männer und Frauen, die doch ruhig daheim hätten bleiben können,|Es dünkte Tschun sehr seltsam, daß die fremden Männer und Frauen, die doch ruhig daheim hätten bleiben können,
tschun_01_f000139|über das große Meer gefahren waren, um sich hier gerade solche Aufgaben zu suchen.|über das große Meer gefahren waren, um sich hier gerade solche Aufgaben zu suchen.
tschun_01_f000140|Und wenn sie denn schon durchaus Armen und Kranken helfen wollten, was dem Chinesentum in Tschun durchaus nicht als ein unabweisbares angeborenes Bedürfnis begreiflich erschien,|Und wenn sie denn schon durchaus Armen und Kranken helfen wollten, was dem Chinesentum in Tschun durchaus nicht als ein unabweisbares angeborenes Bedürfnis begreiflich erschien,
tschun_01_f000141|so frug er sich, warum sie sich nicht lieber zu Hause so betätigten?|so frug er sich, warum sie sich nicht lieber zu Hause so betätigten?
tschun_01_f000142|Vielleicht gar, weil es dort keine so Arme und Kranke gab? Das war ein ganz neuer Gedanke, und er eröffnete Tschun merkwürdige Ausblicke.|Vielleicht gar, weil es dort keine so Arme und Kranke gab? Das war ein ganz neuer Gedanke, und er eröffnete Tschun merkwürdige Ausblicke.
tschun_01_f000143|Sehr wunderliche Vorstellungen begann er sich von der fernen, unbekannten Welt zu machen, aus der die fremden Priester und Nonnen stammten.|Sehr wunderliche Vorstellungen begann er sich von der fernen, unbekannten Welt zu machen, aus der die fremden Priester und Nonnen stammten.
tschun_01_f000144|Es zog ihn immer mehr zu diesen Ländern hin, wo der wahre liebe Gott seine eigentliche Heimat hatte, und wo die Menschen offenbar so viel, viel besser waren.|Es zog ihn immer mehr zu diesen Ländern hin, wo der wahre liebe Gott seine eigentliche Heimat hatte, und wo die Menschen offenbar so viel, viel besser waren.
tschun_02_f000001|Nachdem Tschun die nötige Zeit mit der Erlernung von Katechismus und der biblischen Geschichte verbracht hatte,|Nachdem Tschun die nötige Zeit mit der Erlernung von Katechismus und der biblischen Geschichte verbracht hatte,
tschun_02_f000002|ward er samt seinen Mitschülern zur ersten Kommunion im Petang zugelassen.|ward er samt seinen Mitschülern zur ersten Kommunion im Petang zugelassen.
tschun_02_f000003|Auf der einen Seite des Altars unter dem blauen Sternenhimmel knieten die Knaben mit frisch rasierter Stirn und wohlgeflochtenem Zopf, der ihnen glatt am Rücken herabhing.|Auf der einen Seite des Altars unter dem blauen Sternenhimmel knieten die Knaben mit frisch rasierter Stirn und wohlgeflochtenem Zopf, der ihnen glatt am Rücken herabhing.
tschun_02_f000004|Auf der anderen Seite knieten die von den Nonnen geführten kleinen Mädchen in ihren buntesten, schönsten Kleidern.|Auf der anderen Seite knieten die von den Nonnen geführten kleinen Mädchen in ihren buntesten, schönsten Kleidern.
tschun_02_f000005|Und sie alle empfanden sich an dem Morgen als sehr wichtige junge Wesen, sowohl wegen ihrer Zerknirschung ob der vorher bei der Beichte eingestandenen Sünden,|Und sie alle empfanden sich an dem Morgen als sehr wichtige junge Wesen, sowohl wegen ihrer Zerknirschung ob der vorher bei der Beichte eingestandenen Sünden,
tschun_02_f000006|als weil ja der ganze Gottesdienst samt dem Gesang und Orgelspiel ihnen und ihrem Eintritt in die Gemeinde zu Ehren abgehalten wurde.|als weil ja der ganze Gottesdienst samt dem Gesang und Orgelspiel ihnen und ihrem Eintritt in die Gemeinde zu Ehren abgehalten wurde.
tschun_02_f000007|Tschun begriff immerhin so viel von der Feier, daß er von nun an, aus eigenem freien Willen, zu dem wahren lieben Gott gehöre und sich hüten müsse,|Tschun begriff immerhin so viel von der Feier, daß er von nun an, aus eigenem freien Willen, zu dem wahren lieben Gott gehöre und sich hüten müsse,
tschun_02_f000008|an gar manchem, was zum Leben der großen Mehrzahl der Chinesen gehört, teilzunehmen.|an gar manchem, was zum Leben der großen Mehrzahl der Chinesen gehört, teilzunehmen.
tschun_02_f000009|Ja, das Christentum errichtete doch eine Art Scheidewand.|Ja, das Christentum errichtete doch eine Art Scheidewand.
tschun_02_f000010|Man war eigentlich kein so ganz echter Chinese mehr.|Man war eigentlich kein so ganz echter Chinese mehr.
tschun_02_f000011|Wenigstens meinten das die anderen, wenn sie sagten: Ihr gehört zu den Fremden, laßt Euch von denen beschützen.|Wenigstens meinten das die anderen, wenn sie sagten: Ihr gehört zu den Fremden, laßt Euch von denen beschützen.
tschun_02_f000012|Die Priester, und an ihrer Spitze der mächtige Herr Bischof, traten ja auch wirklich bei allen Gelegenheiten für ihre Gemeindemitglieder ein und suchten sie davor zu bewahren,|Die Priester, und an ihrer Spitze der mächtige Herr Bischof, traten ja auch wirklich bei allen Gelegenheiten für ihre Gemeindemitglieder ein und suchten sie davor zu bewahren,
tschun_02_f000013|von den Mandarinen ihres Glaubens halber ganz besonders übervorteilt und ausgebeutet zu werden.|von den Mandarinen ihres Glaubens halber ganz besonders übervorteilt und ausgebeutet zu werden.
tschun_02_f000014|Die Hauptschützerin aber blieb doch immer die Madonna, und ihr mußte man dafür treu bleiben.|Die Hauptschützerin aber blieb doch immer die Madonna, und ihr mußte man dafür treu bleiben.
tschun_02_f000015|Das sagte auch der Herr Bischof, als die Kinder nach der Kommunion die Kirche verlassen hatten, und er im sonnigen Hof,|Das sagte auch der Herr Bischof, als die Kinder nach der Kommunion die Kirche verlassen hatten, und er im sonnigen Hof,
tschun_02_f000016|wo große Fliederbüsche blühten, noch eine besondere Ansprache an sie richtete.|wo große Fliederbüsche blühten, noch eine besondere Ansprache an sie richtete.
tschun_02_f000017|Dabei schenkte er jedem ein Bild der Madonna, deren Statue im Garten der Nonnen zwischen roten Rosenbeeten steht, und sprach:|Dabei schenkte er jedem ein Bild der Madonna, deren Statue im Garten der Nonnen zwischen roten Rosenbeeten steht, und sprach:
tschun_02_f000018|Es können noch schlimme Zeiten für uns alle kommen, denn die Madonna und wir, ihre Diener, haben starke Widersacher,|Es können noch schlimme Zeiten für uns alle kommen, denn die Madonna und wir, ihre Diener, haben starke Widersacher,
tschun_02_f000019|drum müssen wir wachen und beten, daß uns die Stunde nicht unvorbereitet finde, wo vielleicht auch an uns der Ruf ergeht, für unseren Glauben alles einzusetzen.|drum müssen wir wachen und beten, daß uns die Stunde nicht unvorbereitet finde, wo vielleicht auch an uns der Ruf ergeht, für unseren Glauben alles einzusetzen.
tschun_02_f000020|Und Tschun dachte, in der frommen Erregung der Stunde, daß es schön sein müsse, für die Madonna zu kämpfen und zu sterben,|Und Tschun dachte, in der frommen Erregung der Stunde, daß es schön sein müsse, für die Madonna zu kämpfen und zu sterben,
tschun_02_f000021|wie er vernommen, daß so manche Heilige und Märtyrer es getan.|wie er vernommen, daß so manche Heilige und Märtyrer es getan.
tschun_02_f000022|Zu Hause heftete er dann das Bild an die Wand, wie die echten Chinesen es mit dem Bildnis Pussas, der Göttin des Kindersegens, tun.|Zu Hause heftete er dann das Bild an die Wand, wie die echten Chinesen es mit dem Bildnis Pussas, der Göttin des Kindersegens, tun.
tschun_02_f000023|Dabei ging es ihm plötzlich durch den Sinn, daß zwischen den beiden der Unterschied eigentlich gar nicht so groß sei, denn auch Pussa wurde stets mit einem Kinde dargestellt.|Dabei ging es ihm plötzlich durch den Sinn, daß zwischen den beiden der Unterschied eigentlich gar nicht so groß sei, denn auch Pussa wurde stets mit einem Kinde dargestellt.
tschun_02_f000024|Etwas Ähnlichkeit bestand auch zwischen Thiän lao yeh, dem chinesischen Himmelsgroßvater, und Tientschu, dem wirklichen christlichen Gottvater.|Etwas Ähnlichkeit bestand auch zwischen Thiän lao yeh, dem chinesischen Himmelsgroßvater, und Tientschu, dem wirklichen christlichen Gottvater.
tschun_02_f000025|Vielleicht waren die alle untereinander doch ein bißchen verwandt? Dann mochten die chinesischen wohl die minderwertigeren sein, wie sie in allen Familien vorkommen.|Vielleicht waren die alle untereinander doch ein bißchen verwandt? Dann mochten die chinesischen wohl die minderwertigeren sein, wie sie in allen Familien vorkommen.
tschun_02_f000026|Nach einigen Tagen religiöser Exaltation, wo der Himmel so viel näher und wichtiger schien als die Dinge dieser Erde,|Nach einigen Tagen religiöser Exaltation, wo der Himmel so viel näher und wichtiger schien als die Dinge dieser Erde,
tschun_02_f000027|lenkten sich die Gedanken indessen bald wieder mit praktischer Nüchternheit auf das diesseitige Alltagsleben.|lenkten sich die Gedanken indessen bald wieder mit praktischer Nüchternheit auf das diesseitige Alltagsleben.
tschun_02_f000028|Denn es galt nunmehr, Tschuns künftigen Beruf zu bestimmen. Darüber aber hegte er selbst seit langem schon einen geheimen Wunsch.|Denn es galt nunmehr, Tschuns künftigen Beruf zu bestimmen. Darüber aber hegte er selbst seit langem schon einen geheimen Wunsch.
tschun_02_f000029|Tschun besaß nämlich einen Onkel, der in einer der fremden Gesandtschaften angestellt war und ihm oftmals von dort erzählt hatte.|Tschun besaß nämlich einen Onkel, der in einer der fremden Gesandtschaften angestellt war und ihm oftmals von dort erzählt hatte.
