ritrattodeldiavolo_01_barrili_f000001|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO PRIMO.|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO PRIMO.
ritrattodeldiavolo_01_barrili_f000134|Mastro Jacopo stette zitto, sulle prime, a vederlo lavorare: poi|Mastro Jacopo stette zitto, sulle prime, a vederlo lavorare: poi
ritrattodeldiavolo_01_barrili_f000135|come gli balzò davanti agli occhi la figura abbozzata, borbottò un cenno d'approvazione.|come gli balzò davanti agli occhi la figura abbozzata, borbottò un cenno d'approvazione.
ritrattodeldiavolo_01_barrili_f000136|Spinello si era dimostrato valente ed accorto.|Spinello si era dimostrato valente ed accorto.
ritrattodeldiavolo_01_barrili_f000137|Valente, perchè il suo disegno era buonino;|Valente, perchè il suo disegno era buonino;
ritrattodeldiavolo_01_barrili_f000138|accorto, perchè quella mezza figura era una copia fatta a memoria|accorto, perchè quella mezza figura era una copia fatta a memoria
ritrattodeldiavolo_01_barrili_f000139|d'un San Giovanni che mastro Jacopo aveva dipinto qualche mese innanzi in San Bartolomeo, nella cappella di Santa Maria della Neve.|d'un San Giovanni che mastro Jacopo aveva dipinto qualche mese innanzi in San Bartolomeo, nella cappella di Santa Maria della Neve.
ritrattodeldiavolo_01_barrili_f000140|--Ah, ah!--disse mastro Jacopo, a cui si spianavano in fronte le rughe|--Ah, ah!--disse mastro Jacopo, a cui si spianavano in fronte le rughe
ritrattodeldiavolo_01_barrili_f000141|accumulate pur dianzi nella arcigna severità del suo atteggiamento di giudice.|accumulate pur dianzi nella arcigna severità del suo atteggiamento di giudice.
ritrattodeldiavolo_01_barrili_f000142|--Tu studi l'arte nuova, giovinotto. --Maisì, maestro. Ed è la buona, mi pare. --Eh, sì e no.|--Tu studi l'arte nuova, giovinotto. --Maisì, maestro. Ed è la buona, mi pare. --Eh, sì e no.
ritrattodeldiavolo_01_barrili_f000143|Bisognerebbe, ad esempio, saper scegliere un po' meglio tra nuovi e nuovi.|Bisognerebbe, ad esempio, saper scegliere un po' meglio tra nuovi e nuovi.
ritrattodeldiavolo_01_barrili_f000144|Giotto di Bondone è un gran maestro, e Taddeo Gaddi gli si stringe ai panni. Ti consiglio d'imitare questi due.|Giotto di Bondone è un gran maestro, e Taddeo Gaddi gli si stringe ai panni. Ti consiglio d'imitare questi due.
ritrattodeldiavolo_01_barrili_f000145|L'altro, da cui t'è piaciuto di copiare, è un artista da dozzina, il quale non si raccomanda che per un poco di buona volontà.|L'altro, da cui t'è piaciuto di copiare, è un artista da dozzina, il quale non si raccomanda che per un poco di buona volontà.
ritrattodeldiavolo_01_barrili_f000146|--Voi gli siete nemico, maestro; --rispose argutamente il giovine. --Lo si vede dalle vostre parole. Ma io lo difenderò anche contro di voi.|--Voi gli siete nemico, maestro; --rispose argutamente il giovine. --Lo si vede dalle vostre parole. Ma io lo difenderò anche contro di voi.
ritrattodeldiavolo_01_barrili_f000147|Per esempio, quella sua storia di San Martino, nella cappella del Vescovado....|Per esempio, quella sua storia di San Martino, nella cappella del Vescovado....
ritrattodeldiavolo_01_barrili_f000148|--Ahimè, ragazzo, ahimè!--interruppe mastro Jacopo con un sorriso che faceva contro alla mestizia della interiezione.|--Ahimè, ragazzo, ahimè!--interruppe mastro Jacopo con un sorriso che faceva contro alla mestizia della interiezione.
ritrattodeldiavolo_01_barrili_f000149|--Bisogna essere stati a Firenze e aver visto il Convito di Erode, che Giotto ha dipinto nella cappella dei Peruzzi di Santa Croce;|--Bisogna essere stati a Firenze e aver visto il Convito di Erode, che Giotto ha dipinto nella cappella dei Peruzzi di Santa Croce;
ritrattodeldiavolo_01_barrili_f000150|bisogna essere stati nella cappella del Palagio del Podestà, e aver visto quel Dante Alighieri|bisogna essere stati nella cappella del Palagio del Podestà, e aver visto quel Dante Alighieri
ritrattodeldiavolo_01_barrili_f000151|improntato di tanta dolcezza, che pare una cosa di cielo! Ma già, tu non vuoi intender nulla, ragazzo mio. Come ti chiami? --Spinello, di Luca Spinelli, messere.|improntato di tanta dolcezza, che pare una cosa di cielo! Ma già, tu non vuoi intender nulla, ragazzo mio. Come ti chiami? --Spinello, di Luca Spinelli, messere.
ritrattodeldiavolo_01_barrili_f000152|--Ah, conosco tuo padre di nome, ed anche di veduta. È un uomo per bene. E tu dunque, vuoi diventar pittore?|--Ah, conosco tuo padre di nome, ed anche di veduta. È un uomo per bene. E tu dunque, vuoi diventar pittore?
ritrattodeldiavolo_01_barrili_f000153|Vediamo, che cos'hai fatto finora? --Poca cosa, maestro. Degli schizzi, dei tocchi in penna.... --Dal vero?|Vediamo, che cos'hai fatto finora? --Poca cosa, maestro. Degli schizzi, dei tocchi in penna.... --Dal vero?
ritrattodeldiavolo_01_barrili_f000154|--Maisì, maestro, dal vero, ed anche ricordando le cose vedute. --Già, come questo San Giovanni;|--Maisì, maestro, dal vero, ed anche ricordando le cose vedute. --Già, come questo San Giovanni;
ritrattodeldiavolo_01_barrili_f000155|--ripigliò mastro Jacopo, crollando la lesta---Non copiar che dal vero, sai;|--ripigliò mastro Jacopo, crollando la lesta---Non copiar che dal vero, sai;
ritrattodeldiavolo_01_barrili_f000156|oppure da Giotto, poichè non vide meglio di lui chi vide il vero.|oppure da Giotto, poichè non vide meglio di lui chi vide il vero.
ritrattodeldiavolo_01_barrili_f000157|Del resto, portami i tuoi occhi in penna. Li vedrò volentieri.|Del resto, portami i tuoi occhi in penna. Li vedrò volentieri.
ritrattodeldiavolo_01_barrili_f000158|Mastro Jacopo, intanto, scendeva dal ponte per ritornarsene a casa.|Mastro Jacopo, intanto, scendeva dal ponte per ritornarsene a casa.
ritrattodeldiavolo_01_barrili_f000159|Spinello Spinelli domandò in grazia di poterlo compagnare un tratto.|Spinello Spinelli domandò in grazia di poterlo compagnare un tratto.
ritrattodeldiavolo_01_barrili_f000160|Tanto, era tutta strada per lui, essendo la sua abitazione da quella medesima parte della città.|Tanto, era tutta strada per lui, essendo la sua abitazione da quella medesima parte della città.
ritrattodeldiavolo_01_barrili_f000161|Come furono in via dell'Orto, poco lunge dal Duomo, il giovane disse a mastro Jacopo: --Ecco l'uscio di casa mia.|Come furono in via dell'Orto, poco lunge dal Duomo, il giovane disse a mastro Jacopo: --Ecco l'uscio di casa mia.
ritrattodeldiavolo_01_barrili_f000162|Se permettete, maestro, dò un salto fin lassù, prendo i miei disegni, che avete mostrato desiderio di vedere,|Se permettete, maestro, dò un salto fin lassù, prendo i miei disegni, che avete mostrato desiderio di vedere,
ritrattodeldiavolo_01_barrili_f000163|e vi raggiungo subito. --Fa come ti piace; --rispose mastro Jacopo.|e vi raggiungo subito. --Fa come ti piace; --rispose mastro Jacopo.
ritrattodeldiavolo_01_barrili_f000164|Spinello Spinelli andò via lesto come un capriolo, anzi come uno scoiattolo;|Spinello Spinelli andò via lesto come un capriolo, anzi come uno scoiattolo;
ritrattodeldiavolo_01_barrili_f000165|fece una manata delle sue carte, e, scendendo gli scalini a quattro a quattro, ritornò sulla via.|fece una manata delle sue carte, e, scendendo gli scalini a quattro a quattro, ritornò sulla via.
ritrattodeldiavolo_01_barrili_f000166|Mastro Jacopo quando egli lo raggiunse, non era ancora giunto all'angolo del Duomo.|Mastro Jacopo quando egli lo raggiunse, non era ancora giunto all'angolo del Duomo.
ritrattodeldiavolo_01_barrili_f000167|Il vecchio pittore diede una rapida occhiata a tutti quei fogli.|Il vecchio pittore diede una rapida occhiata a tutti quei fogli.
ritrattodeldiavolo_01_barrili_f000168|Erano studi dal vero, o reminiscenze, motivi buttati là|Erano studi dal vero, o reminiscenze, motivi buttati là
ritrattodeldiavolo_01_barrili_f000169|con un fare tra l'accorto e l'ingenuo, che indicava una vera e fortunata indole d'artista. Spesso non erano che quattro tocchi;|con un fare tra l'accorto e l'ingenuo, che indicava una vera e fortunata indole d'artista. Spesso non erano che quattro tocchi;
ritrattodeldiavolo_01_barrili_f000170|ma in quei quattro tocchi si vedeva la natura colta sul vivo.|ma in quei quattro tocchi si vedeva la natura colta sul vivo.
ritrattodeldiavolo_01_barrili_f000171|Mentre egli così sfogliava i quaderni del giovine seguitando la sua strada verso casa|Mentre egli così sfogliava i quaderni del giovine seguitando la sua strada verso casa
ritrattodeldiavolo_01_barrili_f000172|gli venne veduta tra l'altre cose una figura di donna.|gli venne veduta tra l'altre cose una figura di donna.
ritrattodeldiavolo_01_barrili_f000173|Era a mala pena accennata, ma il pittore non durò fatica a riconoscere d'onde Spinello avesse tratto il suo tipo.|Era a mala pena accennata, ma il pittore non durò fatica a riconoscere d'onde Spinello avesse tratto il suo tipo.
ritrattodeldiavolo_01_barrili_f000174|E così, di sbieco, mentre guardava la figura, gittò un'occhiata al suo giovine compagno.|E così, di sbieco, mentre guardava la figura, gittò un'occhiata al suo giovine compagno.
ritrattodeldiavolo_01_barrili_f000175|Spinello non vide lo sguardo del pittore, ma lo sentì, e si fece rosso in volto.|Spinello non vide lo sguardo del pittore, ma lo sentì, e si fece rosso in volto.
ritrattodeldiavolo_01_barrili_f000176|Maledetta furia! O non avrebbe potuto egli aspettare una mezz'ora, e portare egli i disegni a casa del maestro?|Maledetta furia! O non avrebbe potuto egli aspettare una mezz'ora, e portare egli i disegni a casa del maestro?
ritrattodeldiavolo_01_barrili_f000177|Per la smania di far presto, come se temesse di perdere l'occasione, aveva preso tutto alla rinfusa, e quei quattro segni|Per la smania di far presto, come se temesse di perdere l'occasione, aveva preso tutto alla rinfusa, e quei quattro segni
ritrattodeldiavolo_01_barrili_f000178|in cui egli aveva fissato il ricordo di madonna Fiordalisa, cadevano contro sua voglia sotto gli occhi del babbo.|in cui egli aveva fissato il ricordo di madonna Fiordalisa, cadevano contro sua voglia sotto gli occhi del babbo.
ritrattodeldiavolo_01_barrili_f000179|--In verità,--diss'egli allora, tanto per isviar l'attenzione del pittore,--son povere cose e certamente indegne di voi.|--In verità,--diss'egli allora, tanto per isviar l'attenzione del pittore,--son povere cose e certamente indegne di voi.
ritrattodeldiavolo_01_barrili_f000180|Ma, che volete? non so far altro. --Che! che!--rispose mastro Jacopo.|Ma, che volete? non so far altro. --Che! che!--rispose mastro Jacopo.
ritrattodeldiavolo_01_barrili_f000181|--La modestia è una bella cosa, ragazzo mio;|--La modestia è una bella cosa, ragazzo mio;
ritrattodeldiavolo_01_barrili_f000182|ma tu ora fai torto alla natura, che ha voluto indicarti molto chiaramente la tua vocazione. Ho caro di averti conosciuto.|ma tu ora fai torto alla natura, che ha voluto indicarti molto chiaramente la tua vocazione. Ho caro di averti conosciuto.
ritrattodeldiavolo_01_barrili_f000183|Cimabue si tenne fortunato di essersi imbattuto in un pastorello che disegnava le pecore del suo armento sui lastroni di Vespignano.|Cimabue si tenne fortunato di essersi imbattuto in un pastorello che disegnava le pecore del suo armento sui lastroni di Vespignano.
ritrattodeldiavolo_01_barrili_f000184|Io avrò in quella vece posta la mano su d'un artista formato.|Io avrò in quella vece posta la mano su d'un artista formato.
ritrattodeldiavolo_01_barrili_f000185|E dentro di sè, mastro Jacopo, come rispondendo ad una osservazione del suo spirito famigliare diceva: --Dopo tutto che male c'è?|E dentro di sè, mastro Jacopo, come rispondendo ad una osservazione del suo spirito famigliare diceva: --Dopo tutto che male c'è?
ritrattodeldiavolo_01_barrili_f000186|Se un artista simile diventasse mio genero, dovrei averne dicatti.|Se un artista simile diventasse mio genero, dovrei averne dicatti.
ritrattodeldiavolo_01_barrili_f000187|Sarebbe il miglior modo per legarlo alla mia scuola e farmene un aiuto.|Sarebbe il miglior modo per legarlo alla mia scuola e farmene un aiuto.
ritrattodeldiavolo_01_barrili_f000188|Indi, ad alta voce, mastro Jacopo proseguì:|Indi, ad alta voce, mastro Jacopo proseguì:
ritrattodeldiavolo_01_barrili_f000189|--Vieni a bottega quando ti piace, anche oggi, se tuo padre si contenta, io mi contento e godo.|--Vieni a bottega quando ti piace, anche oggi, se tuo padre si contenta, io mi contento e godo.
ritrattodeldiavolo_01_barrili_f000190|Non metto che una condizione ad averti con me. --Quale? Io l'accetto fin d'ora;|Non metto che una condizione ad averti con me. --Quale? Io l'accetto fin d'ora;
ritrattodeldiavolo_01_barrili_f000191|--disse Spinello, a cui brillavano gli occhi dalla contentezza.|--disse Spinello, a cui brillavano gli occhi dalla contentezza.
ritrattodeldiavolo_01_barrili_f000192|--Di tenere i tuoi tocchi in penna per me.|--Di tenere i tuoi tocchi in penna per me.
ritrattodeldiavolo_01_barrili_f000193|Ci serviranno ad entrambi per ricordo di ciò che eri, quando sei entrato a bottega da me. Spinello non capiva in sè dalla gioia.|Ci serviranno ad entrambi per ricordo di ciò che eri, quando sei entrato a bottega da me. Spinello non capiva in sè dalla gioia.
ritrattodeldiavolo_01_barrili_f000194|Un'ora dopo quella conversazione, egli tornava dal pittore in compagnia dì suo padre.|Un'ora dopo quella conversazione, egli tornava dal pittore in compagnia dì suo padre.
ritrattodeldiavolo_01_barrili_f000195|Luca Spinelli e Jacopo di Casentino s'intesero facilmente, e il giovine Spinello rimase a' servigi del maestro.|Luca Spinelli e Jacopo di Casentino s'intesero facilmente, e il giovine Spinello rimase a' servigi del maestro.
ritrattodeldiavolo_01_barrili_f000196|Quella sera, madonna Fiordalisa fu vista da lui nella luce modesta delle pareti domestiche.|Quella sera, madonna Fiordalisa fu vista da lui nella luce modesta delle pareti domestiche.
ritrattodeldiavolo_01_barrili_f000197|Dio santo, com'era bella! Due cotanti più bella delle altre volte, quando egli la vedeva in Duomo, agli uffizi divini|Dio santo, com'era bella! Due cotanti più bella delle altre volte, quando egli la vedeva in Duomo, agli uffizi divini
ritrattodeldiavolo_01_barrili_f000198|con gli occhi bassi e la testa e il collo gelosamente custoditi da un velo di seta bianca, assai largo, che le scendeva giù per le spalle.|con gli occhi bassi e la testa e il collo gelosamente custoditi da un velo di seta bianca, assai largo, che le scendeva giù per le spalle.
ritrattodeldiavolo_01_barrili_f000199|Vestita così semplicemente, d'una veste di ferrandina a larghe pieghe, le quali scendevano in bei partiti dal fianco|Vestita così semplicemente, d'una veste di ferrandina a larghe pieghe, le quali scendevano in bei partiti dal fianco
ritrattodeldiavolo_01_barrili_f000200|senza fronzoli che dissimulassero le curve gentili del busto con le maniche lisce e la radice del collo a mala pena coperta da un baveretto bianco|senza fronzoli che dissimulassero le curve gentili del busto con le maniche lisce e la radice del collo a mala pena coperta da un baveretto bianco
ritrattodeldiavolo_01_barrili_f000201|madonna Fiordalisa era un miracolo di eleganza e di grazia.|madonna Fiordalisa era un miracolo di eleganza e di grazia.
ritrattodeldiavolo_01_barrili_f000202|La testa, incoronata di capegli castagni, e il profilo del volto rosato|La testa, incoronata di capegli castagni, e il profilo del volto rosato
